id_evento,codigo,nombre,fecha_inicio,fecha_fin,departamento_pcode,municipio_pcode,lugar_detallado,organizador
1,EVT_GT0401_0000,Feria de la Artesanía Tradicional en Chimaltenango - Edición 2024 - Ref 1,2024-11-12,2024-11-15,GT04,GT0401,Plaza Central de Chimaltenango,Municipalidad de Chimaltenango y Comité de Cultura
2,EVT_GT0402_0001,Festival del Tejido Maya y Jaspe en San José Poaquil - Edición 2025 - Ref 2,2025-11-12,2025-11-15,GT04,GT0402,Plaza Central de San José Poaquil,Municipalidad de San José Poaquil y Comité de Cultura
3,EVT_GT0403_0002,Encuentro Regional de Pintores en San Martín Jilotepeque - Edición 2020 - Ref 3,2020-11-12,2020-11-15,GT04,GT0403,Plaza Central de San Martín Jilotepeque,Municipalidad de San Martín Jilotepeque y Comité de Cultura
4,EVT_GT0404_0003,Festival Nacional de la Marimba en Comalapa - Edición 2022 - Ref 4,2022-11-12,2022-11-15,GT04,GT0404,Plaza Central de Comalapa,Municipalidad de Comalapa y Comité de Cultura
5,EVT_GT0405_0004,Exposición Colectiva de Escultura en Santa Apolonia - Edición 2025 - Ref 5,2025-11-12,2025-11-15,GT04,GT0405,Plaza Central de Santa Apolonia,Municipalidad de Santa Apolonia y Comité de Cultura
6,EVT_GT0406_0005,Feria de la Artesanía Tradicional en Tecpán Guatemala - Edición 2025 - Ref 6,2025-11-12,2025-11-15,GT04,GT0406,Plaza Central de Tecpán Guatemala,Municipalidad de Tecpán Guatemala y Comité de Cultura
7,EVT_GT0407_0006,Festival del Tejido Maya y Jaspe en Patzún - Edición 2018 - Ref 7,2018-11-12,2018-11-15,GT04,GT0407,Plaza Central de Patzún,Municipalidad de Patzún y Comité de Cultura
8,EVT_GT0408_0007,Encuentro Regional de Pintores en Pochuta - Edición 2021 - Ref 8,2021-11-12,2021-11-15,GT04,GT0408,Plaza Central de Pochuta,Municipalidad de Pochuta y Comité de Cultura
9,EVT_GT0409_0008,Festival Nacional de la Marimba en Patzicía - Edición 2025 - Ref 9,2025-11-12,2025-11-15,GT04,GT0409,Plaza Central de Patzicía,Municipalidad de Patzicía y Comité de Cultura
10,EVT_GT0410_0009,Exposición Colectiva de Escultura en Santa Cruz Balanyá - Edición 2018 - Ref 10,2018-11-12,2018-11-15,GT04,GT0410,Plaza Central de Santa Cruz Balanyá,Municipalidad de Santa Cruz Balanyá y Comité de Cultura
