id_material,codigo,nombre,descripcion
1,ALGODON_BLANCO_GT0413,Hilo de Algodón Blanco Seleccionado de San Andrés Itzapa,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
2,ALGODON_CUYUSCATE_GT0413,Hilo de Algodón Cuyuscate Natural Seleccionado de San Andrés Itzapa,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
3,BARRO_ROJO_GT0413,Arcilla de Barro Rojo Seleccionado de San Andrés Itzapa,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
4,JADE_JADEITA_GT0413,Jadeita Verde Seleccionado de San Andrés Itzapa,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
5,MADERA_HORMIGO_GT0413,Madera de Hormigo Seleccionado de San Andrés Itzapa,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
6,MADERA_CEDRO_GT0413,Madera de Cedro Seleccionado de San Andrés Itzapa,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
7,TINTE_NATURAL_COCHINILLA_GT0413,Tinte Orgánico de Cochinilla de San Andrés Itzapa,Tinte de origen vegetal/animal obtenido de Cochinilla en San Andrés Itzapa.
8,LANA_OVEJA_GT0413,Lana de Oveja Natural Seleccionado de San Andrés Itzapa,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
9,FIBRA_MIMBRE_GT0413,Fibras de Mimbre Seleccionado de San Andrés Itzapa,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
10,PINTURA_ACRILICA_GT0413,Pintura Acrílica Profesional Seleccionado de San Andrés Itzapa,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Andrés Itzapa.
11,ALGODON_BLANCO_GT0414,Hilo de Algodón Blanco Seleccionado de Parramos,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Parramos.
12,ALGODON_CUYUSCATE_GT0414,Hilo de Algodón Cuyuscate Natural Seleccionado de Parramos,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Parramos.
13,BARRO_ROJO_GT0414,Arcilla de Barro Rojo Seleccionado de Parramos,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Parramos.
14,JADE_JADEITA_GT0414,Jadeita Verde Seleccionado de Parramos,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Parramos.
15,MADERA_HORMIGO_GT0414,Madera de Hormigo Seleccionado de Parramos,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Parramos.
16,MADERA_CEDRO_GT0414,Madera de Cedro Seleccionado de Parramos,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Parramos.
17,TINTE_NATURAL_AÑIL_GT0414,Tinte Orgánico de Añil de Parramos,Tinte de origen vegetal/animal obtenido de Añil en Parramos.
18,LANA_OVEJA_GT0414,Lana de Oveja Natural Seleccionado de Parramos,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Parramos.
19,FIBRA_MIMBRE_GT0414,Fibras de Mimbre Seleccionado de Parramos,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Parramos.
20,PINTURA_ACRILICA_GT0414,Pintura Acrílica Profesional Seleccionado de Parramos,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Parramos.
21,ALGODON_BLANCO_GT0415,Hilo de Algodón Blanco Seleccionado de Zaragoza,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Zaragoza.
22,ALGODON_CUYUSCATE_GT0415,Hilo de Algodón Cuyuscate Natural Seleccionado de Zaragoza,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Zaragoza.
23,BARRO_ROJO_GT0415,Arcilla de Barro Rojo Seleccionado de Zaragoza,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Zaragoza.
24,JADE_JADEITA_GT0415,Jadeita Verde Seleccionado de Zaragoza,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Zaragoza.
25,MADERA_HORMIGO_GT0415,Madera de Hormigo Seleccionado de Zaragoza,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Zaragoza.
26,MADERA_CEDRO_GT0415,Madera de Cedro Seleccionado de Zaragoza,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Zaragoza.
27,TINTE_NATURAL_PALO_DE_CAMPECHE_GT0415,Tinte Orgánico de Palo de Campeche de Zaragoza,Tinte de origen vegetal/animal obtenido de Palo de Campeche en Zaragoza.
28,LANA_OVEJA_GT0415,Lana de Oveja Natural Seleccionado de Zaragoza,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Zaragoza.
29,FIBRA_MIMBRE_GT0415,Fibras de Mimbre Seleccionado de Zaragoza,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Zaragoza.
30,PINTURA_ACRILICA_GT0415,Pintura Acrílica Profesional Seleccionado de Zaragoza,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Zaragoza.
31,ALGODON_BLANCO_GT0416,Hilo de Algodón Blanco Seleccionado de El Tejar,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de El Tejar.
32,ALGODON_CUYUSCATE_GT0416,Hilo de Algodón Cuyuscate Natural Seleccionado de El Tejar,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de El Tejar.
33,BARRO_ROJO_GT0416,Arcilla de Barro Rojo Seleccionado de El Tejar,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de El Tejar.
34,JADE_JADEITA_GT0416,Jadeita Verde Seleccionado de El Tejar,Jadeita Verde de alta calidad recolectado en las zonas montañosas de El Tejar.
35,MADERA_HORMIGO_GT0416,Madera de Hormigo Seleccionado de El Tejar,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de El Tejar.
36,MADERA_CEDRO_GT0416,Madera de Cedro Seleccionado de El Tejar,Madera de Cedro de alta calidad recolectado en las zonas montañosas de El Tejar.
37,TINTE_NATURAL_SACCHIL_GT0416,Tinte Orgánico de Sacchil de El Tejar,Tinte de origen vegetal/animal obtenido de Sacchil en El Tejar.
38,LANA_OVEJA_GT0416,Lana de Oveja Natural Seleccionado de El Tejar,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de El Tejar.
39,FIBRA_MIMBRE_GT0416,Fibras de Mimbre Seleccionado de El Tejar,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de El Tejar.
40,PINTURA_ACRILICA_GT0416,Pintura Acrílica Profesional Seleccionado de El Tejar,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de El Tejar.
41,ALGODON_BLANCO_GT0700,Hilo de Algodón Blanco Seleccionado de Lago De Atitlan,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
42,ALGODON_CUYUSCATE_GT0700,Hilo de Algodón Cuyuscate Natural Seleccionado de Lago De Atitlan,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
43,BARRO_ROJO_GT0700,Arcilla de Barro Rojo Seleccionado de Lago De Atitlan,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
44,JADE_JADEITA_GT0700,Jadeita Verde Seleccionado de Lago De Atitlan,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
45,MADERA_HORMIGO_GT0700,Madera de Hormigo Seleccionado de Lago De Atitlan,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
46,MADERA_CEDRO_GT0700,Madera de Cedro Seleccionado de Lago De Atitlan,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
47,TINTE_NATURAL_EUCALIPTO_GT0700,Tinte Orgánico de Eucalipto de Lago De Atitlan,Tinte de origen vegetal/animal obtenido de Eucalipto en Lago De Atitlan.
48,LANA_OVEJA_GT0700,Lana de Oveja Natural Seleccionado de Lago De Atitlan,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
49,FIBRA_MIMBRE_GT0700,Fibras de Mimbre Seleccionado de Lago De Atitlan,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
50,PINTURA_ACRILICA_GT0700,Pintura Acrílica Profesional Seleccionado de Lago De Atitlan,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Lago De Atitlan.
51,ALGODON_BLANCO_GT0701,Hilo de Algodón Blanco Seleccionado de Sololá,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Sololá.
52,ALGODON_CUYUSCATE_GT0701,Hilo de Algodón Cuyuscate Natural Seleccionado de Sololá,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Sololá.
53,BARRO_ROJO_GT0701,Arcilla de Barro Rojo Seleccionado de Sololá,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Sololá.
54,JADE_JADEITA_GT0701,Jadeita Verde Seleccionado de Sololá,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Sololá.
55,MADERA_HORMIGO_GT0701,Madera de Hormigo Seleccionado de Sololá,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Sololá.
56,MADERA_CEDRO_GT0701,Madera de Cedro Seleccionado de Sololá,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Sololá.
57,TINTE_NATURAL_NOGAL_GT0701,Tinte Orgánico de Nogal de Sololá,Tinte de origen vegetal/animal obtenido de Nogal en Sololá.
58,LANA_OVEJA_GT0701,Lana de Oveja Natural Seleccionado de Sololá,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Sololá.
59,FIBRA_MIMBRE_GT0701,Fibras de Mimbre Seleccionado de Sololá,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Sololá.
60,PINTURA_ACRILICA_GT0701,Pintura Acrílica Profesional Seleccionado de Sololá,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Sololá.
61,ALGODON_BLANCO_GT0702,Hilo de Algodón Blanco Seleccionado de San José Chacayá,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San José Chacayá.
