obra_id,material_id,proporcion_estimada
1,501,88.93
2,3,90.25
3,20,86.99
4,25,66.37
5,31,89.78
6,43,60.52
7,58,50.39
8,68,70.33
9,80,74.85
10,84,83.81
11,91,71.74
12,101,80.47
13,119,95.94
14,129,85.73
15,132,56.58
16,142,89.76
17,160,84.16
18,165,53.4
19,172,63.98
20,183,96.35
21,198,94.43
22,203,86.68
23,220,87.17
24,230,99.59
25,232,82.36
26,243,78.2
27,252,89.38
28,266,97.56
29,275,93.06
30,284,75.12
31,296,91.13
32,310,58.41
33,320,63.52
34,329,73.52
35,336,97.58
36,341,88.5
37,360,81.82
38,363,56.43
39,374,57.55
40,390,56.13
41,391,87.21
42,404,95.25
43,411,59.86
44,430,70.31
45,439,76.12
46,442,91.15
47,452,56.65
48,461,84.92
49,472,64.97
50,482,76.59
51,496,98.05
52,501,69.08
53,520,80.85
54,521,57.96
55,531,79.6
56,549,53.29
57,553,77.65
58,564,53.98
59,574,51.62
60,589,54.71
61,591,60.55
62,606,99.73
63,620,79.75
64,630,56.57
65,633,71.69
66,644,86.01
67,658,73.72
68,666,61.55
69,679,53.37
70,684,97.82
71,695,56.01
72,708,92.25
73,714,86.92
74,730,97.57
75,731,89.14
76,742,54.84
77,755,74.78
78,768,57.47
79,780,63.87
80,782,98.67
81,796,79.45
82,803,66.92
83,816,91.31
84,826,51.56
85,835,66.54
86,848,93.49
87,853,81.32
88,864,96.91
89,874,61.67
90,881,86.93
91,898,63.35
92,909,65.78
93,916,99.01
94,925,66.21
95,939,66.4
96,945,91.77
97,956,84.85
98,966,76.5
99,978,57.71
100,984,68.37
101,999,69.46
102,1001,69.17
103,1020,66.1
104,325,88.07
105,818,56.94
106,401,92.23
107,240,89.33
108,599,54.88
109,664,65.77
110,897,91.91
111,705,76.13
112,752,52.45
113,116,53.47
114,295,58.45
115,53,63.54
116,791,67.53
117,774,77.85
118,904,90.27
119,699,88.83
120,716,96.1
121,91,50.66
122,842,76.34
123,40,89.08
124,262,54.68
125,976,91.14
126,212,77.75
127,910,53.03
128,768,86.39
129,52,64.94
130,701,55.3
131,123,79.15
132,112,66.19
133,616,57.75
134,679,54.83
135,70,97.11
136,876,52.31
137,885,84.19
138,42,93.31
139,786,91.79
140,307,94.85
141,138,89.01
142,608,76.25
143,175,66.12
144,175,96.51
145,797,68.33
146,454,90.54
147,177,81.46
148,767,97.1
149,262,54.63
150,656,58.84
151,874,73.41
152,344,87.49
153,214,57.22
154,342,69.31
155,175,56.43
156,157,75.48
157,73,87.87
158,315,70.16
159,324,93.33
160,240,54.18
161,195,82.25
162,8,98.73
163,16,68.5
164,26,66.47
165,32,70.0
166,42,56.4
167,54,60.64
168,69,88.65
169,74,97.94
170,90,97.16
171,93,79.35
172,102,77.85
173,112,78.14
174,128,60.5
175,140,58.33
176,149,54.92
177,160,79.58
178,166,54.68
179,174,66.26
180,183,62.27
181,196,56.83
182,204,64.04
183,213,83.36
184,226,54.93
185,233,52.41
186,249,95.91
187,258,66.75
188,265,87.84
189,275,74.33
190,285,79.99
191,295,70.04
192,309,61.08
193,312,67.12
194,330,73.11
195,334,76.11
196,350,51.79
197,351,72.61
198,363,81.85
199,373,85.97
200,390,51.82
201,396,94.83
202,409,71.4
203,420,56.37
204,423,69.31
205,440,68.51
206,448,95.76
207,458,79.13
208,468,73.1
209,471,53.73
210,481,60.64
211,499,59.5
212,510,53.04
213,520,94.01
214,530,97.37
215,538,76.92
216,543,99.28
217,560,77.41
218,570,54.13
219,572,50.16
220,581,83.34
221,594,83.72
222,605,50.79
223,616,50.45
224,623,99.1
225,639,92.51
226,646,63.05
227,652,61.13
228,664,82.0
229,674,73.11
230,686,73.27
231,696,66.9
232,702,81.35
233,714,52.38
234,724,55.2
235,735,57.88
236,748,57.26
237,760,99.8
238,763,71.64
239,779,54.98
240,781,64.91
241,796,72.87
242,804,91.23
243,812,59.37
244,821,60.22
245,836,58.2
246,850,88.95
247,851,88.86
248,870,96.82
249,880,71.05
250,886,53.97
251,892,98.16
252,904,62.05
253,914,55.57
254,928,69.85
255,931,95.71
256,946,74.9
257,960,65.48
258,969,95.31
259,971,63.77
260,989,97.1
261,993,68.47
262,1002,52.28
263,1014,96.68
264,733,98.92
265,904,87.43
266,924,77.14
267,149,89.25
268,719,54.51
269,80,78.67
270,526,86.15
271,285,83.75
272,208,81.3
273,646,75.89
274,652,68.13
275,389,91.69
276,433,92.33
277,857,59.2
278,704,53.74
279,972,95.82
280,537,97.24
281,752,91.68
282,870,88.62
283,394,73.55
284,126,67.63
285,419,61.56
286,516,84.11
287,432,87.62
288,289,83.89
289,395,99.37
290,134,91.95
291,544,78.04
292,866,60.04
293,394,85.88
294,152,81.53
295,163,55.3
296,389,61.82
297,500,53.32
298,259,86.04
299,1008,63.36
300,547,65.27
301,885,94.29
302,765,95.11
303,945,57.04
304,936,89.47
305,783,88.87
306,477,89.35
307,905,83.31
308,587,69.85
309,197,85.29
310,574,91.2
311,412,90.24
312,51,63.58
313,418,50.78
314,982,75.78
315,797,58.5
316,267,97.7
317,800,99.91
318,674,84.91
319,388,72.34
320,562,76.23
321,956,58.95
322,10,61.72
323,11,52.81
324,22,83.57
325,38,59.97
326,48,66.54
327,60,88.89
328,62,76.49
329,71,84.05
330,88,66.57
331,94,62.38
332,101,83.42
333,113,62.27
334,128,92.81
335,139,68.82
336,142,96.6
337,159,67.26
338,164,55.4
339,172,75.4
340,185,57.94
341,196,67.06
342,204,86.9
343,214,62.38
344,228,56.77
345,232,56.56
346,241,52.93
347,258,68.72
348,264,77.32
349,276,71.41
350,289,98.18
351,298,54.39
352,304,60.52
353,312,90.4
354,326,65.48
355,338,70.65
356,349,55.3
357,353,59.58
358,364,71.77
359,372,50.42
360,385,85.63
361,393,70.26
362,406,83.38
363,412,63.73
364,421,73.82
365,440,66.8
366,449,67.42
367,458,68.49
368,468,54.47
369,471,60.86
370,485,67.86
371,500,83.15
372,510,62.18
