obra_id,tecnica_id
1,69
2,76
3,84
4,96
5,109
6,117
7,130
8,139
9,147
10,154
11,163
12,172
13,181
14,197
15,201
16,214
17,224
18,234
19,241
20,260
21,270
22,274
23,287
24,294
25,309
26,320
27,324
28,340
29,346
30,353
31,369
32,379
33,390
34,391
35,403
36,416
37,430
38,432
39,447
40,460
41,467
42,474
43,490
44,492
45,501
46,517
47,522
48,536
49,542
50,560
51,567
52,579
53,586
54,597
55,604
56,617
57,630
58,636
59,641
60,653
61,662
62,672
63,684
64,691
65,704
66,717
67,722
68,732
69,750
70,754
71,769
72,777
73,790
74,800
75,810
76,811
77,829
78,836
79,849
80,860
81,861
82,879
83,890
84,897
85,907
86,917
87,926
88,940
89,943
90,953
91,964
92,977
93,989
94,993
95,1007
96,1016
97,530
98,376
99,316
100,589
101,699
102,607
103,326
104,286
105,367
106,736
107,988
108,94
109,750
110,601
111,630
112,197
113,930
114,453
115,170
116,1001
117,449
118,729
119,875
120,721
121,566
122,333
123,502
124,814
125,491
126,531
127,92
128,565
129,324
130,226
131,360
132,249
133,75
134,869
135,653
136,11
137,110
138,216
139,79
140,485
141,530
142,437
143,682
144,79
145,353
146,211
147,154
148,470
149,726
150,261
151,534
152,282
153,49
154,5
155,6
156,17
157,23
158,32
159,44
160,60
161,63
162,80
163,86
164,100
165,106
166,116
167,129
168,136
169,143
170,152
171,167
172,176
173,187
174,194
175,202
176,213
177,221
178,231
179,250
180,252
181,264
182,271
183,286
184,299
185,304
186,320
187,322
188,331
189,341
190,360
191,361
192,379
193,383
194,391
195,409
196,412
197,424
198,439
199,450
200,460
201,464
202,471
203,489
204,500
205,506
206,516
207,524
208,533
209,549
210,559
211,567
212,579
213,582
214,596
215,606
216,611
217,627
218,637
219,644
220,657
221,664
222,672
223,686
224,691
225,706
226,716
227,721
228,733
229,744
230,759
231,764
232,777
233,781
234,796
235,801
236,811
237,823
238,837
239,842
240,851
241,861
242,877
243,882
244,896
245,901
246,917
247,930
248,940
249,944
250,951
251,966
252,980
253,990
254,1000
255,1009
256,1020
257,1010
258,199
259,621
260,904
261,663
262,974
263,196
264,1001
265,832
266,444
267,61
268,995
269,739
270,675
271,42
272,21
273,925
274,301
275,523
276,945
277,108
278,810
279,657
280,840
281,18
282,882
283,42
284,867
285,12
286,153
287,620
288,743
289,660
290,213
291,2
292,841
293,818
294,291
295,93
296,374
297,540
298,90
299,744
300,984
301,567
302,747
303,537
304,984
305,778
306,389
307,652
308,471
309,890
310,291
311,423
312,863
313,476
314,9
315,3
316,19
317,27
318,36
319,46
320,59
321,61
322,72
323,82
324,99
325,102
326,119
327,124
328,131
329,146
330,151
331,169
332,179
333,181
334,200
335,203
336,213
337,227
338,236
339,249
340,253
341,261
342,277
343,282
344,294
345,307
346,320
347,324
348,333
349,344
350,360
351,366
352,373
353,387
354,396
355,403
356,419
357,427
358,439
359,450
360,457
361,470
362,474
363,482
364,496
365,501
366,513
367,521
368,536
369,550
370,560
371,562
372,577
373,586
374,597
375,610
376,619
377,626
378,631
379,647
380,656
381,661
382,676
383,687
384,699
385,710
386,712
387,726
388,733
389,742
390,760
391,761
392,771
393,784
394,794
395,801
396,813
397,830
398,836
399,843
400,857
401,862
402,880
403,886
404,892
405,906
406,912
407,924
408,939
409,947
410,953
411,969
412,972
413,982
414,991
415,1007
416,1019
417,598
418,226
419,716
420,481
421,920
422,501
423,291
424,672
425,298
426,989
427,568
428,265
429,781
430,442
431,275
432,232
433,837
434,555
435,931
436,806
437,891
438,414
439,444
440,774
441,202
442,30
443,1013
444,334
445,225
446,621
447,837
448,825
449,595
450,776
451,663
452,473
453,407
454,902
455,349
456,515
457,452
458,126
459,723
460,130
461,859
462,91
463,516
464,890
465,786
466,866
467,714
468,792
469,11
470,1010
471,93
472,949
473,424
474,215
475,7
476,17
477,29
478,34
479,44
480,57
481,66
482,72
483,86
484,97
485,102
486,119
487,126
488,132
489,147
490,153
491,167
492,179
493,187
494,200
495,203
496,216
497,224
498,237
499,241
500,253
501,267
502,271
503,284
504,293
505,307
506,311
507,329
508,331
509,347
510,359
511,364
512,379
513,381
514,393
515,410
516,411
517,430
518,437
519,444
520,454
521,470
522,473
523,486
524,496
525,510
526,511
527,529
528,533
529,544
530,556
531,570
532,579
533,583
534,592
535,602
536,620
537,627
538,631
539,647
540,659
541,663
542,672
543,687
544,696
545,701
546,714
547,727
548,736
549,742
550,760
551,766
552,773
553,783
554,792
555,810
556,816
557,824
558,836
559,847
560,853
561,862
562,879
563,887
564,896
565,902
566,912
567,923
568,931
569,941
570,959
571,964
572,979
573,990
574,1000
575,1007
576,1019
577,709
578,240
579,386
580,245
581,620
582,743
583,397
584,164
585,681
586,873
587,522
588,248
589,15
590,363
591,45
592,648
593,674
594,213
595,937
596,984
597,842
598,781
599,102
600,742
601,817
602,507
603,667
604,610
605,242
606,585
607,77
608,227
609,441
610,838
611,688
612,1005
613,583
614,838
615,975
616,325
617,532
618,289
619,832
620,964
621,608
622,293
623,700
624,240
625,557
626,433
627,593
628,937
629,402
630,462
631,694
632,746
633,185
634,601
635,3
636,11
637,22
638,31
639,49
640,51
641,70
642,74
643,87
644,93
645,102
646,113
647,122
648,132
649,144
650,160
651,162
652,179
653,183
654,193
655,210
656,217
657,226
658,239
659,241
660,252
661,261
662,279
663,290
664,291
665,309
666,316
667,329
668,340
669,342
670,356
671,362
672,380
673,386
674,400
675,401
676,411
677,424
678,432
679,449
680,452
681,461
682,471
683,484
684,492
685,509
686,517
687,526
688,534
689,542
690,553
691,570
692,579
693,590
694,591
695,609
696,617
697,626
698,631
699,643
700,660
701,661
702,674
703,687
704,693
705,707
706,717
707,721
708,731
709,741
710,754
711,770
712,779
713,783
714,791
715,806
716,820
717,823
718,831
719,843
720,856
721,862
722,872
723,889
724,896
725,902
726,912
727,929
728,937
729,942
730,951
731,970
732,979
733,990
734,996
735,1002
736,1020
737,717
738,436
739,390
740,551
741,797
742,24
743,249
744,276
745,239
746,871
747,557
748,889
749,394
750,213
751,425
752,462
753,932
754,95
755,658
756,417
757,729
758,662
759,516
760,98
761,944
762,333
763,890
764,889
765,230
766,751
767,774
768,686
769,245
770,98
771,788
772,924
773,941
774,21
775,207
776,752
777,201
778,285
779,266
780,104
781,700
782,430
783,885
784,732
785,193
786,933
787,184
788,389
789,37
790,666
791,252
792,423
793,414
794,526
795,3
796,12
797,23
798,33
799,43
800,60
801,64
802,80
803,81
804,96
805,109
806,116
807,127
808,139
809,146
810,153
811,163
812,174
813,186
814,196
815,204
816,212
817,227
818,232
819,244
820,259
821,270
822,280
823,286
824,292
825,304
826,314
827,324
828,340
829,343
830,360
831,361
832,374
833,386
834,394
835,409
836,419
837,424
838,434
839,447
840,460
841,461
842,479
843,482
844,497
845,503
846,512
847,521
848,537
849,549
850,552
851,567
852,573
853,589
854,596
855,610
856,619
857,623
858,633
859,643
860,656
861,669
862,676
863,687
864,694
865,703
866,717
867,726
868,731
869,750
870,756
871,763
872,773
873,784
874,797
875,801
876,812
877,829
878,839
879,847
880,856
881,870
882,873
883,886
884,891
885,909
886,920
887,923
888,933
889,943
890,957
891,966
892,971
893,987
894,999
895,1009
896,1014
897,670
898,354
899,591
900,148
901,68
902,230
903,313
904,59
905,348
906,413
907,689
908,961
909,908
910,225
911,279
912,910
913,662
914,613
915,323
916,853
917,263
918,923
919,898
920,67
921,690
922,581
923,318
924,751
925,955
926,959
927,156
928,636
929,240
930,613
931,376
932,653
933,491
934,506
935,489
936,751
937,484
938,405
939,596
940,145
941,435
942,847
943,419
944,479
945,180
946,651
947,343
948,111
949,551
950,334
951,726
952,753
953,371
954,90
955,6
956,20
957,27
958,31
959,47
960,52
961,64
962,80
963,87
964,96
965,110
966,116
967,121
968,133
969,141
970,152
971,167
972,171
973,183
974,197
975,209
976,213
977,226
978,232
979,242
980,257
981,262
982,276
983,289
984,293
985,307
986,311
987,326
988,337
989,346
990,354
991,370
992,380
993,382
994,399
995,409
996,417
997,430
998,440
999,444
1000,453
1001,470
1002,480
1003,486
1004,492
1005,503
1006,513
1007,522
1008,537
1009,550
1010,551
1011,569
1012,572
1013,589
1014,597
1015,604
1016,614
1017,626
1018,632
1019,644
1020,656
