evento_id,artista_id,taller_id,premio_reconocimiento
1,971,571,Tercer Lugar de la Crítica
2,1012,,
3,28,,
4,195,750,
5,700,,Mención de Honor por Innovación
6,222,,
7,554,319,
8,323,,
9,398,,Mejor Técnica Tradicional
10,448,1008,
11,42,,
12,742,,
13,994,921,Tercer Lugar de la Crítica
14,614,,
15,240,,
16,798,352,
17,485,,Artista Revelación del Año
18,744,,
19,942,387,
20,539,,
21,49,,Artista Revelación del Año
22,741,509,
23,441,,
24,839,,
25,975,320,Tercer Lugar de la Crítica
26,422,,
27,349,,
28,398,793,
29,488,,
30,646,,
31,200,551,
32,16,,
33,476,,Segundo Lugar en Categoría Alfarería
34,95,308,
35,223,,
36,348,,
37,621,1014,Mención de Honor por Innovación
38,549,,
39,419,,
40,997,43,
41,291,,Artista Revelación del Año
42,994,,
43,13,108,
44,821,,
45,1019,,Artista Revelación del Año
46,913,539,
47,1001,,
48,145,,
49,587,814,Tercer Lugar de la Crítica
50,38,,
51,383,,
52,245,963,
53,617,,
54,974,,
55,483,251,
56,345,,
57,543,,Artista Revelación del Año
58,469,287,
59,1006,,
60,486,,
61,352,160,Primer Lugar en Categoría Textil
62,447,,
63,151,,
64,478,821,
65,625,,Tercer Lugar de la Crítica
66,407,,
67,418,842,
68,962,,
69,667,,Primer Lugar en Categoría Textil
70,274,762,
71,661,,
72,196,,
73,889,215,Segundo Lugar en Categoría Alfarería
74,910,,
75,872,,
76,7,506,
77,179,,
78,119,,
79,421,529,
80,576,,
81,875,,
82,407,106,
83,530,,
84,418,,
85,155,39,Mejor Técnica Tradicional
86,230,,
87,629,,
88,877,301,
89,221,,Mejor Técnica Tradicional
90,294,,
91,1010,325,
92,1014,,
93,345,,Mención de Honor por Innovación
94,488,102,
95,197,,
96,455,,
97,821,438,Segundo Lugar en Categoría Alfarería
98,196,,
99,539,,
100,710,951,
101,388,,Artista Revelación del Año
102,131,,
103,852,327,
104,410,,
105,592,,Destacado Trayectoria Artística
106,347,462,
107,608,,
108,685,,
109,802,217,Primer Lugar en Categoría Textil
110,189,,
111,347,,
112,572,687,
113,330,,Mejor Técnica Tradicional
114,953,,
115,539,577,
116,300,,
117,527,,Segundo Lugar en Categoría Alfarería
118,700,972,
119,357,,
120,503,,
121,776,476,Mención de Honor por Innovación
122,718,,
123,564,,
124,458,397,
125,609,,Artista Revelación del Año
126,340,,
127,854,1007,
128,567,,
129,815,,Mejor Técnica Tradicional
130,935,927,
131,638,,
132,813,,
133,265,739,Artista Revelación del Año
134,197,,
135,377,,
136,786,903,
