id_produccion,departamento_pcode,municipio_pcode,tipo_obra_id,anio,volumen_estimado_unidades,valor_estimado_mercado_q,cantidad_artesanos_activos
1,GT04,GT0401,1,2021,433,353440.2,42
2,GT04,GT0401,1,2022,2500,468926.3,146
3,GT04,GT0401,1,2023,4397,385238.77,30
4,GT04,GT0401,1,2024,659,77535.86,284
5,GT04,GT0401,1,2025,1323,287491.77,223
6,GT04,GT0401,2,2021,1347,130464.01,295
7,GT04,GT0401,2,2022,2727,189702.43,301
8,GT04,GT0401,2,2023,445,749590.1,203
9,GT04,GT0401,2,2024,577,452635.62,42
10,GT04,GT0401,2,2025,4153,512643.1,162
11,GT04,GT0401,3,2021,2266,137435.04,85
12,GT04,GT0401,3,2022,4170,557322.51,276
13,GT04,GT0401,3,2023,2414,141619.46,54
14,GT04,GT0401,3,2024,4245,488361.03,19
15,GT04,GT0401,3,2025,2526,747497.36,140
16,GT04,GT0402,11,2021,4061,531476.87,167
17,GT04,GT0402,11,2022,3156,503171.81,305
18,GT04,GT0402,11,2023,956,322813.5,51
19,GT04,GT0402,11,2024,2731,610855.73,169
20,GT04,GT0402,11,2025,714,86164.93,40
21,GT04,GT0402,12,2021,3113,735060.11,118
22,GT04,GT0402,12,2022,1601,795765.41,43
23,GT04,GT0402,12,2023,751,667038.83,36
24,GT04,GT0402,12,2024,3053,674999.89,261
25,GT04,GT0402,12,2025,2627,806139.25,235
26,GT04,GT0402,13,2021,1330,84609.99,81
27,GT04,GT0402,13,2022,2813,278893.25,54
28,GT04,GT0402,13,2023,816,100282.27,232
29,GT04,GT0402,13,2024,3622,784355.33,281
30,GT04,GT0402,13,2025,1820,624253.48,118
31,GT04,GT0403,21,2021,431,405818.67,264
32,GT04,GT0403,21,2022,1208,473881.75,99
33,GT04,GT0403,21,2023,187,720019.5,134
34,GT04,GT0403,21,2024,765,268508.78,51
35,GT04,GT0403,21,2025,1858,826630.41,119
36,GT04,GT0403,22,2021,3740,187467.44,175
37,GT04,GT0403,22,2022,2437,568572.53,196
38,GT04,GT0403,22,2023,3367,170901.88,118
39,GT04,GT0403,22,2024,3044,628024.18,137
40,GT04,GT0403,22,2025,338,370607.76,318
41,GT04,GT0403,23,2021,1450,796269.71,90
42,GT04,GT0403,23,2022,546,148349.19,241
43,GT04,GT0403,23,2023,2797,578778.46,247
44,GT04,GT0403,23,2024,3680,518293.81,268
45,GT04,GT0403,23,2025,2606,568799.17,203
46,GT04,GT0404,31,2021,3476,665035.43,142
47,GT04,GT0404,31,2022,3850,127325.66,136
48,GT04,GT0404,31,2023,4203,96822.31,264
49,GT04,GT0404,31,2024,797,799818.89,40
50,GT04,GT0404,31,2025,2900,636327.79,159
51,GT04,GT0404,32,2021,3564,600849.52,196
52,GT04,GT0404,32,2022,3730,629936.38,37
53,GT04,GT0404,32,2023,3456,709801.79,58
54,GT04,GT0404,32,2024,4011,513961.94,52
55,GT04,GT0404,32,2025,3298,423164.07,310
56,GT04,GT0404,33,2021,2275,217744.25,55
57,GT04,GT0404,33,2022,151,582906.73,147
58,GT04,GT0404,33,2023,340,529877.74,84
59,GT04,GT0404,33,2024,3619,303652.68,171
60,GT04,GT0404,33,2025,4121,569372.8,296
61,GT04,GT0405,41,2021,2848,168837.19,299
62,GT04,GT0405,41,2022,1914,162687.35,138
63,GT04,GT0405,41,2023,1604,114799.94,26
64,GT04,GT0405,41,2024,3452,609391.4,38
65,GT04,GT0405,41,2025,487,634796.47,276
66,GT04,GT0405,42,2021,1076,264191.66,213
67,GT04,GT0405,42,2022,3722,491574.05,77
68,GT04,GT0405,42,2023,1588,719563.03,140
69,GT04,GT0405,42,2024,1024,68063.76,173
70,GT04,GT0405,42,2025,3556,664251.15,295
71,GT04,GT0405,43,2021,1963,203750.47,174
72,GT04,GT0405,43,2022,1283,706098.55,178
73,GT04,GT0405,43,2023,2597,349574.47,88
74,GT04,GT0405,43,2024,915,640892.87,16
75,GT04,GT0405,43,2025,1541,470659.62,178
76,GT04,GT0406,51,2021,4210,304035.22,291
77,GT04,GT0406,51,2022,3001,279143.66,138
78,GT04,GT0406,51,2023,3647,180612.57,195
79,GT04,GT0406,51,2024,3898,207096.04,300
80,GT04,GT0406,51,2025,831,218880.16,137
81,GT04,GT0406,52,2021,1214,598089.8,307
82,GT04,GT0406,52,2022,3823,316108.17,73
83,GT04,GT0406,52,2023,2456,553794.17,309
84,GT04,GT0406,52,2024,2904,824288.88,293
85,GT04,GT0406,52,2025,2585,193375.08,185
86,GT04,GT0406,53,2021,2090,485799.64,44
87,GT04,GT0406,53,2022,255,440831.9,168
88,GT04,GT0406,53,2023,1051,588124.63,96
89,GT04,GT0406,53,2024,3169,224475.96,193
90,GT04,GT0406,53,2025,676,332543.9,78
