id_taller,codigo,nombre,representante,departamento_pcode,municipio_pcode,direccion,anio_fundacion,cantidad_miembros,contacto
1,TAL_GT0401_0000,Taller Familiar de Arte Tradicional Ixchel en Chimaltenango,Maestro Rosa Tax,GT04,GT0401,"Cantón Centro, Lote 56",2001,32,+502 4492-1382
2,TAL_GT0402_0001,Cooperativa de Producción Artesanal Kiche de R.L. (San José Poaquil),Maestro Santiago Ixcol,GT04,GT0402,"Cantón El Carmen, Lote 59",2000,36,+502 5573-2310
3,TAL_GT0403_0002,Asociación de Artesanos Atitlan Mam de San Martín Jilotepeque,Maestro María Chox,GT04,GT0403,"Cantón Tzanjuyup, Lote 9",2021,16,+502 4653-1545
4,TAL_GT0404_0003,Taller Familiar de Arte Tradicional Iximche en Comalapa,Maestro Manuel Mazariegos,GT04,GT0404,"Cantón El Carmen, Lote 21",1988,31,+502 5208-8577
5,TAL_GT0405_0004,Cooperativa de Producción Artesanal Qeqchi de R.L. (Santa Apolonia),Maestro Pedro  Fuentes,GT04,GT0405,"Cantón Tzanjuyup, Lote 93",1996,27,+502 5769-6371
6,TAL_GT0406_0005,Asociación de Artesanos Jaspe Popol de Tecpán Guatemala,Maestro Juan Tax,GT04,GT0406,"Cantón Tzanjuyup, Lote 93",1990,9,+502 4456-4679
7,TAL_GT0407_0006,Taller Familiar de Arte Tradicional Hunapu en Patzún,Maestro Juan Mazariegos,GT04,GT0407,"Cantón Centro, Lote 99",2016,26,+502 5537-3406
8,TAL_GT0408_0007,Cooperativa de Producción Artesanal Xelaju de R.L. (Pochuta),Maestro Manuel Tupul,GT04,GT0408,"Cantón Centro, Lote 38",1995,33,+502 5176-5769
9,TAL_GT0409_0008,Asociación de Artesanos Kiche Utatlan de Patzicía,Maestro Juana Mazariegos,GT04,GT0409,"Cantón Tzanjuyup, Lote 22",1982,39,+502 4476-4617
10,TAL_GT0410_0009,Taller Familiar de Arte Tradicional Mam en Santa Cruz Balanyá,Maestro María Tax,GT04,GT0410,"Cantón Centro, Lote 85",2006,41,+502 5407-2288
11,TAL_GT0411_0010,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (Acatenango),Maestro Juana Ixcol,GT04,GT0411,"Cantón Pachoc, Lote 11",1997,22,+502 4782-6716
