id_tecnica,codigo,nombre,origen_historico,descripcion
1,TELAR_CINTURA_GT0406,Telar de Cintura de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Tecpán Guatemala.
2,TELAR_PIE_GT0406,Telar de Pie de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Tecpán Guatemala.
3,JASPEADO_HILO_GT0406,Jaspeado de Hilos de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Tecpán Guatemala.
4,BARRO_MODELADO_GT0406,Barro Modelado a Mano de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Tecpán Guatemala."
5,BARRO_TORNO_GT0406,Barro en Torno de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Tecpán Guatemala.
6,TALLADO_CEDRO_GT0406,Tallado en Madera de Cedro de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Tecpán Guatemala.
7,JADE_PULIDO_GT0406,Pulido de Jade de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Tecpán Guatemala.
8,AFINACION_ACUSTICA_GT0406,Afinación Acústica de Teclados de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Tecpán Guatemala.
9,PINTURA_PRIMITIVA_GT0406,Pintura Primitivista de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Tecpán Guatemala.
10,TEJIDO_MIMBRE_GT0406,Tejido en Fibras de Mimbre de Tecpán Guatemala,Técnica heredada de generación en generación en Tecpán Guatemala.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Tecpán Guatemala.
11,TELAR_CINTURA_GT0407,Telar de Cintura de Patzún,Técnica heredada de generación en generación en Patzún.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Patzún.
