id_tipo_obra,codigo,nombre,descripcion,categoria_general
1,TEXTIL_HUIPIL_GT0401,Huipil Tradicional Estilo Chimaltenango,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
2,TEXTIL_CORTE_GT0401,Corte Jaspeado Estilo Chimaltenango,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
3,TEXTIL_FAJA_GT0401,Faja Artesanal Estilo Chimaltenango,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
4,CERAMICA_BARRO_GT0401,Cerámica de Barro Estilo Chimaltenango,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
5,MADERA_MASCARA_GT0401,Máscara de Madera Estilo Chimaltenango,"Máscara tallada a mano para danzas folklóricas típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
6,MADERA_JUGUETE_GT0401,Juguete de Madera Estilo Chimaltenango,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
7,JADE_TALLADO_GT0401,Jade Tallado Estilo Chimaltenango,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
8,MUSICA_MARIMBA_GT0401,Marimba de Madera Estilo Chimaltenango,"Instrumento musical nacional de marimba tallado típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
9,PINTURA_CUADRO_GT0401,Pintura Costumbrista Estilo Chimaltenango,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTES_VISUALES
10,CESTERIA_CANASTA_GT0401,Canasta de Mimbre Estilo Chimaltenango,"Canastas y artículos de fibra natural tejida típico del municipio de Chimaltenango, departamento de Chimaltenango.",ARTESANIA
11,TEXTIL_HUIPIL_GT0402,Huipil Tradicional Estilo San José Poaquil,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
12,TEXTIL_CORTE_GT0402,Corte Jaspeado Estilo San José Poaquil,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
13,TEXTIL_FAJA_GT0402,Faja Artesanal Estilo San José Poaquil,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
14,CERAMICA_BARRO_GT0402,Cerámica de Barro Estilo San José Poaquil,"Piezas utilitarias y decorativas de barro cocido típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
15,MADERA_MASCARA_GT0402,Máscara de Madera Estilo San José Poaquil,"Máscara tallada a mano para danzas folklóricas típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
16,MADERA_JUGUETE_GT0402,Juguete de Madera Estilo San José Poaquil,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
17,JADE_TALLADO_GT0402,Jade Tallado Estilo San José Poaquil,"Piezas de joyería y escultura en piedra de Jade típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
18,MUSICA_MARIMBA_GT0402,Marimba de Madera Estilo San José Poaquil,"Instrumento musical nacional de marimba tallado típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
19,PINTURA_CUADRO_GT0402,Pintura Costumbrista Estilo San José Poaquil,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTES_VISUALES
20,CESTERIA_CANASTA_GT0402,Canasta de Mimbre Estilo San José Poaquil,"Canastas y artículos de fibra natural tejida típico del municipio de San José Poaquil, departamento de Chimaltenango.",ARTESANIA
21,TEXTIL_HUIPIL_GT0403,Huipil Tradicional Estilo San Martín Jilotepeque,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
22,TEXTIL_CORTE_GT0403,Corte Jaspeado Estilo San Martín Jilotepeque,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
23,TEXTIL_FAJA_GT0403,Faja Artesanal Estilo San Martín Jilotepeque,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
24,CERAMICA_BARRO_GT0403,Cerámica de Barro Estilo San Martín Jilotepeque,"Piezas utilitarias y decorativas de barro cocido típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
25,MADERA_MASCARA_GT0403,Máscara de Madera Estilo San Martín Jilotepeque,"Máscara tallada a mano para danzas folklóricas típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
26,MADERA_JUGUETE_GT0403,Juguete de Madera Estilo San Martín Jilotepeque,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
27,JADE_TALLADO_GT0403,Jade Tallado Estilo San Martín Jilotepeque,"Piezas de joyería y escultura en piedra de Jade típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
28,MUSICA_MARIMBA_GT0403,Marimba de Madera Estilo San Martín Jilotepeque,"Instrumento musical nacional de marimba tallado típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
29,PINTURA_CUADRO_GT0403,Pintura Costumbrista Estilo San Martín Jilotepeque,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTES_VISUALES
30,CESTERIA_CANASTA_GT0403,Canasta de Mimbre Estilo San Martín Jilotepeque,"Canastas y artículos de fibra natural tejida típico del municipio de San Martín Jilotepeque, departamento de Chimaltenango.",ARTESANIA
31,TEXTIL_HUIPIL_GT0404,Huipil Tradicional Estilo Comalapa,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
32,TEXTIL_CORTE_GT0404,Corte Jaspeado Estilo Comalapa,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
33,TEXTIL_FAJA_GT0404,Faja Artesanal Estilo Comalapa,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
34,CERAMICA_BARRO_GT0404,Cerámica de Barro Estilo Comalapa,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
35,MADERA_MASCARA_GT0404,Máscara de Madera Estilo Comalapa,"Máscara tallada a mano para danzas folklóricas típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
36,MADERA_JUGUETE_GT0404,Juguete de Madera Estilo Comalapa,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
37,JADE_TALLADO_GT0404,Jade Tallado Estilo Comalapa,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
38,MUSICA_MARIMBA_GT0404,Marimba de Madera Estilo Comalapa,"Instrumento musical nacional de marimba tallado típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
39,PINTURA_CUADRO_GT0404,Pintura Costumbrista Estilo Comalapa,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Comalapa, departamento de Chimaltenango.",ARTES_VISUALES
40,CESTERIA_CANASTA_GT0404,Canasta de Mimbre Estilo Comalapa,"Canastas y artículos de fibra natural tejida típico del municipio de Comalapa, departamento de Chimaltenango.",ARTESANIA
41,TEXTIL_HUIPIL_GT0405,Huipil Tradicional Estilo Santa Apolonia,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
42,TEXTIL_CORTE_GT0405,Corte Jaspeado Estilo Santa Apolonia,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
43,TEXTIL_FAJA_GT0405,Faja Artesanal Estilo Santa Apolonia,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
44,CERAMICA_BARRO_GT0405,Cerámica de Barro Estilo Santa Apolonia,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
45,MADERA_MASCARA_GT0405,Máscara de Madera Estilo Santa Apolonia,"Máscara tallada a mano para danzas folklóricas típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
46,MADERA_JUGUETE_GT0405,Juguete de Madera Estilo Santa Apolonia,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
47,JADE_TALLADO_GT0405,Jade Tallado Estilo Santa Apolonia,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
48,MUSICA_MARIMBA_GT0405,Marimba de Madera Estilo Santa Apolonia,"Instrumento musical nacional de marimba tallado típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
49,PINTURA_CUADRO_GT0405,Pintura Costumbrista Estilo Santa Apolonia,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTES_VISUALES
50,CESTERIA_CANASTA_GT0405,Canasta de Mimbre Estilo Santa Apolonia,"Canastas y artículos de fibra natural tejida típico del municipio de Santa Apolonia, departamento de Chimaltenango.",ARTESANIA
51,TEXTIL_HUIPIL_GT0406,Huipil Tradicional Estilo Tecpán Guatemala,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
52,TEXTIL_CORTE_GT0406,Corte Jaspeado Estilo Tecpán Guatemala,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
53,TEXTIL_FAJA_GT0406,Faja Artesanal Estilo Tecpán Guatemala,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
54,CERAMICA_BARRO_GT0406,Cerámica de Barro Estilo Tecpán Guatemala,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
55,MADERA_MASCARA_GT0406,Máscara de Madera Estilo Tecpán Guatemala,"Máscara tallada a mano para danzas folklóricas típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
56,MADERA_JUGUETE_GT0406,Juguete de Madera Estilo Tecpán Guatemala,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
57,JADE_TALLADO_GT0406,Jade Tallado Estilo Tecpán Guatemala,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
58,MUSICA_MARIMBA_GT0406,Marimba de Madera Estilo Tecpán Guatemala,"Instrumento musical nacional de marimba tallado típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
59,PINTURA_CUADRO_GT0406,Pintura Costumbrista Estilo Tecpán Guatemala,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTES_VISUALES
60,CESTERIA_CANASTA_GT0406,Canasta de Mimbre Estilo Tecpán Guatemala,"Canastas y artículos de fibra natural tejida típico del municipio de Tecpán Guatemala, departamento de Chimaltenango.",ARTESANIA
61,TEXTIL_HUIPIL_GT0407,Huipil Tradicional Estilo Patzún,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
62,TEXTIL_CORTE_GT0407,Corte Jaspeado Estilo Patzún,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
63,TEXTIL_FAJA_GT0407,Faja Artesanal Estilo Patzún,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
64,CERAMICA_BARRO_GT0407,Cerámica de Barro Estilo Patzún,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
65,MADERA_MASCARA_GT0407,Máscara de Madera Estilo Patzún,"Máscara tallada a mano para danzas folklóricas típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
66,MADERA_JUGUETE_GT0407,Juguete de Madera Estilo Patzún,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
67,JADE_TALLADO_GT0407,Jade Tallado Estilo Patzún,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
68,MUSICA_MARIMBA_GT0407,Marimba de Madera Estilo Patzún,"Instrumento musical nacional de marimba tallado típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
69,PINTURA_CUADRO_GT0407,Pintura Costumbrista Estilo Patzún,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Patzún, departamento de Chimaltenango.",ARTES_VISUALES
70,CESTERIA_CANASTA_GT0407,Canasta de Mimbre Estilo Patzún,"Canastas y artículos de fibra natural tejida típico del municipio de Patzún, departamento de Chimaltenango.",ARTESANIA
71,TEXTIL_HUIPIL_GT0408,Huipil Tradicional Estilo Pochuta,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
72,TEXTIL_CORTE_GT0408,Corte Jaspeado Estilo Pochuta,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
73,TEXTIL_FAJA_GT0408,Faja Artesanal Estilo Pochuta,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
