Fecha,Lluvia,Temperatura Maxima,Temperatura Minima,Temperatura Media,Evaporacion Tanque,Evaporacion Piche,Humedad Relativa,Brillo Solar,Nubosidad,Velocidad Viento,Direccion Viento,Temperatura Suelo 50cm,Temperatura Suelo 100cm
2026-06-06,15.4,28.2,17.4,22.1,5.6,2.1,88.0,3.1,8.0,3.3,9.0,22.5,23.2
2026-06-07,1.7,24.8,18.1,19.9,,2.3,95.0,1.4,8.0,1.3,270.0,,23.3
2026-06-08,4.1,25.5,18.6,21.3,,0.4,87.0,3.5,6.0,1.7,135.0,22.8,23.4
2026-06-09,11.2,26.1,17.6,21.5,0.9,,80.0,4.3,8.0,5.0,180.0,22.7,23.4
2026-06-10,8.5,24.4,17.5,20.4,2.9,1.1,86.0,0.6,8.0,4.3,180.0,22.6,23.4
2026-06-11,14.3,20.9,17.5,18.6,7.0,0.5,96.0,0.0,8.0,1.7,180.0,,23.4
2026-06-12,0.0,23.8,17.1,20.5,,0.5,82.0,,8.0,3.7,180.0,22.5,23.2
2026-06-13,0.0,28.4,16.8,21.8,0.9,1.0,84.0,3.7,5.0,0.7,0.0,22.5,23.2
2026-06-14,0.0,27.1,18.3,23.4,,2.0,70.0,5.8,3.0,4.7,360.0,,23.4
2026-06-15,2.4,29.9,18.7,21.2,3.7,3.0,90.0,8.3,8.0,9.5,112.5,22.8,22.3
2026-06-16,1.8,25.9,17.3,21.5,2.7,3.2,81.0,7.8,6.0,4.7,180.0,22.5,23.1
2026-06-17,0.0,26.3,17.7,22.0,2.4,2.5,77.0,7.8,4.0,5.3,9.0,22.5,23.0
2026-06-18,0.0,25.7,17.9,22.1,1.7,2.5,70.0,9.0,3.0,9.7,9.0,22.6,23.0
2026-06-19,0.0,28.3,16.4,22.4,2.0,2.4,72.0,8.8,6.0,3.0,180.0,22.4,23.0
2026-06-20,0.0,27.6,17.5,23.3,7.2,1.7,71.0,,5.0,9.7,90.0,22.3,23.0
2026-06-21,3.6,26.2,17.7,22.4,,,74.0,,0.0,4.3,45.0,22.2,23.0
2026-06-22,61.0,21.6,17.6,19.5,,3.0,91.0,2.3,8.0,0.7,0.0,22.3,23.0
2026-06-23,0.0,26.3,16.7,22.1,5.1,0.5,75.0,9.2,3.0,7.0,360.0,22.0,22.8
2026-06-24,0.0,26.8,17.9,22.3,2.9,0.5,68.0,7.1,3.0,7.0,270.0,21.6,22.6
2026-06-25,0.1,24.3,17.8,21.2,3.5,1.9,74.0,6.4,6.0,4.0,360.0,21.9,22.7
2026-06-26,1.4,26.4,17.3,21.9,2.4,1.6,74.0,6.5,2.0,3.3,45.0,21.6,22.6
2026-06-27,0.0,26.3,17.9,15.8,1.4,1.8,80.0,6.5,6.0,10.5,315.0,21.7,22.7
2026-06-28,0.0,27.0,17.8,22.3,3.3,2.0,69.0,,0.0,4.3,360.0,21.7,22.7
2026-06-29,0.0,26.3,17.0,21.6,,1.4,76.0,8.4,5.0,9.0,270.0,21.9,22.7
2026-06-30,0.0,27.6,17.4,23.2,4.1,2.5,71.0,7.4,3.0,8.0,360.0,21.7,22.6
2026-07-01,0.0,28.3,18.9,23.6,2.5,4.0,54.0,8.7,2.0,5.3,360.0,21.7,22.6
2026-07-02,0.0,26.8,18.4,22.7,1.9,1.9,71.0,7.4,5.0,4.3,360.0,21.8,22.6
2026-07-03,0.0,28.6,17.9,23.2,6.0,0.6,70.0,,6.0,6.0,360.0,22.0,22.6
2026-07-04,0.0,28.3,17.6,23.6,4.0,1.7,70.0,9.0,5.0,2.7,9.0,22.2,22.9
2026-07-05,2.9,27.9,17.3,23.1,0.2,1.8,75.0,6.8,3.0,1.7,90.0,22.2,22.6
2026-07-06,,,17.7,21.0,8.2,0.4,74.0,,7.0,3.0,247.5,22.2,22.2
