Fecha,Lluvia,Temperatura Maxima,Temperatura Minima,Temperatura Media,Humedad Relativa,Nubosidad,Velocidad Viento,Direccion Viento,Presion Atmosferica
2026-06-06,15.0,27.8,17.6,22.3,79.0,5.0,6.2,225.0,638.1
2026-06-07,1.6,25.6,17.8,20.2,91.0,8.0,14.8,180.0,637.9
2026-06-08,0.5,25.8,15.4,21.5,80.0,7.0,17.3,180.0,638.8
2026-06-09,12.1,26.6,17.6,21.6,79.0,8.0,16.0,180.0,638.9
2026-06-10,7.0,25.2,17.4,20.5,84.0,8.0,8.6,180.0,637.7
2026-06-11,16.0,21.4,17.6,18.7,94.0,8.0,9.9,180.0,637.2
2026-06-12,0.0,24.4,16.8,21.0,75.0,8.0,13.6,225.0,638.2
2026-06-13,0.1,28.4,16.6,21.7,76.0,8.0,3.7,9.0,639.4
2026-06-14,0.0,28.2,18.4,23.5,76.0,3.0,17.3,360.0,640.2
2026-06-15,2.6,28.8,18.6,23.9,68.0,7.0,18.5,45.0,639.6
2026-06-16,2.5,27.2,15.0,21.9,75.0,7.0,14.8,180.0,639.8
2026-06-17,0.0,27.2,16.0,22.9,68.0,7.0,12.3,180.0,639.9
2026-06-18,0.0,26.2,17.8,22.4,66.0,3.0,17.3,180.0,639.9
2026-06-19,0.0,28.2,16.4,22.6,69.0,8.0,14.8,180.0,639.7
2026-06-20,0.0,28.6,16.8,23.7,64.0,2.0,18.5,45.0,638.8
2026-06-21,3.4,27.4,17.0,23.0,63.0,5.0,12.3,360.0,638.6
2026-06-22,59.7,24.8,17.4,19.3,90.0,8.0,9.9,360.0,640.1
2026-06-23,0.0,26.0,16.8,22.3,69.0,3.0,22.2,360.0,640.3
2026-06-24,0.0,26.6,17.4,22.2,67.0,6.0,24.6,360.0,639.5
2026-06-25,0.3,24.4,17.8,21.2,68.0,8.0,24.7,360.0,639.5
2026-06-26,1.2,26.4,17.2,21.9,69.0,5.0,27.1,360.0,639.9
2026-06-27,0.0,26.2,18.0,21.9,71.0,8.0,25.9,45.0,639.4
2026-06-28,0.0,26.8,17.8,22.3,62.0,6.0,24.7,360.0,639.4
2026-06-29,0.0,26.2,16.4,22.1,63.0,8.0,24.7,360.0,639.3
2026-06-30,0.0,27.2,17.4,22.9,69.0,5.0,23.4,45.0,639.1
2026-07-01,0.0,27.8,18.8,23.3,65.0,1.0,24.7,45.0,639.0
2026-07-02,0.0,27.0,18.0,22.7,65.0,8.0,27.1,360.0,639.5
2026-07-03,0.0,27.8,17.6,23.3,63.0,8.0,22.2,360.0,640.5
2026-07-04,0.0,28.0,16.6,22.6,58.0,4.0,24.7,45.0,640.4
2026-07-05,4.2,28.2,16.2,23.1,61.0,7.0,19.7,45.0,639.7
2026-07-06,,,15.9,21.4,72.0,8.0,13.0,50.0,639.6
