Fecha,Lluvia,Nubosidad,Velocidad Viento,Direccion Viento
2026-06-06,3.1,6.0,11.0,270.0
2026-06-07,0.0,8.0,9.0,270.0
2026-06-08,0.0,8.0,16.0,270.0
2026-06-09,6.8,8.0,8.7,270.0
2026-06-10,20.2,8.0,9.0,270.0
2026-06-11,9.5,8.0,7.3,315.0
2026-06-12,0.0,8.0,10.0,285.0
2026-06-13,6.2,8.0,11.0,270.0
2026-06-14,0.0,7.0,7.0,270.0
2026-06-15,6.3,8.0,10.0,195.0
2026-06-16,0.6,8.0,8.7,315.0
2026-06-17,2.9,8.0,11.3,270.0
2026-06-18,0.0,8.0,9.0,270.0
2026-06-19,0.0,6.0,11.0,270.0
2026-06-20,0.0,8.0,7.2,187.5
2026-06-21,2.3,8.0,9.0,270.0
2026-06-22,12.5,7.0,11.0,270.0
2026-06-23,0.0,7.0,11.0,270.0
2026-06-24,0.4,8.0,13.3,225.0
2026-06-25,0.0,8.0,5.3,270.0
2026-06-26,0.4,8.0,8.4,198.0
2026-06-27,0.3,8.0,11.0,270.0
2026-06-28,0.0,8.0,9.3,270.0
2026-06-29,0.0,8.0,9.0,9.0
2026-06-30,0.2,7.0,9.7,270.0
2026-07-01,0.0,7.0,15.3,270.0
2026-07-02,0.0,8.0,9.0,270.0
2026-07-03,0.0,8.0,9.0,270.0
2026-07-04,0.0,8.0,11.0,270.0
2026-07-05,1.6,8.0,11.0,270.0
2026-07-06,,8.0,11.0,270.0
