Fecha,Lluvia,Temperatura Maxima,Temperatura Minima,Temperatura Media,Evaporacion Tanque,Humedad Relativa,Brillo Solar,Nubosidad,Velocidad Viento,Direccion Viento,Presion Atmosferica
2026-06-06,8.4,33.6,25.0,29.4,6.9,80.0,10.0,8.0,2.3,0.0,755.1
2026-06-07,22.0,31.8,25.6,28.9,5.1,88.0,4.5,3.0,8.3,315.0,754.4
2026-06-08,24.0,33.4,24.8,30.1,,79.0,9.5,4.0,8.3,9.0,755.1
2026-06-09,11.0,34.0,24.0,29.7,,84.0,10.0,6.0,11.0,9.0,755.9
2026-06-10,6.4,33.0,24.4,28.9,,86.0,5.4,8.0,9.7,315.0,754.2
2026-06-11,5.0,31.0,24.2,27.8,6.4,90.0,0.0,8.0,6.0,0.0,754.0
2026-06-12,5.4,34.0,24.8,28.9,4.7,88.0,9.2,4.0,7.3,90.0,754.6
2026-06-13,37.5,32.0,24.0,29.1,6.8,83.0,3.7,8.0,9.7,9.0,756.5
2026-06-14,5.0,32.4,24.0,28.8,,86.0,5.4,4.0,9.7,,757.5
2026-06-15,0.0,33.4,25.4,29.6,5.8,83.0,9.4,5.0,6.0,0.0,756.9
2026-06-16,6.0,33.8,25.6,30.1,5.7,82.0,9.4,7.0,9.7,9.0,755.9
2026-06-17,16.0,33.4,22.6,29.0,7.7,79.0,10.8,4.0,7.3,9.0,756.2
2026-06-18,0.0,34.2,23.2,29.6,8.5,77.0,10.5,4.0,11.0,45.0,756.0
2026-06-19,0.0,34.6,24.2,30.5,4.4,77.0,11.3,1.0,3.7,0.0,755.8
2026-06-20,0.0,35.0,24.6,29.9,7.4,77.0,11.0,5.0,7.3,9.0,756.1
2026-06-21,0.0,33.8,23.4,28.8,5.8,78.0,10.0,5.0,5.0,0.0,756.5
2026-06-22,29.4,31.6,24.0,26.9,6.4,86.0,3.9,8.0,6.0,0.0,758.0
2026-06-23,14.6,32.4,23.0,28.7,9.4,83.0,8.3,6.0,2.3,0.0,758.3
2026-06-24,0.0,32.0,24.8,28.9,10.6,82.0,6.7,7.0,11.0,45.0,757.8
2026-06-25,60.8,31.4,24.8,27.5,2.0,85.0,6.1,7.0,14.7,90.0,757.7
2026-06-26,39.6,33.0,24.0,29.1,,82.0,7.9,8.0,13.3,90.0,757.9
2026-06-27,0.4,32.0,25.0,28.4,,84.0,8.4,5.0,13.3,90.0,757.6
2026-06-28,3.2,33.0,25.0,29.7,1.1,78.0,10.2,6.0,11.0,45.0,757.6
2026-06-29,0.9,31.8,24.0,28.7,5.7,80.0,2.5,8.0,10.0,90.0,757.4
2026-06-30,22.4,32.0,24.8,28.4,4.4,87.0,5.7,8.0,5.0,0.0,756.9
2026-07-01,35.4,33.0,24.6,29.3,,80.0,7.8,8.0,9.7,90.0,756.1
2026-07-02,2.5,31.6,25.0,28.2,,86.0,8.5,8.0,5.0,0.0,757.5
2026-07-03,1.2,33.0,24.8,29.7,5.0,79.0,9.5,7.0,8.7,90.0,758.4
2026-07-04,0.0,32.4,24.8,29.1,1.9,77.0,10.4,5.0,6.0,0.0,758.7
2026-07-05,8.0,32.2,24.8,28.1,4.0,87.0,6.0,7.0,5.0,0.0,757.9
2026-07-06,,,24.4,27.9,4.8,84.0,,8.0,0.4,30.0,757.6
