idioma_nombre,municipio_pcode,es_predominante
K'iche',GT0801,true
K'iche',GT0802,true
K'iche',GT0803,true
K'iche',GT0805,true
K'iche',GT0806,true
K'iche',GT1401,true
K'iche',GT1402,true
K'iche',GT1406,true
K'iche',GT1412,true
K'iche',GT0901,false
K'iche',GT0912,true
K'iche',GT0705,true
Q'eqchi',GT1601,true
Q'eqchi',GT1609,true
Q'eqchi',GT1610,true
Q'eqchi',GT1611,true
Q'eqchi',GT1612,true
Q'eqchi',GT1613,true
Q'eqchi',GT1614,true
Q'eqchi',GT1615,true
Q'eqchi',GT1710,true
Q'eqchi',GT1803,true
Q'eqchi',GT1508,true
Kaqchikel,GT0401,true
Kaqchikel,GT0403,true
Kaqchikel,GT0404,true
Kaqchikel,GT0406,true
Kaqchikel,GT0407,true
Kaqchikel,GT0304,true
Kaqchikel,GT0306,true
Kaqchikel,GT0311,true
Kaqchikel,GT0701,false
Kaqchikel,GT0110,true
Kaqchikel,GT0109,true
Mam,GT1201,true
Mam,GT1202,true
Mam,GT1204,true
Mam,GT1206,true
Mam,GT1207,true
Mam,GT1301,true
Mam,GT1306,true
Mam,GT1309,true
Mam,GT0918,true
Poqomchi',GT1604,true
Poqomchi',GT1605,true
Poqomchi',GT1606,true
Poqomchi',GT1508,false
Tz'utujil,GT0707,true
Tz'utujil,GT0708,true
Tz'utujil,GT0716,true
Tz'utujil,GT1013,true
Ch'orti',GT2004,true
Ch'orti',GT2005,true
Ch'orti',GT2006,true
Achi',GT1503,true
Achi',GT1502,true
Achi',GT1504,true
Garífuna,GT1802,true
Garífuna,GT1801,false
Xinka,GT0608,true
Xinka,GT0611,true
Akateko,GT1313,true
Akateko,GT1314,true
Awakateko,GT1327,true
Chuj,GT1318,true
Chuj,GT1305,true
Ixil,GT1413,true
Ixil,GT1405,true
Ixil,GT1411,true
Jakalteko (Popti'),GT1307,true
Jakalteko (Popti'),GT1322,true
Q'anjob'al,GT1308,true
Q'anjob'al,GT1317,true
Q'anjob'al,GT1326,true
Sakapulteko,GT1416,true
Sipakapense,GT1226,true
Tektiteko,GT1321,true
Uspanteko,GT1415,true
Mopan,GT1709,true
Mopan,GT1712,true
Itza',GT1702,true
Chalchiteko,GT1327,false
Poqomam,GT0105,true
Poqomam,GT0106,true
Poqomam,GT2103,true
Poqomam,GT0511,true
