plato_nombre,ingrediente_nombre
Juybil Pur,Tomate
Juybil Pur,Cebolla
Juybil Pur,Canela
Juybil Pur,Ajo
Juybil Pur,Achiote
Juybil Pur,Maíz
Juybil Pur,Chile Cobanero
Boxboles,Maíz
Boxboles,Tomate
Boxboles,Pepitoria
Boxboles,Chile Cobanero
Patín,Pescado
Patín,Tomate
Caldo de gallina criolla con hoja de chaya,Gallina
Caldo de gallina criolla con hoja de chaya,Tomate
Caldo de gallina criolla con hoja de chaya,Cebolla
Caldo de gallina criolla con hoja de chaya,Achiote
Chojín,Carne de Res
Chojín,Tomate
Chojín,Chile Pasa
Chojín,Chile Pimiento
Chojín,Cebolla
Tapado,Camarón
Tapado,Jaiba
Tapado,Pescado
Tapado,Plátano
Tapado,Ajo
Tapado,Cebolla
Tapado,Chile Pimiento
Gallina en crema y loroco,Tomate
Gallina en crema y loroco,Cebolla
Gallina en crema y loroco,Ajo
Gallina en crema y loroco,Gallina
Gallina en crema y loroco,Loroco
Caldo de bodas,Carne de Res
Caldo de bodas,Pollo
Caldo de bodas,Tomate
Caldo de bodas,Chile Pimiento
Caldo de bodas,Cebolla
Estofado,Tomate
Estofado,Miltomate
Estofado,Chile Pimiento
Estofado,Cebolla
Estofado,Chile Guaque
Estofado,Chile Pasa
Estofado,Ajo
Estofado,Carne de Res
Estofado,Carne de Cerdo
Estofado,Pollo
Estofado,Canela
Pepián,Gallina
Pepián,Ajonjolí
Pepián,Ajo
Pepián,Pepitoria
Pepián,Canela
Pepián,Tomate
Pepián,Cebolla
Pepián,Miltomate
Pepián,Chile Pimiento
Pepián,Chile Guaque
Pepián,Chile Pasa
Entomillado,Carne de Res
Entomillado,Tomate
Entomillado,Miltomate
Entomillado,Chile Guaque
Entomillado,Chile Pasa
Entomillado,Cebolla
Entomillado,Ajo
Arroz en leche,Arroz
Arroz en leche,Canela
Batido,Canela
Chinchivir,Canela
Fresco de Jamaica con limón,Canela
Horchata,Canela
Cascos de naranja,Canela
Coyoles en miel,Canela
Tamal de arroz,Arroz
Tamal de arroz,Chile Guaque
Tamal de arroz,Ajonjolí
Tamal de arroz,Ajo
Tamal de arroz,Pepitoria
Tamal de arroz,Canela
Tamal de arroz,Cebolla
Tamal de arroz,Pollo
Tamal de arroz,Carne de Res
Tamalitos de chipilín,Maíz
Tamalitos de chipilín,Chipilín
Tamalitos de chipilín,Carne de Res
Tamalitos de chipilín,Carne de Cerdo
Bacalao a la vizcaína,Pescado
Bacalao a la vizcaína,Tomate
Bacalao a la vizcaína,Cebolla
Bacalao a la vizcaína,Ajo
Caldo de cordero,Carne de Cordero
Caldo de cordero,Tomate
Caldo de cordero,Cebolla
Caldo de cordero,Ajo
Cerdo ahumado,Carne de Cerdo
Cerdo ahumado,Tomate
Chirmol con marrano,Tomate
Chirmol con marrano,Cebolla
Chirmol con marrano,Miltomate
Frijoles blancos con pescaditos (pepesca),Frijol Negro
Frijoles blancos con pescaditos (pepesca),Tomate
Frijoles blancos con pescaditos (pepesca),Cebolla
Frijoles blancos con pescaditos (pepesca),Maíz
Frijoles blancos con pescaditos (pepesca),Achiote
Frijoles con quequesque,Frijol Negro
Frijoles con quequesque,Cebolla
Frijoles con quequesque,Carne de Cerdo
Frito,Carne de Cerdo
Frito,Tomate
Frito,Cebolla
Frito,Miltomate
Frito,Pepitoria
Frito,Ajonjolí
Frito,Ajo
Gallo en Chicha,Tomate
Gallo en Chicha,Cebolla
Gallo en Chicha,Canela
Mole de pollo,Pollo
Mole de pollo,Tomate
Mole de pollo,Cebolla
Mole de pollo,Ajo
Mole de pollo,Chile Pimiento
Mole de pollo,Ajonjolí
Muxque,Carne de Cerdo
Muxque,Tomate
Muxque,Cebolla
Ollada marquense,Carne de Res
Ollada marquense,Pollo
Ollada marquense,Tomate
Ollada marquense,Arroz
Ollada marquense,Chile Pimiento
Pollo en iwaxte,Pollo
Pollo en iwaxte,Cebolla
Pollo en iwaxte,Tomate
Pollo en iwaxte,Miltomate
Pollo en iwaxte,Ajo
Pollo en iwaxte,Chile Pasa
Pollo en iwaxte,Ajonjolí
Sopa de arroz con chipilín,Chipilín
Sopa de arroz con chipilín,Arroz
Sopa de arroz con chipilín,Tomate
Sopa de arroz con chipilín,Cebolla
Sopa de arroz con chipilín,Ajo
Sopa de quilete,Tomate
Sopa de quilete,Cebolla
Sopa de quilete,Ajo
Tikini,Pescado
Tikini,Camarón
Tikini,Tomate
Tikini,Cebolla
Tiras de panza en amarillo,Tomate
Tiras de panza en amarillo,Chile Pimiento
Tiras de panza en amarillo,Cebolla
Tiras de panza en amarillo,Chile Pasa
Tiras de panza en amarillo,Chile Guaque
