actividad_nombre,materia_nombre,es_indispensable
Cultivo de Maíz en Lago De Amatitlan,Semilla de Maíz de Lago De Amatitlan,true
Cultivo de Frijol en Lago De Amatitlan,Semilla de Frijol de Lago De Amatitlan,true
Cultivo de Maíz en Lago De Amatitlan,Abono Orgánico de Lago De Amatitlan,false
Cultivo de Maíz en Guatemala,Semilla de Maíz de Guatemala,true
Cultivo de Frijol en Guatemala,Semilla de Frijol de Guatemala,true
Cultivo de Maíz en Guatemala,Abono Orgánico de Guatemala,false
Cultivo de Maíz en Santa Catarina Pinula,Semilla de Maíz de Santa Catarina Pinula,true
Cultivo de Frijol en Santa Catarina Pinula,Semilla de Frijol de Santa Catarina Pinula,true
Cultivo de Maíz en Santa Catarina Pinula,Abono Orgánico de Santa Catarina Pinula,false
Cultivo de Maíz en San José Pinula,Semilla de Maíz de San José Pinula,true
Cultivo de Frijol en San José Pinula,Semilla de Frijol de San José Pinula,true
Cultivo de Maíz en San José Pinula,Abono Orgánico de San José Pinula,false
Cultivo de Maíz en San José del Golfo,Semilla de Maíz de San José del Golfo,true
Cultivo de Frijol en San José del Golfo,Semilla de Frijol de San José del Golfo,true
Cultivo de Maíz en San José del Golfo,Abono Orgánico de San José del Golfo,false
Cultivo de Maíz en Palencia,Semilla de Maíz de Palencia,true
Cultivo de Frijol en Palencia,Semilla de Frijol de Palencia,true
Cultivo de Maíz en Palencia,Abono Orgánico de Palencia,false
Cultivo de Maíz en Chinautla,Semilla de Maíz de Chinautla,true
Cultivo de Frijol en Chinautla,Semilla de Frijol de Chinautla,true
Cultivo de Maíz en Chinautla,Abono Orgánico de Chinautla,false
Cultivo de Maíz en San Pedro Ayampuc,Semilla de Maíz de San Pedro Ayampuc,true
Cultivo de Frijol en San Pedro Ayampuc,Semilla de Frijol de San Pedro Ayampuc,true
Cultivo de Maíz en San Pedro Ayampuc,Abono Orgánico de San Pedro Ayampuc,false
Cultivo de Maíz en Mixco,Semilla de Maíz de Mixco,true
Cultivo de Frijol en Mixco,Semilla de Frijol de Mixco,true
Cultivo de Maíz en Mixco,Abono Orgánico de Mixco,false
Cultivo de Maíz en San Pedro Sacatepéquez,Semilla de Maíz de San Pedro Sacatepéquez,true
Cultivo de Frijol en San Pedro Sacatepéquez,Semilla de Frijol de San Pedro Sacatepéquez,true
Cultivo de Maíz en San Pedro Sacatepéquez,Abono Orgánico de San Pedro Sacatepéquez,false
Cultivo de Maíz en San Juan Sacatepéquez,Semilla de Maíz de San Juan Sacatepéquez,true
Cultivo de Frijol en San Juan Sacatepéquez,Semilla de Frijol de San Juan Sacatepéquez,true
Cultivo de Maíz en San Juan Sacatepéquez,Abono Orgánico de San Juan Sacatepéquez,false
Cultivo de Maíz en San Raimundo,Semilla de Maíz de San Raimundo,true
Cultivo de Frijol en San Raimundo,Semilla de Frijol de San Raimundo,true
Cultivo de Maíz en San Raimundo,Abono Orgánico de San Raimundo,false
Cultivo de Maíz en Chuarrancho,Semilla de Maíz de Chuarrancho,true
Cultivo de Frijol en Chuarrancho,Semilla de Frijol de Chuarrancho,true
Cultivo de Maíz en Chuarrancho,Abono Orgánico de Chuarrancho,false
Cultivo de Maíz en Fraijanes,Semilla de Maíz de Fraijanes,true
Cultivo de Frijol en Fraijanes,Semilla de Frijol de Fraijanes,true
Cultivo de Maíz en Fraijanes,Abono Orgánico de Fraijanes,false
Cultivo de Maíz en Amatitlán,Semilla de Maíz de Amatitlán,true
Cultivo de Frijol en Amatitlán,Semilla de Frijol de Amatitlán,true
Cultivo de Maíz en Amatitlán,Abono Orgánico de Amatitlán,false
Cultivo de Maíz en Villa Nueva,Semilla de Maíz de Villa Nueva,true
Cultivo de Frijol en Villa Nueva,Semilla de Frijol de Villa Nueva,true
Cultivo de Maíz en Villa Nueva,Abono Orgánico de Villa Nueva,false
Cultivo de Maíz en Villa Canales,Semilla de Maíz de Villa Canales,true
Cultivo de Frijol en Villa Canales,Semilla de Frijol de Villa Canales,true
Cultivo de Maíz en Villa Canales,Abono Orgánico de Villa Canales,false
Cultivo de Maíz en Petapa,Semilla de Maíz de Petapa,true
Cultivo de Frijol en Petapa,Semilla de Frijol de Petapa,true
Cultivo de Maíz en Petapa,Abono Orgánico de Petapa,false
Cultivo de Maíz en Guastatoya,Semilla de Maíz de Guastatoya,true
Cultivo de Frijol en Guastatoya,Semilla de Frijol de Guastatoya,true
Cultivo de Maíz en Guastatoya,Abono Orgánico de Guastatoya,false
Cultivo de Maíz en Morazán,Semilla de Maíz de Morazán,true
Cultivo de Frijol en Morazán,Semilla de Frijol de Morazán,true
Cultivo de Maíz en Morazán,Abono Orgánico de Morazán,false
