nombre,categoria,descripcion
Cultivo de Maíz en Lago De Amatitlan,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Lago De Amatitlan, departamento de Guatemala."
Cultivo de Frijol en Lago De Amatitlan,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Lago De Amatitlan, departamento de Guatemala."
Crianza de Aves en Lago De Amatitlan,Pecuaria,Avicultura comercial de carne y postura en el municipio de Lago De Amatitlan.
Cultivo de Maíz en Guatemala,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Guatemala, departamento de Guatemala."
Cultivo de Frijol en Guatemala,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Guatemala, departamento de Guatemala."
Crianza de Aves en Guatemala,Pecuaria,Avicultura comercial de carne y postura en el municipio de Guatemala.
Cultivo de Maíz en Santa Catarina Pinula,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Catarina Pinula, departamento de Guatemala."
Cultivo de Frijol en Santa Catarina Pinula,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Catarina Pinula, departamento de Guatemala."
Crianza de Aves en Santa Catarina Pinula,Pecuaria,Avicultura comercial de carne y postura en el municipio de Santa Catarina Pinula.
Cultivo de Maíz en San José Pinula,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San José Pinula, departamento de Guatemala."
Cultivo de Frijol en San José Pinula,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San José Pinula, departamento de Guatemala."
Crianza de Aves en San José Pinula,Pecuaria,Avicultura comercial de carne y postura en el municipio de San José Pinula.
Cultivo de Maíz en San José del Golfo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San José del Golfo, departamento de Guatemala."
Cultivo de Frijol en San José del Golfo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San José del Golfo, departamento de Guatemala."
Crianza de Aves en San José del Golfo,Pecuaria,Avicultura comercial de carne y postura en el municipio de San José del Golfo.
Cultivo de Maíz en Palencia,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Palencia, departamento de Guatemala."
Cultivo de Frijol en Palencia,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Palencia, departamento de Guatemala."
