nombre,tipo,municipio_pcode,capacidad_estimada
Centro de Acopio Agrícola Municipal de Lago De Amatitlan,Centro de Acopio,GT0100,1008 quintales por día
Taller Textil y Artesanal Municipal de Lago De Amatitlan,Taller Artesanal,GT0100,313 prendas tejidas por semana
Planta Procesadora Agroindustrial de Lago De Amatitlan,Beneficio de Café,GT0100,937 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Guatemala,Centro de Acopio,GT0101,1155 quintales por día
Taller Textil y Artesanal Municipal de Guatemala,Taller Artesanal,GT0101,238 prendas tejidas por semana
Planta Procesadora Agroindustrial de Guatemala,Taller Artesanal,GT0101,279 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Catarina Pinula,Centro de Acopio,GT0102,1670 quintales por día
Taller Textil y Artesanal Municipal de Santa Catarina Pinula,Taller Artesanal,GT0102,290 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Catarina Pinula,Centro de Acopio,GT0102,322 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José Pinula,Centro de Acopio,GT0103,1528 quintales por día
Taller Textil y Artesanal Municipal de San José Pinula,Taller Artesanal,GT0103,126 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José Pinula,Aserradero,GT0103,383 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José del Golfo,Centro de Acopio,GT0104,957 quintales por día
Taller Textil y Artesanal Municipal de San José del Golfo,Taller Artesanal,GT0104,364 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José del Golfo,Procesadora,GT0104,247 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Palencia,Centro de Acopio,GT0105,1321 quintales por día
Taller Textil y Artesanal Municipal de Palencia,Taller Artesanal,GT0105,135 prendas tejidas por semana
Planta Procesadora Agroindustrial de Palencia,Beneficio de Café,GT0105,676 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chinautla,Centro de Acopio,GT0106,1078 quintales por día
Taller Textil y Artesanal Municipal de Chinautla,Taller Artesanal,GT0106,259 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chinautla,Taller Artesanal,GT0106,535 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pedro Ayampuc,Centro de Acopio,GT0107,676 quintales por día
Taller Textil y Artesanal Municipal de San Pedro Ayampuc,Taller Artesanal,GT0107,383 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pedro Ayampuc,Centro de Acopio,GT0107,667 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Mixco,Centro de Acopio,GT0108,516 quintales por día
Taller Textil y Artesanal Municipal de Mixco,Taller Artesanal,GT0108,288 prendas tejidas por semana
Planta Procesadora Agroindustrial de Mixco,Aserradero,GT0108,405 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Pedro Sacatepéquez,Centro de Acopio,GT0109,1097 quintales por día
Taller Textil y Artesanal Municipal de San Pedro Sacatepéquez,Taller Artesanal,GT0109,388 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Pedro Sacatepéquez,Procesadora,GT0109,511 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan Sacatepéquez,Centro de Acopio,GT0110,1775 quintales por día
Taller Textil y Artesanal Municipal de San Juan Sacatepéquez,Taller Artesanal,GT0110,224 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan Sacatepéquez,Beneficio de Café,GT0110,675 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Raimundo,Centro de Acopio,GT0111,1254 quintales por día
Taller Textil y Artesanal Municipal de San Raimundo,Taller Artesanal,GT0111,352 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Raimundo,Taller Artesanal,GT0111,991 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chuarrancho,Centro de Acopio,GT0112,900 quintales por día
Taller Textil y Artesanal Municipal de Chuarrancho,Taller Artesanal,GT0112,379 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chuarrancho,Centro de Acopio,GT0112,978 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Fraijanes,Centro de Acopio,GT0113,1002 quintales por día
Taller Textil y Artesanal Municipal de Fraijanes,Taller Artesanal,GT0113,177 prendas tejidas por semana
Planta Procesadora Agroindustrial de Fraijanes,Aserradero,GT0113,206 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Amatitlán,Centro de Acopio,GT0114,1339 quintales por día
Taller Textil y Artesanal Municipal de Amatitlán,Taller Artesanal,GT0114,112 prendas tejidas por semana
Planta Procesadora Agroindustrial de Amatitlán,Procesadora,GT0114,438 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Villa Nueva,Centro de Acopio,GT0115,1609 quintales por día
Taller Textil y Artesanal Municipal de Villa Nueva,Taller Artesanal,GT0115,277 prendas tejidas por semana
Planta Procesadora Agroindustrial de Villa Nueva,Beneficio de Café,GT0115,851 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Villa Canales,Centro de Acopio,GT0116,1920 quintales por día
Taller Textil y Artesanal Municipal de Villa Canales,Taller Artesanal,GT0116,104 prendas tejidas por semana
Planta Procesadora Agroindustrial de Villa Canales,Taller Artesanal,GT0116,543 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Petapa,Centro de Acopio,GT0117,502 quintales por día
Taller Textil y Artesanal Municipal de Petapa,Taller Artesanal,GT0117,292 prendas tejidas por semana
Planta Procesadora Agroindustrial de Petapa,Centro de Acopio,GT0117,955 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Guastatoya,Centro de Acopio,GT0201,1989 quintales por día
Taller Textil y Artesanal Municipal de Guastatoya,Taller Artesanal,GT0201,257 prendas tejidas por semana
Planta Procesadora Agroindustrial de Guastatoya,Aserradero,GT0201,306 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Morazán,Centro de Acopio,GT0202,920 quintales por día
Taller Textil y Artesanal Municipal de Morazán,Taller Artesanal,GT0202,371 prendas tejidas por semana
Planta Procesadora Agroindustrial de Morazán,Procesadora,GT0202,443 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Agustín Acasaguastlán,Centro de Acopio,GT0203,1359 quintales por día
Taller Textil y Artesanal Municipal de San Agustín Acasaguastlán,Taller Artesanal,GT0203,351 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Agustín Acasaguastlán,Beneficio de Café,GT0203,261 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Cristóbal Acasaguastlán,Centro de Acopio,GT0204,791 quintales por día
Taller Textil y Artesanal Municipal de San Cristóbal Acasaguastlán,Taller Artesanal,GT0204,243 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Cristóbal Acasaguastlán,Taller Artesanal,GT0204,295 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Jícaro,Centro de Acopio,GT0205,589 quintales por día
Taller Textil y Artesanal Municipal de El Jícaro,Taller Artesanal,GT0205,218 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Jícaro,Centro de Acopio,GT0205,732 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sanarate,Centro de Acopio,GT0206,1345 quintales por día
Taller Textil y Artesanal Municipal de Sanarate,Taller Artesanal,GT0206,290 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sanarate,Aserradero,GT0206,669 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sansare,Centro de Acopio,GT0207,673 quintales por día
Taller Textil y Artesanal Municipal de Sansare,Taller Artesanal,GT0207,397 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sansare,Procesadora,GT0207,297 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Antonio La Paz,Centro de Acopio,GT0208,1535 quintales por día
Taller Textil y Artesanal Municipal de San Antonio La Paz,Taller Artesanal,GT0208,168 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Antonio La Paz,Beneficio de Café,GT0208,852 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Antigua Guatemala,Centro de Acopio,GT0301,1307 quintales por día
Taller Textil y Artesanal Municipal de Antigua Guatemala,Taller Artesanal,GT0301,138 prendas tejidas por semana
Planta Procesadora Agroindustrial de Antigua Guatemala,Taller Artesanal,GT0301,806 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Jocotenango,Centro de Acopio,GT0302,1662 quintales por día
Taller Textil y Artesanal Municipal de Jocotenango,Taller Artesanal,GT0302,131 prendas tejidas por semana
Planta Procesadora Agroindustrial de Jocotenango,Centro de Acopio,GT0302,645 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Pastores,Centro de Acopio,GT0303,1856 quintales por día
Taller Textil y Artesanal Municipal de Pastores,Taller Artesanal,GT0303,166 prendas tejidas por semana
Planta Procesadora Agroindustrial de Pastores,Aserradero,GT0303,442 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sumpango,Centro de Acopio,GT0304,1097 quintales por día
Taller Textil y Artesanal Municipal de Sumpango,Taller Artesanal,GT0304,233 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sumpango,Procesadora,GT0304,522 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santo Domingo Xenacoj,Centro de Acopio,GT0305,1304 quintales por día
Taller Textil y Artesanal Municipal de Santo Domingo Xenacoj,Taller Artesanal,GT0305,267 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santo Domingo Xenacoj,Beneficio de Café,GT0305,525 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santiago Sacatepéquez,Centro de Acopio,GT0306,1427 quintales por día
Taller Textil y Artesanal Municipal de Santiago Sacatepéquez,Taller Artesanal,GT0306,239 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santiago Sacatepéquez,Taller Artesanal,GT0306,439 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Bartolomé Milpas Altas,Centro de Acopio,GT0307,652 quintales por día
Taller Textil y Artesanal Municipal de San Bartolomé Milpas Altas,Taller Artesanal,GT0307,203 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Bartolomé Milpas Altas,Centro de Acopio,GT0307,339 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Lucas Sacatepéquez,Centro de Acopio,GT0308,1697 quintales por día
Taller Textil y Artesanal Municipal de San Lucas Sacatepéquez,Taller Artesanal,GT0308,155 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Lucas Sacatepéquez,Aserradero,GT0308,359 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Lucía Milpas Altas,Centro de Acopio,GT0309,716 quintales por día
Taller Textil y Artesanal Municipal de Santa Lucía Milpas Altas,Taller Artesanal,GT0309,184 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Lucía Milpas Altas,Procesadora,GT0309,660 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Magdalena Milpas Altas,Centro de Acopio,GT0310,1454 quintales por día
Taller Textil y Artesanal Municipal de Magdalena Milpas Altas,Taller Artesanal,GT0310,260 prendas tejidas por semana
Planta Procesadora Agroindustrial de Magdalena Milpas Altas,Beneficio de Café,GT0310,616 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa María de Jesús,Centro de Acopio,GT0311,747 quintales por día
Taller Textil y Artesanal Municipal de Santa María de Jesús,Taller Artesanal,GT0311,374 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa María de Jesús,Taller Artesanal,GT0311,566 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Ciudad Vieja,Centro de Acopio,GT0312,925 quintales por día
Taller Textil y Artesanal Municipal de Ciudad Vieja,Taller Artesanal,GT0312,331 prendas tejidas por semana
Planta Procesadora Agroindustrial de Ciudad Vieja,Centro de Acopio,GT0312,515 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Miguel Dueñas,Centro de Acopio,GT0313,1448 quintales por día
Taller Textil y Artesanal Municipal de San Miguel Dueñas,Taller Artesanal,GT0313,235 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Miguel Dueñas,Aserradero,GT0313,322 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Alotenango,Centro de Acopio,GT0314,685 quintales por día
Taller Textil y Artesanal Municipal de Alotenango,Taller Artesanal,GT0314,180 prendas tejidas por semana
Planta Procesadora Agroindustrial de Alotenango,Procesadora,GT0314,902 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Antonio Aguas Calientes,Centro de Acopio,GT0315,1123 quintales por día
Taller Textil y Artesanal Municipal de San Antonio Aguas Calientes,Taller Artesanal,GT0315,120 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Antonio Aguas Calientes,Beneficio de Café,GT0315,420 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Catarina Barahona,Centro de Acopio,GT0316,1171 quintales por día
Taller Textil y Artesanal Municipal de Santa Catarina Barahona,Taller Artesanal,GT0316,175 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Catarina Barahona,Taller Artesanal,GT0316,293 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chimaltenango,Centro de Acopio,GT0401,1956 quintales por día
Taller Textil y Artesanal Municipal de Chimaltenango,Taller Artesanal,GT0401,227 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chimaltenango,Centro de Acopio,GT0401,564 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José Poaquil,Centro de Acopio,GT0402,1311 quintales por día
Taller Textil y Artesanal Municipal de San José Poaquil,Taller Artesanal,GT0402,362 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José Poaquil,Aserradero,GT0402,250 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Martín Jilotepeque,Centro de Acopio,GT0403,1886 quintales por día
Taller Textil y Artesanal Municipal de San Martín Jilotepeque,Taller Artesanal,GT0403,253 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Martín Jilotepeque,Procesadora,GT0403,466 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Comalapa,Centro de Acopio,GT0404,856 quintales por día
Taller Textil y Artesanal Municipal de Comalapa,Taller Artesanal,GT0404,115 prendas tejidas por semana
Planta Procesadora Agroindustrial de Comalapa,Beneficio de Café,GT0404,614 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Apolonia,Centro de Acopio,GT0405,1426 quintales por día
Taller Textil y Artesanal Municipal de Santa Apolonia,Taller Artesanal,GT0405,384 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Apolonia,Taller Artesanal,GT0405,966 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tecpán Guatemala,Centro de Acopio,GT0406,1626 quintales por día
Taller Textil y Artesanal Municipal de Tecpán Guatemala,Taller Artesanal,GT0406,227 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tecpán Guatemala,Centro de Acopio,GT0406,296 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Patzún,Centro de Acopio,GT0407,1446 quintales por día
Taller Textil y Artesanal Municipal de Patzún,Taller Artesanal,GT0407,152 prendas tejidas por semana
Planta Procesadora Agroindustrial de Patzún,Aserradero,GT0407,343 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Pochuta,Centro de Acopio,GT0408,748 quintales por día
Taller Textil y Artesanal Municipal de Pochuta,Taller Artesanal,GT0408,106 prendas tejidas por semana
Planta Procesadora Agroindustrial de Pochuta,Procesadora,GT0408,263 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Patzicía,Centro de Acopio,GT0409,955 quintales por día
Taller Textil y Artesanal Municipal de Patzicía,Taller Artesanal,GT0409,166 prendas tejidas por semana
Planta Procesadora Agroindustrial de Patzicía,Beneficio de Café,GT0409,402 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Cruz Balanyá,Centro de Acopio,GT0410,1320 quintales por día
Taller Textil y Artesanal Municipal de Santa Cruz Balanyá,Taller Artesanal,GT0410,290 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Cruz Balanyá,Taller Artesanal,GT0410,902 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Acatenango,Centro de Acopio,GT0411,1790 quintales por día
Taller Textil y Artesanal Municipal de Acatenango,Taller Artesanal,GT0411,143 prendas tejidas por semana
Planta Procesadora Agroindustrial de Acatenango,Centro de Acopio,GT0411,796 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Yepocapa,Centro de Acopio,GT0412,1700 quintales por día
Taller Textil y Artesanal Municipal de Yepocapa,Taller Artesanal,GT0412,232 prendas tejidas por semana
Planta Procesadora Agroindustrial de Yepocapa,Aserradero,GT0412,276 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Andrés Itzapa,Centro de Acopio,GT0413,544 quintales por día
Taller Textil y Artesanal Municipal de San Andrés Itzapa,Taller Artesanal,GT0413,133 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Andrés Itzapa,Procesadora,GT0413,402 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Parramos,Centro de Acopio,GT0414,1822 quintales por día
Taller Textil y Artesanal Municipal de Parramos,Taller Artesanal,GT0414,327 prendas tejidas por semana
Planta Procesadora Agroindustrial de Parramos,Beneficio de Café,GT0414,331 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Zaragoza,Centro de Acopio,GT0415,688 quintales por día
Taller Textil y Artesanal Municipal de Zaragoza,Taller Artesanal,GT0415,269 prendas tejidas por semana
Planta Procesadora Agroindustrial de Zaragoza,Taller Artesanal,GT0415,325 toneladas métricas por año
Centro de Acopio Agrícola Municipal de El Tejar,Centro de Acopio,GT0416,587 quintales por día
Taller Textil y Artesanal Municipal de El Tejar,Taller Artesanal,GT0416,336 prendas tejidas por semana
Planta Procesadora Agroindustrial de El Tejar,Centro de Acopio,GT0416,251 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Escuintla,Centro de Acopio,GT0501,844 quintales por día
Taller Textil y Artesanal Municipal de Escuintla,Taller Artesanal,GT0501,393 prendas tejidas por semana
Planta Procesadora Agroindustrial de Escuintla,Aserradero,GT0501,643 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Lucía Cotzumalguapa,Centro de Acopio,GT0502,1983 quintales por día
Taller Textil y Artesanal Municipal de Santa Lucía Cotzumalguapa,Taller Artesanal,GT0502,302 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Lucía Cotzumalguapa,Procesadora,GT0502,708 toneladas métricas por año
Centro de Acopio Agrícola Municipal de La Democracia,Centro de Acopio,GT0503,560 quintales por día
Taller Textil y Artesanal Municipal de La Democracia,Taller Artesanal,GT0503,295 prendas tejidas por semana
Planta Procesadora Agroindustrial de La Democracia,Beneficio de Café,GT0503,899 toneladas métricas por año
