nombre,ente_certificador,descripcion
Certificación Orgánica y de Origen - Reg COOP-GT0100-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Lago De Amatitlan R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0100-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Lago De Amatitlan R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0100-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Lago De Amatitlan.
Certificación Orgánica y de Origen - Reg COOP-GT0101-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Guatemala R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0101-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Guatemala R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0101-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Guatemala.
Certificación Orgánica y de Origen - Reg COOP-GT0102-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Catarina Pinula R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0102-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Catarina Pinula R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0102-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Catarina Pinula.
Certificación Orgánica y de Origen - Reg COOP-GT0103-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San José Pinula R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0103-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San José Pinula R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0103-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San José Pinula.
Certificación Orgánica y de Origen - Reg COOP-GT0104-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San José del Golfo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0104-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San José del Golfo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0104-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San José del Golfo.
Certificación Orgánica y de Origen - Reg COOP-GT0105-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Palencia R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0105-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Palencia R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0105-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Palencia.
Certificación Orgánica y de Origen - Reg COOP-GT0106-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chinautla R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0106-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Chinautla R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0106-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Chinautla.
Certificación Orgánica y de Origen - Reg COOP-GT0107-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pedro Ayampuc R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0107-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pedro Ayampuc R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0107-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pedro Ayampuc.
Certificación Orgánica y de Origen - Reg COOP-GT0108-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Mixco R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0108-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Mixco R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0108-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Mixco.
Certificación Orgánica y de Origen - Reg COOP-GT0109-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Pedro Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0109-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Pedro Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0109-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Pedro Sacatepéquez.
Certificación Orgánica y de Origen - Reg COOP-GT0110-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Juan Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0110-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Juan Sacatepéquez R.L..
