nombre,siglas,municipio_pcode,cobertura,descripcion
Cooperativa Integral de Producción Agrícola de Lago De Amatitlan R.L.,COOP-GT0100-A,GT0100,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Lago De Amatitlan.
Cooperativa Integral de Ahorro y Crédito de Lago De Amatitlan R.L.,COOP-GT0100-B,GT0100,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Lago De Amatitlan.
Asociación de Productores y Comercializadores de Lago De Amatitlan,ASO-GT0100-C,GT0100,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Lago De Amatitlan.
Cooperativa Integral de Producción Agrícola de Guatemala R.L.,COOP-GT0101-A,GT0101,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Guatemala.
Cooperativa Integral de Ahorro y Crédito de Guatemala R.L.,COOP-GT0101-B,GT0101,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Guatemala.
Asociación de Productores y Comercializadores de Guatemala,ASO-GT0101-C,GT0101,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Guatemala.
Cooperativa Integral de Producción Agrícola de Santa Catarina Pinula R.L.,COOP-GT0102-A,GT0102,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Catarina Pinula.
Cooperativa Integral de Ahorro y Crédito de Santa Catarina Pinula R.L.,COOP-GT0102-B,GT0102,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Catarina Pinula.
Asociación de Productores y Comercializadores de Santa Catarina Pinula,ASO-GT0102-C,GT0102,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Catarina Pinula.
Cooperativa Integral de Producción Agrícola de San José Pinula R.L.,COOP-GT0103-A,GT0103,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San José Pinula.
Cooperativa Integral de Ahorro y Crédito de San José Pinula R.L.,COOP-GT0103-B,GT0103,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San José Pinula.
Asociación de Productores y Comercializadores de San José Pinula,ASO-GT0103-C,GT0103,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San José Pinula.
Cooperativa Integral de Producción Agrícola de San José del Golfo R.L.,COOP-GT0104-A,GT0104,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San José del Golfo.
Cooperativa Integral de Ahorro y Crédito de San José del Golfo R.L.,COOP-GT0104-B,GT0104,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San José del Golfo.
