nombre,origen,descripcion
Semilla de Maíz de Lago De Amatitlan,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Lago De Amatitlan.
Semilla de Frijol de Lago De Amatitlan,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Lago De Amatitlan.
Abono Orgánico de Lago De Amatitlan,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Lago De Amatitlan.
Semilla de Maíz de Guatemala,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Guatemala.
Semilla de Frijol de Guatemala,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Guatemala.
Abono Orgánico de Guatemala,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Guatemala.
Semilla de Maíz de Santa Catarina Pinula,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Catarina Pinula.
Semilla de Frijol de Santa Catarina Pinula,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Catarina Pinula.
Abono Orgánico de Santa Catarina Pinula,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Catarina Pinula.
Semilla de Maíz de San José Pinula,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José Pinula.
Semilla de Frijol de San José Pinula,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José Pinula.
Abono Orgánico de San José Pinula,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José Pinula.
Semilla de Maíz de San José del Golfo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José del Golfo.
Semilla de Frijol de San José del Golfo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José del Golfo.
Abono Orgánico de San José del Golfo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José del Golfo.
Semilla de Maíz de Palencia,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Palencia.
Semilla de Frijol de Palencia,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Palencia.
Abono Orgánico de Palencia,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Palencia.
Semilla de Maíz de Chinautla,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chinautla.
Semilla de Frijol de Chinautla,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chinautla.
Abono Orgánico de Chinautla,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chinautla.
Semilla de Maíz de San Pedro Ayampuc,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pedro Ayampuc.
Semilla de Frijol de San Pedro Ayampuc,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pedro Ayampuc.
Abono Orgánico de San Pedro Ayampuc,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pedro Ayampuc.
Semilla de Maíz de Mixco,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Mixco.
Semilla de Frijol de Mixco,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Mixco.
Abono Orgánico de Mixco,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Mixco.
Semilla de Maíz de San Pedro Sacatepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Pedro Sacatepéquez.
Semilla de Frijol de San Pedro Sacatepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Pedro Sacatepéquez.
