nombre,municipio_pcode,dias_plaza,tipo_mercado,cantidad_vendedores_est,latitud,longitud,descripcion
Mercado Municipal Central de Lago De Amatitlan,GT0100,Diario,Cantonal/Municipal,1267,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de Lago De Amatitlan.
Mercado Cantonal de Lago De Amatitlan,GT0100,Jueves y Domingos,Artesanal,552,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en Lago De Amatitlan.
Mercado de Productores y Artesanos de Lago De Amatitlan,GT0100,Sábados,Artesanal,458,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en Lago De Amatitlan.
Mercado Municipal Central de Guatemala,GT0101,Diario,Cantonal/Municipal,530,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de Guatemala.
Mercado Cantonal de Guatemala,GT0101,Jueves y Domingos,Mayorista,754,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en Guatemala.
Mercado de Productores y Artesanos de Guatemala,GT0101,Sábados,Mayorista,130,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en Guatemala.
Mercado Municipal Central de Santa Catarina Pinula,GT0102,Diario,Cantonal/Municipal,541,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de Santa Catarina Pinula.
Mercado Cantonal de Santa Catarina Pinula,GT0102,Jueves y Domingos,Cantonal/Municipal,683,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en Santa Catarina Pinula.
Mercado de Productores y Artesanos de Santa Catarina Pinula,GT0102,Sábados,Artesanal,116,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en Santa Catarina Pinula.
Mercado Municipal Central de San José Pinula,GT0103,Diario,Cantonal/Municipal,987,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de San José Pinula.
Mercado Cantonal de San José Pinula,GT0103,Jueves y Domingos,Mixto,618,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en San José Pinula.
Mercado de Productores y Artesanos de San José Pinula,GT0103,Sábados,Mayorista,192,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en San José Pinula.
Mercado Municipal Central de San José del Golfo,GT0104,Diario,Cantonal/Municipal,677,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de San José del Golfo.
Mercado Cantonal de San José del Golfo,GT0104,Jueves y Domingos,Artesanal,630,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en San José del Golfo.
Mercado de Productores y Artesanos de San José del Golfo,GT0104,Sábados,Artesanal,291,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en San José del Golfo.
Mercado Municipal Central de Palencia,GT0105,Diario,Cantonal/Municipal,1183,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de Palencia.
Mercado Cantonal de Palencia,GT0105,Jueves y Domingos,Mayorista,659,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en Palencia.
Mercado de Productores y Artesanos de Palencia,GT0105,Sábados,Mayorista,545,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en Palencia.
Mercado Municipal Central de Chinautla,GT0106,Diario,Cantonal/Municipal,1173,14.658400,-90.543300,Mercado municipal de abastos y comercio cotidiano de Chinautla.
Mercado Cantonal de Chinautla,GT0106,Jueves y Domingos,Cantonal/Municipal,584,14.661400,-90.546300,Plaza y mercado cantonal de comercio vecinal en Chinautla.
Mercado de Productores y Artesanos de Chinautla,GT0106,Sábados,Artesanal,141,14.655400,-90.540300,Mercado de productores locales para venta al por mayor en Chinautla.
Mercado Municipal Central de San Pedro Ayampuc,GT0107,Diario,Cantonal/Municipal,672,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de San Pedro Ayampuc.
Mercado Cantonal de San Pedro Ayampuc,GT0107,Jueves y Domingos,Mixto,556,14.666400,-90.551300,Plaza y mercado cantonal de comercio vecinal en San Pedro Ayampuc.
Mercado de Productores y Artesanos de San Pedro Ayampuc,GT0107,Sábados,Mayorista,160,14.660400,-90.545300,Mercado de productores locales para venta al por mayor en San Pedro Ayampuc.
Mercado Municipal Central de Mixco,GT0108,Diario,Cantonal/Municipal,765,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de Mixco.
Mercado Cantonal de Mixco,GT0108,Jueves y Domingos,Artesanal,750,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en Mixco.
Mercado de Productores y Artesanos de Mixco,GT0108,Sábados,Artesanal,301,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en Mixco.
Mercado Municipal Central de San Pedro Sacatepéquez,GT0109,Diario,Cantonal/Municipal,1483,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de San Pedro Sacatepéquez.
Mercado Cantonal de San Pedro Sacatepéquez,GT0109,Jueves y Domingos,Mayorista,330,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en San Pedro Sacatepéquez.
Mercado de Productores y Artesanos de San Pedro Sacatepéquez,GT0109,Sábados,Mayorista,472,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en San Pedro Sacatepéquez.
Mercado Municipal Central de San Juan Sacatepéquez,GT0110,Diario,Cantonal/Municipal,856,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de San Juan Sacatepéquez.
Mercado Cantonal de San Juan Sacatepéquez,GT0110,Jueves y Domingos,Cantonal/Municipal,203,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en San Juan Sacatepéquez.
Mercado de Productores y Artesanos de San Juan Sacatepéquez,GT0110,Sábados,Artesanal,487,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en San Juan Sacatepéquez.
Mercado Municipal Central de San Raimundo,GT0111,Diario,Cantonal/Municipal,446,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de San Raimundo.
Mercado Cantonal de San Raimundo,GT0111,Jueves y Domingos,Mixto,505,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en San Raimundo.
Mercado de Productores y Artesanos de San Raimundo,GT0111,Sábados,Mayorista,337,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en San Raimundo.
Mercado Municipal Central de Chuarrancho,GT0112,Diario,Cantonal/Municipal,1268,14.688400,-90.573300,Mercado municipal de abastos y comercio cotidiano de Chuarrancho.
Mercado Cantonal de Chuarrancho,GT0112,Jueves y Domingos,Artesanal,744,14.691400,-90.576300,Plaza y mercado cantonal de comercio vecinal en Chuarrancho.
Mercado de Productores y Artesanos de Chuarrancho,GT0112,Sábados,Artesanal,294,14.685400,-90.570300,Mercado de productores locales para venta al por mayor en Chuarrancho.
Mercado Municipal Central de Fraijanes,GT0113,Diario,Cantonal/Municipal,870,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de Fraijanes.
Mercado Cantonal de Fraijanes,GT0113,Jueves y Domingos,Mayorista,453,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en Fraijanes.
Mercado de Productores y Artesanos de Fraijanes,GT0113,Sábados,Mayorista,335,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en Fraijanes.
Mercado Municipal Central de Amatitlán,GT0114,Diario,Cantonal/Municipal,1108,14.698400,-90.583300,Mercado municipal de abastos y comercio cotidiano de Amatitlán.
Mercado Cantonal de Amatitlán,GT0114,Jueves y Domingos,Cantonal/Municipal,358,14.701400,-90.586300,Plaza y mercado cantonal de comercio vecinal en Amatitlán.
Mercado de Productores y Artesanos de Amatitlán,GT0114,Sábados,Artesanal,241,14.695400,-90.580300,Mercado de productores locales para venta al por mayor en Amatitlán.
Mercado Municipal Central de Villa Nueva,GT0115,Diario,Cantonal/Municipal,786,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de Villa Nueva.
Mercado Cantonal de Villa Nueva,GT0115,Jueves y Domingos,Mixto,315,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en Villa Nueva.
Mercado de Productores y Artesanos de Villa Nueva,GT0115,Sábados,Mayorista,116,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en Villa Nueva.
Mercado Municipal Central de Villa Canales,GT0116,Diario,Cantonal/Municipal,1258,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de Villa Canales.
Mercado Cantonal de Villa Canales,GT0116,Jueves y Domingos,Artesanal,216,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en Villa Canales.
Mercado de Productores y Artesanos de Villa Canales,GT0116,Sábados,Artesanal,223,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en Villa Canales.
Mercado Municipal Central de Petapa,GT0117,Diario,Cantonal/Municipal,822,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de Petapa.
Mercado Cantonal de Petapa,GT0117,Jueves y Domingos,Mayorista,268,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en Petapa.
Mercado de Productores y Artesanos de Petapa,GT0117,Sábados,Mayorista,151,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en Petapa.
Mercado Municipal Central de Guastatoya,GT0201,Diario,Cantonal/Municipal,468,14.888100,-90.161700,Mercado municipal de abastos y comercio cotidiano de Guastatoya.
Mercado Cantonal de Guastatoya,GT0201,Jueves y Domingos,Cantonal/Municipal,657,14.891100,-90.164700,Plaza y mercado cantonal de comercio vecinal en Guastatoya.
Mercado de Productores y Artesanos de Guastatoya,GT0201,Sábados,Artesanal,406,14.885100,-90.158700,Mercado de productores locales para venta al por mayor en Guastatoya.
Mercado Municipal Central de Morazán,GT0202,Diario,Cantonal/Municipal,499,14.723400,-90.608300,Mercado municipal de abastos y comercio cotidiano de Morazán.
Mercado Cantonal de Morazán,GT0202,Jueves y Domingos,Mixto,450,14.726400,-90.611300,Plaza y mercado cantonal de comercio vecinal en Morazán.
Mercado de Productores y Artesanos de Morazán,GT0202,Sábados,Mayorista,479,14.720400,-90.605300,Mercado de productores locales para venta al por mayor en Morazán.
