municipio_pcode,actividad_nombre,certificacion_nombre,porcentaje_produccion,fecha_auditoria
GT0100,Cultivo de Maíz en Lago De Amatitlan,Certificación Orgánica y de Origen - Reg COOP-GT0100-A,85.00,2026-03-15
GT0100,Cultivo de Frijol en Lago De Amatitlan,Certificación Orgánica y de Origen - Reg COOP-GT0100-B,52.00,2026-03-15
GT0100,Crianza de Aves en Lago De Amatitlan,Certificación Orgánica y de Origen - Reg ASO-GT0100-C,72.00,2026-03-15
GT0101,Cultivo de Maíz en Guatemala,Certificación Orgánica y de Origen - Reg COOP-GT0101-A,86.00,2026-03-15
GT0101,Cultivo de Frijol en Guatemala,Certificación Orgánica y de Origen - Reg COOP-GT0101-B,95.00,2026-03-15
GT0101,Crianza de Aves en Guatemala,Certificación Orgánica y de Origen - Reg ASO-GT0101-C,79.00,2026-03-15
GT0102,Cultivo de Maíz en Santa Catarina Pinula,Certificación Orgánica y de Origen - Reg COOP-GT0102-A,80.00,2026-03-15
GT0102,Cultivo de Frijol en Santa Catarina Pinula,Certificación Orgánica y de Origen - Reg COOP-GT0102-B,87.00,2026-03-15
GT0102,Crianza de Aves en Santa Catarina Pinula,Certificación Orgánica y de Origen - Reg ASO-GT0102-C,93.00,2026-03-15
GT0103,Cultivo de Maíz en San José Pinula,Certificación Orgánica y de Origen - Reg COOP-GT0103-A,89.00,2026-03-15
GT0103,Cultivo de Frijol en San José Pinula,Certificación Orgánica y de Origen - Reg COOP-GT0103-B,92.00,2026-03-15
GT0103,Crianza de Aves en San José Pinula,Certificación Orgánica y de Origen - Reg ASO-GT0103-C,84.00,2026-03-15
GT0104,Cultivo de Maíz en San José del Golfo,Certificación Orgánica y de Origen - Reg COOP-GT0104-A,99.00,2026-03-15
GT0104,Cultivo de Frijol en San José del Golfo,Certificación Orgánica y de Origen - Reg COOP-GT0104-B,66.00,2026-03-15
GT0104,Crianza de Aves en San José del Golfo,Certificación Orgánica y de Origen - Reg ASO-GT0104-C,80.00,2026-03-15
GT0105,Cultivo de Maíz en Palencia,Certificación Orgánica y de Origen - Reg COOP-GT0105-A,71.00,2026-03-15
GT0105,Cultivo de Frijol en Palencia,Certificación Orgánica y de Origen - Reg COOP-GT0105-B,63.00,2026-03-15
GT0105,Crianza de Aves en Palencia,Certificación Orgánica y de Origen - Reg ASO-GT0105-C,75.00,2026-03-15
GT0106,Cultivo de Maíz en Chinautla,Certificación Orgánica y de Origen - Reg COOP-GT0106-A,65.00,2026-03-15
GT0106,Cultivo de Frijol en Chinautla,Certificación Orgánica y de Origen - Reg COOP-GT0106-B,88.00,2026-03-15
GT0106,Crianza de Aves en Chinautla,Certificación Orgánica y de Origen - Reg ASO-GT0106-C,78.00,2026-03-15
GT0107,Cultivo de Maíz en San Pedro Ayampuc,Certificación Orgánica y de Origen - Reg COOP-GT0107-A,66.00,2026-03-15
GT0107,Cultivo de Frijol en San Pedro Ayampuc,Certificación Orgánica y de Origen - Reg COOP-GT0107-B,77.00,2026-03-15
GT0107,Crianza de Aves en San Pedro Ayampuc,Certificación Orgánica y de Origen - Reg ASO-GT0107-C,87.00,2026-03-15
GT0108,Cultivo de Maíz en Mixco,Certificación Orgánica y de Origen - Reg COOP-GT0108-A,61.00,2026-03-15
GT0108,Cultivo de Frijol en Mixco,Certificación Orgánica y de Origen - Reg COOP-GT0108-B,50.00,2026-03-15
GT0108,Crianza de Aves en Mixco,Certificación Orgánica y de Origen - Reg ASO-GT0108-C,82.00,2026-03-15
GT0109,Cultivo de Maíz en San Pedro Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0109-A,67.00,2026-03-15
GT0109,Cultivo de Frijol en San Pedro Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0109-B,50.00,2026-03-15
GT0109,Cultivo de Flores en San Pedro Sacatepéquez,Certificación Orgánica y de Origen - Reg ASO-GT0109-C,75.00,2026-03-15
GT0109,Producción de Muebles en San Pedro Sacatepéquez,Certificación Orgánica y de Origen - Reg ASO-GT0109-C,90.00,2026-03-15
GT0110,Cultivo de Maíz en San Juan Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0110-A,90.00,2026-03-15
GT0110,Cultivo de Frijol en San Juan Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0110-B,79.00,2026-03-15
GT0110,Cultivo de Flores en San Juan Sacatepéquez,Certificación Orgánica y de Origen - Reg ASO-GT0110-C,92.00,2026-03-15
GT0110,Producción de Muebles en San Juan Sacatepéquez,Certificación Orgánica y de Origen - Reg ASO-GT0110-C,82.00,2026-03-15
GT0111,Cultivo de Maíz en San Raimundo,Certificación Orgánica y de Origen - Reg COOP-GT0111-A,98.00,2026-03-15
GT0111,Cultivo de Frijol en San Raimundo,Certificación Orgánica y de Origen - Reg COOP-GT0111-B,81.00,2026-03-15
GT0111,Crianza de Aves en San Raimundo,Certificación Orgánica y de Origen - Reg ASO-GT0111-C,79.00,2026-03-15
GT0112,Cultivo de Maíz en Chuarrancho,Certificación Orgánica y de Origen - Reg COOP-GT0112-A,99.00,2026-03-15
GT0112,Cultivo de Frijol en Chuarrancho,Certificación Orgánica y de Origen - Reg COOP-GT0112-B,89.00,2026-03-15
GT0112,Crianza de Aves en Chuarrancho,Certificación Orgánica y de Origen - Reg ASO-GT0112-C,81.00,2026-03-15
GT0113,Cultivo de Maíz en Fraijanes,Certificación Orgánica y de Origen - Reg COOP-GT0113-A,85.00,2026-03-15
GT0113,Cultivo de Frijol en Fraijanes,Certificación Orgánica y de Origen - Reg COOP-GT0113-B,69.00,2026-03-15
GT0113,Crianza de Aves en Fraijanes,Certificación Orgánica y de Origen - Reg ASO-GT0113-C,72.00,2026-03-15
GT0114,Cultivo de Maíz en Amatitlán,Certificación Orgánica y de Origen - Reg COOP-GT0114-A,68.00,2026-03-15
