municipio_pcode,actividad_nombre,cooperativa_nombre,es_principal,volumen_estimado,cantidad_productores_est,empleo_generado_est,ciclo_cosecha_meses,destino_principal
GT0100,Cultivo de Maíz en Lago De Amatitlan,Cooperativa Integral de Producción Agrícola de Lago De Amatitlan R.L.,false,Medio,628,162,Mayo-Noviembre,Autoconsumo
GT0100,Cultivo de Frijol en Lago De Amatitlan,,false,Bajo,481,142,Mayo-Septiembre,Autoconsumo
GT0100,Crianza de Aves en Lago De Amatitlan,Asociación de Productores y Comercializadores de Lago De Amatitlan,true,Alto,757,1571,Diario,Exportación
GT0101,Cultivo de Maíz en Guatemala,Cooperativa Integral de Producción Agrícola de Guatemala R.L.,false,Medio,609,496,Mayo-Noviembre,Autoconsumo
GT0101,Cultivo de Frijol en Guatemala,,false,Bajo,758,102,Mayo-Septiembre,Autoconsumo
GT0101,Crianza de Aves en Guatemala,Asociación de Productores y Comercializadores de Guatemala,true,Medio,1164,1130,Diario,Mercado Nacional
GT0102,Cultivo de Maíz en Santa Catarina Pinula,Cooperativa Integral de Producción Agrícola de Santa Catarina Pinula R.L.,false,Medio,461,197,Mayo-Noviembre,Autoconsumo
GT0102,Cultivo de Frijol en Santa Catarina Pinula,,false,Bajo,423,139,Mayo-Septiembre,Autoconsumo
GT0102,Crianza de Aves en Santa Catarina Pinula,Asociación de Productores y Comercializadores de Santa Catarina Pinula,true,Alto,1334,3465,Diario,Autoconsumo
GT0103,Cultivo de Maíz en San José Pinula,Cooperativa Integral de Producción Agrícola de San José Pinula R.L.,false,Medio,454,437,Mayo-Noviembre,Autoconsumo
GT0103,Cultivo de Frijol en San José Pinula,,false,Bajo,403,263,Mayo-Septiembre,Autoconsumo
GT0103,Crianza de Aves en San José Pinula,Asociación de Productores y Comercializadores de San José Pinula,true,Medio,1416,2718,Diario,Mixto
GT0104,Cultivo de Maíz en San José del Golfo,Cooperativa Integral de Producción Agrícola de San José del Golfo R.L.,false,Medio,851,379,Mayo-Noviembre,Autoconsumo
GT0104,Cultivo de Frijol en San José del Golfo,,false,Bajo,484,287,Mayo-Septiembre,Autoconsumo
GT0104,Crianza de Aves en San José del Golfo,Asociación de Productores y Comercializadores de San José del Golfo,true,Alto,313,4108,Diario,Exportación
GT0105,Cultivo de Maíz en Palencia,Cooperativa Integral de Producción Agrícola de Palencia R.L.,false,Medio,726,507,Mayo-Noviembre,Autoconsumo
GT0105,Cultivo de Frijol en Palencia,,false,Bajo,632,167,Mayo-Septiembre,Autoconsumo
GT0105,Crianza de Aves en Palencia,Asociación de Productores y Comercializadores de Palencia,true,Medio,869,1636,Diario,Mercado Nacional
GT0106,Cultivo de Maíz en Chinautla,Cooperativa Integral de Producción Agrícola de Chinautla R.L.,false,Medio,840,540,Mayo-Noviembre,Autoconsumo
GT0106,Cultivo de Frijol en Chinautla,,false,Bajo,544,106,Mayo-Septiembre,Autoconsumo
GT0106,Crianza de Aves en Chinautla,Asociación de Productores y Comercializadores de Chinautla,true,Alto,489,2556,Diario,Autoconsumo
GT0107,Cultivo de Maíz en San Pedro Ayampuc,Cooperativa Integral de Producción Agrícola de San Pedro Ayampuc R.L.,false,Medio,598,333,Mayo-Noviembre,Autoconsumo
GT0107,Cultivo de Frijol en San Pedro Ayampuc,,false,Bajo,552,234,Mayo-Septiembre,Autoconsumo
GT0107,Crianza de Aves en San Pedro Ayampuc,Asociación de Productores y Comercializadores de San Pedro Ayampuc,true,Medio,841,4305,Diario,Mixto
GT0108,Cultivo de Maíz en Mixco,Cooperativa Integral de Producción Agrícola de Mixco R.L.,false,Medio,488,523,Mayo-Noviembre,Autoconsumo
GT0108,Cultivo de Frijol en Mixco,,false,Bajo,670,217,Mayo-Septiembre,Autoconsumo
GT0108,Crianza de Aves en Mixco,Asociación de Productores y Comercializadores de Mixco,true,Alto,555,4985,Diario,Exportación
GT0109,Cultivo de Maíz en San Pedro Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Pedro Sacatepéquez R.L.,false,Medio,1175,190,Mayo-Noviembre,Autoconsumo
GT0109,Cultivo de Frijol en San Pedro Sacatepéquez,,false,Bajo,765,155,Mayo-Septiembre,Autoconsumo
GT0109,Cultivo de Flores en San Pedro Sacatepéquez,Asociación de Productores y Comercializadores de San Pedro Sacatepéquez,true,Medio,1040,3364,Diario,Mercado Nacional
GT0109,Producción de Muebles en San Pedro Sacatepéquez,Asociación de Productores y Comercializadores de San Pedro Sacatepéquez,true,Medio,693,3885,Diario,Mercado Nacional
GT0110,Cultivo de Maíz en San Juan Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Juan Sacatepéquez R.L.,false,Medio,542,173,Mayo-Noviembre,Autoconsumo
GT0110,Cultivo de Frijol en San Juan Sacatepéquez,,false,Bajo,433,277,Mayo-Septiembre,Autoconsumo
GT0110,Cultivo de Flores en San Juan Sacatepéquez,Asociación de Productores y Comercializadores de San Juan Sacatepéquez,true,Alto,892,1326,Diario,Autoconsumo
GT0110,Producción de Muebles en San Juan Sacatepéquez,Asociación de Productores y Comercializadores de San Juan Sacatepéquez,true,Alto,776,4549,Diario,Autoconsumo
GT0111,Cultivo de Maíz en San Raimundo,Cooperativa Integral de Producción Agrícola de San Raimundo R.L.,false,Medio,606,344,Mayo-Noviembre,Autoconsumo
GT0111,Cultivo de Frijol en San Raimundo,,false,Bajo,484,196,Mayo-Septiembre,Autoconsumo
GT0111,Crianza de Aves en San Raimundo,Asociación de Productores y Comercializadores de San Raimundo,true,Medio,1047,1666,Diario,Mixto
GT0112,Cultivo de Maíz en Chuarrancho,Cooperativa Integral de Producción Agrícola de Chuarrancho R.L.,false,Medio,1158,331,Mayo-Noviembre,Autoconsumo
GT0112,Cultivo de Frijol en Chuarrancho,,false,Bajo,414,251,Mayo-Septiembre,Autoconsumo
GT0112,Crianza de Aves en Chuarrancho,Asociación de Productores y Comercializadores de Chuarrancho,true,Alto,846,3874,Diario,Exportación
GT0113,Cultivo de Maíz en Fraijanes,Cooperativa Integral de Producción Agrícola de Fraijanes R.L.,false,Medio,546,461,Mayo-Noviembre,Autoconsumo
GT0113,Cultivo de Frijol en Fraijanes,,false,Bajo,375,216,Mayo-Septiembre,Autoconsumo
GT0113,Crianza de Aves en Fraijanes,Asociación de Productores y Comercializadores de Fraijanes,true,Medio,801,1669,Diario,Mercado Nacional
GT0114,Cultivo de Maíz en Amatitlán,Cooperativa Integral de Producción Agrícola de Amatitlán R.L.,false,Medio,1346,344,Mayo-Noviembre,Autoconsumo
GT0114,Cultivo de Frijol en Amatitlán,,false,Bajo,476,243,Mayo-Septiembre,Autoconsumo
GT0114,Crianza de Aves en Amatitlán,Asociación de Productores y Comercializadores de Amatitlán,true,Alto,1440,1899,Diario,Autoconsumo
GT0115,Cultivo de Maíz en Villa Nueva,Cooperativa Integral de Producción Agrícola de Villa Nueva R.L.,false,Medio,1064,581,Mayo-Noviembre,Autoconsumo
GT0115,Cultivo de Frijol en Villa Nueva,,false,Bajo,257,138,Mayo-Septiembre,Autoconsumo
GT0115,Crianza de Aves en Villa Nueva,Asociación de Productores y Comercializadores de Villa Nueva,true,Medio,365,4297,Diario,Mixto
GT0116,Cultivo de Maíz en Villa Canales,Cooperativa Integral de Producción Agrícola de Villa Canales R.L.,false,Medio,1046,355,Mayo-Noviembre,Autoconsumo
GT0116,Cultivo de Frijol en Villa Canales,,false,Bajo,474,96,Mayo-Septiembre,Autoconsumo
GT0116,Crianza de Aves en Villa Canales,Asociación de Productores y Comercializadores de Villa Canales,true,Alto,732,4740,Diario,Exportación
GT0117,Cultivo de Maíz en Petapa,Cooperativa Integral de Producción Agrícola de Petapa R.L.,false,Medio,1044,258,Mayo-Noviembre,Autoconsumo
GT0117,Cultivo de Frijol en Petapa,,false,Bajo,711,181,Mayo-Septiembre,Autoconsumo
GT0117,Crianza de Aves en Petapa,Asociación de Productores y Comercializadores de Petapa,true,Medio,1239,1585,Diario,Mercado Nacional
GT0201,Cultivo de Maíz en Guastatoya,Cooperativa Integral de Producción Agrícola de Guastatoya R.L.,false,Medio,942,221,Mayo-Noviembre,Autoconsumo
GT0201,Cultivo de Frijol en Guastatoya,,false,Bajo,452,270,Mayo-Septiembre,Autoconsumo
GT0201,Producción Ganadera en Guastatoya,Asociación de Productores y Comercializadores de Guastatoya,true,Alto,1449,3207,Diario,Autoconsumo
GT0202,Cultivo de Maíz en Morazán,Cooperativa Integral de Producción Agrícola de Morazán R.L.,false,Medio,938,532,Mayo-Noviembre,Autoconsumo
GT0202,Cultivo de Frijol en Morazán,,false,Bajo,798,189,Mayo-Septiembre,Autoconsumo
GT0202,Producción Ganadera en Morazán,Asociación de Productores y Comercializadores de Morazán,true,Medio,1495,2635,Diario,Mixto
GT0203,Cultivo de Maíz en San Agustín Acasaguastlán,Cooperativa Integral de Producción Agrícola de San Agustín Acasaguastlán R.L.,false,Medio,1141,262,Mayo-Noviembre,Autoconsumo
GT0203,Cultivo de Frijol en San Agustín Acasaguastlán,,false,Bajo,341,210,Mayo-Septiembre,Autoconsumo
GT0203,Producción Ganadera en San Agustín Acasaguastlán,Asociación de Productores y Comercializadores de San Agustín Acasaguastlán,true,Alto,1310,1372,Diario,Exportación
GT0204,Cultivo de Maíz en San Cristóbal Acasaguastlán,Cooperativa Integral de Producción Agrícola de San Cristóbal Acasaguastlán R.L.,false,Medio,496,590,Mayo-Noviembre,Autoconsumo
GT0204,Cultivo de Frijol en San Cristóbal Acasaguastlán,,false,Bajo,312,119,Mayo-Septiembre,Autoconsumo
GT0204,Producción Ganadera en San Cristóbal Acasaguastlán,Asociación de Productores y Comercializadores de San Cristóbal Acasaguastlán,true,Medio,627,4244,Diario,Mercado Nacional
GT0205,Cultivo de Maíz en El Jícaro,Cooperativa Integral de Producción Agrícola de El Jícaro R.L.,false,Medio,1264,455,Mayo-Noviembre,Autoconsumo
GT0205,Cultivo de Frijol en El Jícaro,,false,Bajo,265,178,Mayo-Septiembre,Autoconsumo
GT0205,Producción Ganadera en El Jícaro,Asociación de Productores y Comercializadores de El Jícaro,true,Alto,1081,3440,Diario,Autoconsumo
GT0206,Cultivo de Maíz en Sanarate,Cooperativa Integral de Producción Agrícola de Sanarate R.L.,false,Medio,1358,420,Mayo-Noviembre,Autoconsumo
GT0206,Cultivo de Frijol en Sanarate,,false,Bajo,457,221,Mayo-Septiembre,Autoconsumo
GT0206,Producción Ganadera en Sanarate,Asociación de Productores y Comercializadores de Sanarate,true,Medio,323,3786,Diario,Mixto
GT0207,Cultivo de Maíz en Sansare,Cooperativa Integral de Producción Agrícola de Sansare R.L.,false,Medio,634,499,Mayo-Noviembre,Autoconsumo
GT0207,Cultivo de Frijol en Sansare,,false,Bajo,749,272,Mayo-Septiembre,Autoconsumo
GT0207,Producción Ganadera en Sansare,Asociación de Productores y Comercializadores de Sansare,true,Alto,846,4148,Diario,Exportación
GT0208,Cultivo de Maíz en San Antonio La Paz,Cooperativa Integral de Producción Agrícola de San Antonio La Paz R.L.,false,Medio,1096,207,Mayo-Noviembre,Autoconsumo
GT0208,Cultivo de Frijol en San Antonio La Paz,,false,Bajo,500,191,Mayo-Septiembre,Autoconsumo
GT0208,Producción Ganadera en San Antonio La Paz,Asociación de Productores y Comercializadores de San Antonio La Paz,true,Medio,623,2858,Diario,Mercado Nacional
