origen_municipio_pcode,destino_municipio_pcode,puerto_salida,medio_transporte,distancia_km,tiempo_estimado_horas,producto_principal
GT0100,GT0101,,Terrestre - Camión de Carga,43.00,3.00,Maíz y Frijol Negro
GT0100,GT0101,,Terrestre - Camión de Carga,170.00,2.00,Hortalizas y Artesanías
GT0100,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,468.00,8.00,Café y Cardamomo Especial
GT0101,GT0101,,Terrestre - Camión de Carga,53.00,3.00,Maíz y Frijol Negro
GT0101,GT0101,,Terrestre - Camión de Carga,223.00,7.00,Hortalizas y Artesanías
GT0101,,Puerto Quetzal,Terrestre - Camión de Carga,248.00,11.00,Café y Cardamomo Especial
GT0102,GT0101,,Terrestre - Camión de Carga,41.00,2.00,Maíz y Frijol Negro
GT0102,GT0101,,Terrestre - Camión de Carga,178.00,7.00,Hortalizas y Artesanías
GT0102,,Frontera Tecún Umán,Terrestre - Camión de Carga,397.00,7.00,Café y Cardamomo Especial
GT0103,GT0101,,Terrestre - Camión de Carga,16.00,1.00,Maíz y Frijol Negro
GT0103,GT0101,,Terrestre - Camión de Carga,254.00,3.00,Hortalizas y Artesanías
GT0103,,Frontera El Florido,Terrestre - Camión de Carga,458.00,12.00,Café y Cardamomo Especial
GT0104,GT0101,,Terrestre - Camión de Carga,73.00,1.00,Maíz y Frijol Negro
GT0104,GT0101,,Terrestre - Camión de Carga,109.00,5.00,Hortalizas y Artesanías
GT0104,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,364.00,8.00,Café y Cardamomo Especial
GT0105,GT0101,,Terrestre - Camión de Carga,52.00,2.00,Maíz y Frijol Negro
GT0105,GT0101,,Terrestre - Camión de Carga,102.00,6.00,Hortalizas y Artesanías
GT0105,,Puerto Quetzal,Terrestre - Camión de Carga,314.00,11.00,Café y Cardamomo Especial
GT0106,GT0101,,Terrestre - Camión de Carga,61.00,1.00,Maíz y Frijol Negro
GT0106,GT0101,,Terrestre - Camión de Carga,110.00,5.00,Hortalizas y Artesanías
GT0106,,Frontera Tecún Umán,Terrestre - Camión de Carga,427.00,12.00,Café y Cardamomo Especial
GT0107,GT0101,,Terrestre - Camión de Carga,21.00,2.00,Maíz y Frijol Negro
GT0107,GT0101,,Terrestre - Camión de Carga,204.00,4.00,Hortalizas y Artesanías
GT0107,,Frontera El Florido,Terrestre - Camión de Carga,260.00,12.00,Café y Cardamomo Especial
GT0108,GT0101,,Terrestre - Camión de Carga,12.00,1.00,Maíz y Frijol Negro
GT0108,GT0101,,Terrestre - Camión de Carga,193.00,5.00,Hortalizas y Artesanías
GT0108,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,218.00,5.00,Café y Cardamomo Especial
GT0109,GT0101,,Terrestre - Camión de Carga,21.00,3.00,Maíz y Frijol Negro
GT0109,GT0101,,Terrestre - Camión de Carga,248.00,7.00,Hortalizas y Artesanías
GT0109,,Puerto Quetzal,Terrestre - Camión de Carga,355.00,8.00,Café y Cardamomo Especial
GT0110,GT0101,,Terrestre - Camión de Carga,68.00,2.00,Maíz y Frijol Negro
GT0110,GT0101,,Terrestre - Camión de Carga,183.00,2.00,Hortalizas y Artesanías
GT0110,,Frontera Tecún Umán,Terrestre - Camión de Carga,314.00,12.00,Café y Cardamomo Especial
GT0111,GT0101,,Terrestre - Camión de Carga,52.00,3.00,Maíz y Frijol Negro
GT0111,GT0101,,Terrestre - Camión de Carga,286.00,6.00,Hortalizas y Artesanías
GT0111,,Frontera El Florido,Terrestre - Camión de Carga,442.00,10.00,Café y Cardamomo Especial
GT0112,GT0101,,Terrestre - Camión de Carga,67.00,1.00,Maíz y Frijol Negro
GT0112,GT0101,,Terrestre - Camión de Carga,114.00,7.00,Hortalizas y Artesanías
GT0112,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,313.00,5.00,Café y Cardamomo Especial
GT0113,GT0101,,Terrestre - Camión de Carga,53.00,2.00,Maíz y Frijol Negro
GT0113,GT0101,,Terrestre - Camión de Carga,302.00,7.00,Hortalizas y Artesanías
GT0113,,Puerto Quetzal,Terrestre - Camión de Carga,349.00,10.00,Café y Cardamomo Especial
GT0114,GT0101,,Terrestre - Camión de Carga,23.00,1.00,Maíz y Frijol Negro
GT0114,GT0101,,Terrestre - Camión de Carga,319.00,3.00,Hortalizas y Artesanías
GT0114,,Frontera Tecún Umán,Terrestre - Camión de Carga,452.00,7.00,Café y Cardamomo Especial
GT0115,GT0101,,Terrestre - Camión de Carga,62.00,1.00,Maíz y Frijol Negro
GT0115,GT0101,,Terrestre - Camión de Carga,155.00,6.00,Hortalizas y Artesanías
GT0115,,Frontera El Florido,Terrestre - Camión de Carga,300.00,8.00,Café y Cardamomo Especial
GT0116,GT0101,,Terrestre - Camión de Carga,25.00,2.00,Maíz y Frijol Negro
GT0116,GT0101,,Terrestre - Camión de Carga,145.00,5.00,Hortalizas y Artesanías
GT0116,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,297.00,10.00,Café y Cardamomo Especial
GT0117,GT0101,,Terrestre - Camión de Carga,23.00,2.00,Maíz y Frijol Negro
GT0117,GT0101,,Terrestre - Camión de Carga,101.00,7.00,Hortalizas y Artesanías
GT0117,,Puerto Quetzal,Terrestre - Camión de Carga,263.00,12.00,Café y Cardamomo Especial
GT0201,GT0201,,Terrestre - Camión de Carga,68.00,3.00,Maíz y Frijol Negro
GT0201,GT0101,,Terrestre - Camión de Carga,240.00,6.00,Hortalizas y Artesanías
GT0201,,Frontera Tecún Umán,Terrestre - Camión de Carga,268.00,12.00,Café y Cardamomo Especial
GT0202,GT0201,,Terrestre - Camión de Carga,10.00,3.00,Maíz y Frijol Negro
