cooperativa_siglas,tipo_servicio,tasa_interes_anual,monto_maximo_quetzales,requisito_principal
COOP-GT0100-A,Microcrédito Agrícola,15.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0100-B,Remesas Familiares,18.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0100-C,Crédito Artesanal,17.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0101-A,Financiamiento de Equipo,17.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0101-B,Ahorro Plazo Fijo,10.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0101-C,Crédito Artesanal,7.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0102-A,Microcrédito Agrícola,9.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0102-B,Remesas Familiares,13.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0102-C,Crédito Artesanal,9.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0103-A,Financiamiento de Equipo,8.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0103-B,Ahorro Plazo Fijo,11.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0103-C,Crédito Artesanal,18.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0104-A,Microcrédito Agrícola,7.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0104-B,Remesas Familiares,14.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0104-C,Crédito Artesanal,18.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0105-A,Financiamiento de Equipo,14.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0105-B,Ahorro Plazo Fijo,9.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0105-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0106-A,Microcrédito Agrícola,18.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0106-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0106-C,Crédito Artesanal,14.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0107-A,Financiamiento de Equipo,9.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0107-B,Ahorro Plazo Fijo,13.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0107-C,Crédito Artesanal,17.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0108-A,Microcrédito Agrícola,6.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0108-B,Remesas Familiares,6.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0108-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0109-A,Financiamiento de Equipo,6.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0109-B,Ahorro Plazo Fijo,14.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0109-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0110-A,Microcrédito Agrícola,16.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0110-B,Remesas Familiares,11.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0110-C,Crédito Artesanal,9.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0111-A,Financiamiento de Equipo,10.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0111-B,Ahorro Plazo Fijo,18.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0111-C,Crédito Artesanal,16.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0112-A,Microcrédito Agrícola,10.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0112-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0112-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0113-A,Financiamiento de Equipo,15.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0113-B,Ahorro Plazo Fijo,9.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0113-C,Crédito Artesanal,14.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0114-A,Microcrédito Agrícola,10.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0114-B,Remesas Familiares,17.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0114-C,Crédito Artesanal,15.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0115-A,Financiamiento de Equipo,8.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0115-B,Ahorro Plazo Fijo,10.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0115-C,Crédito Artesanal,14.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0116-A,Microcrédito Agrícola,6.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0116-B,Remesas Familiares,6.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0116-C,Crédito Artesanal,16.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0117-A,Financiamiento de Equipo,7.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0117-B,Ahorro Plazo Fijo,6.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0117-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0201-A,Microcrédito Agrícola,8.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0201-B,Remesas Familiares,15.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0201-C,Crédito Artesanal,10.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0202-A,Financiamiento de Equipo,9.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0202-B,Ahorro Plazo Fijo,18.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0202-C,Crédito Artesanal,15.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0203-A,Microcrédito Agrícola,7.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0203-B,Remesas Familiares,7.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0203-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0204-A,Financiamiento de Equipo,13.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0204-B,Ahorro Plazo Fijo,9.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0204-C,Crédito Artesanal,15.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0205-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0205-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0205-C,Crédito Artesanal,18.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0206-A,Financiamiento de Equipo,13.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0206-B,Ahorro Plazo Fijo,6.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0206-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0207-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0207-B,Remesas Familiares,13.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0207-C,Crédito Artesanal,10.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0208-A,Financiamiento de Equipo,15.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0208-B,Ahorro Plazo Fijo,14.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0208-C,Crédito Artesanal,12.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0301-A,Microcrédito Agrícola,11.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0301-B,Remesas Familiares,18.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0301-C,Crédito Artesanal,14.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0302-A,Financiamiento de Equipo,12.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0302-B,Ahorro Plazo Fijo,9.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0302-C,Crédito Artesanal,14.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0303-A,Microcrédito Agrícola,13.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0303-B,Remesas Familiares,7.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0303-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0304-A,Financiamiento de Equipo,18.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0304-B,Ahorro Plazo Fijo,15.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0304-C,Crédito Artesanal,14.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0305-A,Microcrédito Agrícola,8.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0305-B,Remesas Familiares,17.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0305-C,Crédito Artesanal,7.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0306-A,Financiamiento de Equipo,11.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0306-B,Ahorro Plazo Fijo,13.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0306-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0307-A,Microcrédito Agrícola,7.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0307-B,Remesas Familiares,16.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0307-C,Crédito Artesanal,11.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0308-A,Financiamiento de Equipo,16.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0308-B,Ahorro Plazo Fijo,7.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0308-C,Crédito Artesanal,8.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0309-A,Microcrédito Agrícola,18.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0309-B,Remesas Familiares,16.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0309-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0310-A,Financiamiento de Equipo,12.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0310-B,Ahorro Plazo Fijo,9.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0310-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0311-A,Microcrédito Agrícola,10.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0311-B,Remesas Familiares,12.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0311-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0312-A,Financiamiento de Equipo,15.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0312-B,Ahorro Plazo Fijo,8.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0312-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0313-A,Microcrédito Agrícola,14.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0313-B,Remesas Familiares,6.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0313-C,Crédito Artesanal,7.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0314-A,Financiamiento de Equipo,6.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0314-B,Ahorro Plazo Fijo,12.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0314-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0315-A,Microcrédito Agrícola,17.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0315-B,Remesas Familiares,12.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0315-C,Crédito Artesanal,12.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0316-A,Financiamiento de Equipo,16.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0316-B,Ahorro Plazo Fijo,13.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0316-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
