Número de robo y hurto reportados por la Policía Nacional Civil,,,,,,,,,,,,,
Por grupos quinquenales de edad,,,,,,,,,,,,,
Año,Total,Menor de 15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 y más,Ignorado
2011,17.233,38,668,2.290,2.723,2.686,2.088,1.660,1.315,978,661,854,1.272
2012,17.840,36,713,2.550,2.789,2.852,2.175,1.705,1.232,987,670,951,1.180
2013, 17.327, 46, 783, 2.604, 2.681, 2.619, 2.191, 1.568, 1.290, 953, 620, 806, 1.166
2014, 15.509, 59, 645, 2.311, 2.647, 2.503, 1.915, 1.491, 1.044, 808, 564, 799, 723
2015, 15.654, 40, 650, 2.450, 2.771, 2.252, 2.088, 1.489, 964, 842, 563, 838, 707
2016, 14.328, 39, 623, 2.270, 2.506, 2.144, 1.908, 1.314, 937, 758, 544, 738, 547
2017, 12.112, 41, 593, 2.011, 2.247, 1.787, 1.550, 1.120, 798, 598, 420, 568, 379
2018, 11.000, 23, 551, 1.927, 2.052, 1.629, 1.378, 1.013, 668, 509, 391, 504, 355
2019, 8.473, 27, 377, 1.442, 1.533, 1.260, 1.008, 793, 532, 392, 402, 453, 254
2020, 7.282, 11, 298, 1.272, 1.279, 1.063, 859, 670, 468, 308, 226, 322, 506
2021, 9.353, 15, 360, 1.634, 1.705, 1.450, 1.140, 854, 617, 378, 250, 378, 572
2022, 9.239, 20, 321, 1.538, 1.681, 1.431, 1.069, 920, 571, 429, 282, 381, 596
