Número de robo y hurto reportados por la Policía Nacional Civil,,,,,,,,,,,,,
Por tipo de robo,,,,,,,,,,,,,
Año,Total,Vehículos,Peatones,Arma de fuego,Motocicletas,Comercios,Residencias,Buses,Turistas,Iglesias,Banco,Unidades blindadas,Otros robos
2009,15.578,6.629,1.689,1.955,3.159,910,964,143,53,71,4,1,-
2010,15.738,6.741,1.347,1.710,3.938,763,954,122,83,73,1,-,6
2011,17.233,7.334,1.506,1.723,4.626,718,1.000,117,109,92,8,-,-
2012,17.840,6.940,1.830,1.776,4.901,757,1.237,122,168,106,1,2,-
2013,17.327,5.769,1.787,1.812,5.655,744,1.193,113,136,112,6,-,-
2014,15.509,4.478,1.505,1.504,6.131,654,1.005,57,66,107,2,-,-
2015,15.654,4.572,1.554,1.326,6.436,594,932,75,78,79,8,-,-
2016,14.328,3.888,1.466,1.339,5.975,498,969,45,88,57,3,-,-
2017,12.112,3.262,1.253,972,5.348,505,628,26,68,44,6,-,-
2018,11.000,2.836,1.215,856,5.050,452,511,17,8,49,6,-,-
2019,8.473,2.030,1.000,956,3.621,338,422,50,11,42,3,-,-
2020,7.282,1.589,724,609,3.138,670,517,12,2,18,3,-,-
2021,9.353,1.919,716,956,4.378,740,590,36,2,14,1,-,1
2022,9.239,2.119,637,770,4.462,648,556,14,3,29,1,-,-
