Número de robo y hurto reportados por la Policía Nacional Civil,,,,,,,,,,,,,,,,,,,,,,,
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2009,15.578,8.598,136,643,446,1.575,197,81,94,595,410,191,246,478,167,71,231,401,291,199,226,105,197
2010,15.738,8.424,135,568,422,1.537,211,60,103,746,376,194,289,458,193,69,387,361,426,220,223,91,245
2011,17.233,9.377,122,642,564,1.955,219,61,105,760,397,184,280,479,161,93,308,341,336,209,284,117,239
2012,17.840,9.128,158,546,501,2.240,254,91,105,817,457,148,284,602,257,111,369,451,410,274,328,87,222
2013, 17.327, 8.040, 98, 545, 514, 2.312, 355, 88, 107, 908, 559, 279, 291, 607, 246, 123, 460, 397, 514, 236, 385, 79, 184
2014,15.509,6.623,109,621,386,2.319,239,76,91,685,574,273,295,613,188,109,464,466,512,247,341,57,221
2015, 15.654, 6.359, 132, 546, 382, 2.533, 230, 77, 43, 678, 485, 326, 288, 554, 173, 115, 531, 585, 655, 297, 317, 101, 247
2016, 14.328, 6.225, 141, 488, 442, 1.875, 213, 90, 71, 749, 353, 318, 288, 478, 142, 75, 449, 399, 534, 317, 304, 166, 211
2017, 12.112, 5.762, 156, 338, 414, 1.509, 140, 62, 42, 704, 230, 223, 137, 360, 95, 48, 343, 280, 442, 267, 271, 138, 151
2018,11.000,5.275,120,314,356,1.361,114,61,28,776,245,175,175,186,51,57,214,235,525,277,238,102,115
2019,8.473,4.501,117,205,300,1.247,107,39,31,289,116,109,69,87,50,43,141,138,370,189,155,57,113
2020,7.282,3.870,74,144,212,955,64,28,10,201,113,105,98,115,69,32,152,178,422,120,137,40,143
2021, 9.353, 5.211, 143, 252, 269, 1.348, 99, 39, 27, 154, 171, 155, 124, 109, 77, 43, 153, 187, 353, 160, 109, 55, 115
2022, 9.239, 5.162, 99, 366, 362, 1.433, 123, 38, 29, 164, 199, 157, 96, 111, 82, 32, 168, 105, 95, 102, 116, 72, 128
