Número de robo y hurto reportados por la Policía Nacional Civil,,,,
Por sexo,,,,
Año,Total,Hombre,Mujer,Ignorado
2009,15.578,12.739,2.839,-
2010,15.738,12.898,2.805,35
2011,17.233,13.982,3.251,-
2012,17.840,14.496,3.344,-
2013, 17.327, 14.104, 3.223,-
2014,15.509, 12.653, 2.856,-
2015, 15.654, 12.878, 2.776,-
2016, 14.328, 11.646, 2.682,-
2017, 12.112, 9.945, 2.167,-
2018, 11.000, 9.025, 1.975,-
2019, 8.473, 6.792, 1.681,-
2020, 7.282, 5.889, 1.392,1
2021, 9.353, 7.691, 1.662,-
2022, 9.239, 7.648, 1.591,-
