núm_corre,año_denuncia,Reg_mes,día_denuncia,día_sem_denuncia,año_hecho,mes_hecho,día_hecho,dia_sem_hecho,depto_ocu_hecho,mupio_ocu_hecho,zona_ocu_hecho,sexo_per,edad_sind,g_edad_60ymás,g_edad_80ymás,g_edad_de0_80ymás,est_conyugal,delito_com,hora_denuncia,g_hora_denuncia,g_hora_denuncia_mañ.tar.noch,principales_delitos
1,2023,Marzo,29,Miercoles,2019,Julio,19,Jueves,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Falsedad material,0,00:00 a 05:59,00:00 a 11:59,Otros
2,2023,Marzo,29,Miercoles,2019,Julio,19,Jueves,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Falsedad ideológica,22,18:00 a 23:59,18:00 a 23:59,Otros
3,2023,Marzo,29,Miercoles,2022,Mayo,20,Jueves,Santa Rosa,Nueva Santa Rosa,Ignorada,Hombre,37,35-39,35-39,35 - 39,Ignorado,Usurpación agravada,22,18:00 a 23:59,18:00 a 23:59,Otros
4,2023,Marzo,26,Domingo,2023,Febrero,16,Lunes,Guatemala,Fraijanes,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,14,12:00 a 17:59,12:00 a 17:59,Otros
5,2023,Marzo,26,Domingo,2023,Marzo,25,Lunes,Guatemala,Guatemala,3,Ignorado,27,25-29,25-29,25 - 29,Ignorado,Otros,14,12:00 a 17:59,12:00 a 17:59,Otros
6,2023,Marzo,26,Domingo,2023,Marzo,24,Lunes,Guatemala,Guatemala,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,21,18:00 a 23:59,18:00 a 23:59,Otros
7,2023,Marzo,26,Domingo,2023,Marzo,24,Lunes,Guatemala,Guatemala,Ignorada,Ignorado,34,30-34,30-34,30 - 34,Ignorado,Otros,21,18:00 a 23:59,18:00 a 23:59,Otros
8,2023,Marzo,13,Lunes,2023,Febrero,13,Martes,Zacapa,Zacapa,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,13,12:00 a 17:59,12:00 a 17:59,Hurto agravado
9,2023,Marzo,13,Lunes,2023,Marzo,11,Martes,Zacapa,Zacapa,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,13,12:00 a 17:59,12:00 a 17:59,Otros
10,2023,Marzo,13,Lunes,2023,Marzo,11,Martes,Zacapa,Zacapa,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,13,12:00 a 17:59,12:00 a 17:59,Otros
11,2023,Marzo,13,Lunes,2022,Julio,7,Martes,Zacapa,Zacapa,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,13,12:00 a 17:59,12:00 a 17:59,Otros
12,2023,Marzo,15,Miercoles,2023,Marzo,14,Jueves,Zacapa,Zacapa,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,12,12:00 a 17:59,12:00 a 17:59,Amenazas
13,2023,Marzo,15,Miercoles,2023,Marzo,3,Jueves,Zacapa,Zacapa,Ignorada,Hombre,19,15-19,15-19,15 - 19,Soltero,Otros,13,12:00 a 17:59,12:00 a 17:59,Otros
