"Sentencias dictadas a los sindicados en los órganos jurisdiccionales por ley2/, tipo de sentencia y sexo, según departamento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regresar
Año 20201/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Departamento,Total,,,,,,,,,,,,Del ramo penal,,,,,,,,,,,,De la Ley contra la Narcoactividad,,,,,,,,,,,,Ley de Equipo Terminales Móviles,,,,,,,,,,,,Ley Contra la Delincuencia Organizada,,,,,,,,,,,,Ley de Armas y Municiones,,,,,,,,,,,,Ley Contra el Lavado de Dinero u Otros Activos,,,,,,,,,,,,Otros3/,,,,,,,,,,,,
,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,
,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,
Total país,16.631,13.685,2.868,78,1.972,1.786,176,10,14.659,11.899,2.692,68,3.700,2.929,742,29,525,465,57,3,3.175,2.464,685,26,899,755,143,1,35,30,5,-,864,725,138,1,275,234,41,-,62,50,12,-,213,184,29,-,3.712,2.626,1.078,8,115,90,25, -,3.597,2.536,1.053,8,859,777,81,1,211,200,11, -,648,577,70,1,474,326,140,8,25,16,8,1,449,310,132,7,6.712,6.038,643,31,999,935,58,6,5.713,5.103,585,25,
Guatemala,10.498,8.325,2.106,67,684,604,73,7,9.814,7.721,2.033,60,1.979,1.522,430,27,161,129,31,1,1.818,1.393,399,26,404,328,75,1,10,10,-,-,394,318,75,1,137,116,21,-,26,18,8,-,111,98,13,-,3.410,2.438,964,8,42,40,2, -,3.368,2.398,962,8,399,338,61, -,74,66,8, -,325,272,53, -,297,209,80,8,20,12,7,1,277,197,73,7,3.872,3.374,475,23,351,329,17,5,3.521,3.045,458,18,
El Progreso,91,83,8,-,8,8,-,-,83,75,8,-,40,35,5,-,1,1,-,-,39,34,5,-,12,10,2,-,-,-,-,-,12,10,2,-,-,-,-,-,-,-,-,-,-,-,-,-, -, -, -, -, -, -, -, -, -, -, -, -,7,7, -, -, -, -, -, -,7,7, -, -, -, -, -, -, -, -, -, -, -, -, -, -,32,31,1, -,7,7, -, -,25,24,1, -,
Sacatepéquez,294,249,45,-,69,59,10,-,225,190,35,-,107,73,34,-,25,24,1,-,82,49,33,-,44,41,3,-,3,-,3,-,41,41,-,-,7,7,-,-,7,7,-,-,-,-,-,-,2, -,2, -,2, -,2, -, -, -, -, -,18,15,3, -,9,6,3, -,9,9, -, -, -, -, -, -, -, -, -, -, -, -, -, -,116,113,3, -,23,22,1, -,93,91,2, -,
Chimaltenango,207,178,29,-,19,19,-,-,188,159,29,-,53,40,13,-,4,4,-,-,49,36,13,-,4,3,1,-,-,-,-,-,4,3,1,-,8,4,4,-,2,2,-,-,6,2,4,-,6,4,2, -, -, -, -, -,6,4,2, -,14,11,3, -,2,2, -, -,12,9,3, -, -, -, -, -, -, -, -, -, -, -, -, -,122,116,6, -,11,11, -, -,111,105,6, -,
Escuintla,365,351,13,1,39,38,1,-,326,313,12,1,86,83,3,-,7,7,-,-,79,76,3,-,25,22,3,-,2,2,-,-,23,20,3,-,33,32,1,-,4,4,-,-,29,28,1,-, -, -, -, -, -, -, -, -, -, -, -, -,67,64,2,1,7,7, -, -,60,57,2,1,1, -,1, -, -, -, -, -,1, -,1, -,153,150,3, -,19,18,1, -,134,132,2, -,
Santa Rosa,277,265,12,-,60,58,2,-,217,207,10,-,108,100,8,-,35,33,2,-,73,67,6,-,62,58,4,-,-,-,-,-,62,58,4,-,2,2,-,-,-,-,-,-,2,2,-,-,13,13, -, -,10,10, -, -,3,3, -, -,21,21, -, -,5,5, -, -,16,16, -, -, -, -, -, -, -, -, -, -, -, -, -, -,71,71, -, -,10,10, -, -,61,61, -, -,
Sololá,135,109,26,-,37,32,5,-,98,77,21,-,44,28,16,-,7,4,3,-,37,24,13,-,13,9,4,-,-,-,-,-,13,9,4,-,1,1,-,-,-,-,-,-,1,1,-,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,77,71,6, -,30,28,2, -,47,43,4, -,
Totonicapán,95,87,8,-,10,10,-,-,85,77,8,-,16,14,2,-,1,1,-,-,15,13,2,-,19,15,4,-,-,-,-,-,19,15,4,-,-,-,-,-,-,-,-,-,-,-,-,-, -, -, -, -, -, -, -, -, -, -, -, -,3,3, -, -,3,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,57,55,2, -,6,6, -, -,51,49,2, -,
