"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales por tipo de delito1/ del ramo penal y sexo, según departamento",,,,,,,,,,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,,,,,,,,,
Departamento,Ambos sexos,Hombre,Mujer,Ignorado,Tipo de delito,,,,,,,,,,,,,,,,
,,,,,De los delitos contra la vida y la integridad de la persona,,,,De los delitos contra la libertad y seguridad de las personas,,,,De los delitos contra el patrimonio,,,,De los delitos contra la administración de justicia,,,,
,,,,,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,
Total país,3.175,2.464,685,26,984,907,73,4,64,53,7,4,1.691,1.191,482,18,436,313,123,-,
Guatemala,1.818,1.393,399,26,585,540,41,4,27,22,1,4,995,681,296,18,211,150,61,-,
El Progreso,39,34,5,-,22,17,5,-,2,2,-,-,6,6,-,-,9,9,-,-,
Sacatepéquez,82,49,33,-,6,4,2,-,-,-,-,-,72,44,28,-,4,1,3,-,
Chimaltenango,49,36,13,-,10,9,1,-,3,2,1,-,35,24,11,-,1,1,-,-,
Escuintla,79,76,3,-,16,15,1,-,1,1,-,-,46,45,1,-,16,15,1,-,
Santa Rosa,73,67,6,-,36,32,4,-,8,8,-,-,17,15,2,-,12,12,-,-,
Sololá,37,24,13,-,15,11,4,-,2,1,1,-,18,10,8,-,2,2,-,-,
Totonicapán,15,13,2,-,5,5,-,-,-,-,-,-,10,8,2,-,-,-,-,-,
Quetzaltenango,211,162,49,-,23,20,3,-,1,1,-,-,171,127,44,-,16,14,2,-,
Suchitepéquez,125,103,22,-,54,52,2,-,1,1,-,-,66,46,20,-,4,4,-,-,
Retalhuelu,61,45,16,-,12,12,-,-,-,-,-,-,48,32,16,-,1,1,-,-,
San Marcos,65,49,16,-,16,14,2,-,-,-,-,-,43,30,13,-,6,5,1,-,
Huehuetenango,23,21,2,-,13,13,-,-,3,3,-,-,5,4,1,-,2,1,1,-,
Quiché,56,48,8,-,8,8,-,-,7,4,3,-,38,34,4,-,3,2,1,-,
Baja Verapaz,42,32,10,-,27,24,3,-,-,-,-,-,12,7,5,-,3,1,2,-,
Alta Verapaz,55,41,14,-,18,17,1,-,-,-,-,-,13,10,3,-,24,14,10,-,
Petén,66,40,26,-,20,19,1,-,1,1,-,-,29,9,20,-,16,11,5,-,
Izabal,124,92,32,-,17,17,-,-,3,3,-,-,24,24,-,-,80,48,32,-,
Zacapa,32,27,5,-,27,24,3,-,2,1,1,-,3,2,1,-,-,-,-,-,
Chiquimula,46,42,4,-,29,29,-,-,-,-,-,-,13,11,2,-,4,2,2,-,
Jalapa,48,41,7,-,21,21,-,-,-,-,-,-,19,14,5,-,8,6,2,-,
Jutiapa,29,29,-,-,4,4,-,-,3,3,-,-,8,8,-,-,14,14,-,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,,,,,,
               1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,,,,,,
