"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales por tipo de delito1/ del ramo penal y sexo, según departamento",,,,,,,,,,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,,,,,,,,,
Departamento,Ambos sexos,Hombre,Mujer,Ignorado,Tipo de delito,,,,,,,,,,,,,,,,
,,,,,De los delitos contra la vida y la integridad de la persona,,,,De los delitos contra la libertad y seguridad de las personas,,,,De los delitos contra el patrimonio,,,,De los delitos contra la administración de justicia,,,,
,,,,,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,
Total país,525,465,57,3,220,211,7,2,27,27,-,-,224,194,30,-,54,33,20,1,
Guatemala,161,129,31,1,62,60,2,-,-,-,-,-,70,52,18,-,29,17,11,1,
El Progreso,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sacatepéquez,25,24,1,-,14,14,-,-,6,6,-,-,4,4,-,-,1,-,1,-,
Chimaltenango,4,4,-,-,1,1,-,-,-,-,-,-,3,3,-,-,-,-,-,-,
Escuintla,7,7,-,-,3,3,-,-,-,-,-,-,4,4,-,-,-,-,-,-,
Santa Rosa,35,33,2,-,9,9,-,-,7,7,-,-,9,9,-,-,10,8,2,-,
Sololá,7,4,3,-,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totonicapán,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Quetzaltenango,32,24,8,-,9,8,1,-,-,-,-,-,23,16,7,-,-,-,-,-,
Suchitepéquez,17,16,1,-,9,8,1,-,1,1,-,-,7,7,-,-,-,-,-,-,
Retalhuelu,6,6,-,-,2,2,-,-,-,-,-,-,4,4,-,-,-,-,-,-,
San Marcos,3,3,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Huehuetenango,14,12,1,1,1,-,-,1,3,3,-,-,7,7,-,-,3,2,1,-,
Quiché,11,11,-,-,6,6,-,-,4,4,-,-,1,1,-,-,-,-,-,-,
Baja Verapaz,43,43,-,-,31,31,-,-,1,1,-,-,11,11,-,-,-,-,-,-,
Alta Verapaz,10,8,2,-,3,3,-,-,3,3,-,-,2,2,-,-,2,-,2,-,
Petén,73,69,4,-,21,21,-,-,-,-,-,-,48,45,3,-,4,3,1,-,
Izabal,35,34,1,-,11,11,-,-,1,1,-,-,21,20,1,-,2,2,-,-,
Zacapa,12,11,-,1,10,9,-,1,1,1,-,-,1,1,-,-,-,-,-,-,
Chiquimula,14,14,-,-,11,11,-,-,-,-,-,-,2,2,-,-,1,1,-,-,
Jalapa,9,9,-,-,4,4,-,-,-,-,-,-,5,5,-,-,-,-,-,-,
Jutiapa,5,2,3,-,1,1,-,-,-,-,-,-,2,1,1,-,2,-,2,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,,,,,,
               1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,,,,,,
