"Sentencias absolutorias dictadas a los sindicados de delitos varios en los órganos jurisdiccionales por tipo de delito1/ contra la vida y la integridad y sexo, según departamento2/",,,,,,,,,,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,,,,,,,,,
Departamento,Ambos sexos,Hombre,Mujer,Ignorado,Tipo de delito en contra de la vida y la integridad,,,,,,,,,,,,,,,,
,,,,,Homicidio,,,,Parricidio,,,,Asesinato,,,,Lesión,,,,
,,,,,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,
Total país,220,211,7,2,86,85,1,-,3,-,3,-,83,81,1,1,48,45,2,1,
Guatemala,62,60,2,-,16,15,1,-,-,-,-,-,31,31,-,-,15,14,1,-,
El Progreso,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,
Sacatepéquez,14,14,-,-,4,4,-,-,-,-,-,-,6,6,-,-,4,4,-,-,
Chimaltenango,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Escuintla,3,3,-,-,2,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,
Santa Rosa,9,9,-,-,6,6,-,-,-,-,-,-,3,3,-,-,-,-,-,-,
Sololá,7,4,3,-,-,-,-,-,2,-,2,-,1,-,1,-,4,4,-,-,
Totonicapán,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,
Quetzaltenango,9,8,1,-,5,5,-,-,1,-,1,-,1,1,-,-,2,2,-,-,
Suchitepéquez,9,8,1,-,2,2,-,-,-,-,-,-,5,5,-,-,2,1,1,-,
Retalhuelu,2,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
San Marcos,3,3,-,-,1,1,-,-,-,-,-,-,2,2,-,-,-,-,-,-,
Huehuetenango,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,
Quiché,6,6,-,-,5,5,-,-,-,-,-,-,-,-,-,-,1,1,-,-,
Baja Verapaz,31,31,-,-,10,10,-,-,-,-,-,-,12,12,-,-,9,9,-,-,
Alta Verapaz,3,3,-,-,2,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,
Petén,21,21,-,-,8,8,-,-,-,-,-,-,11,11,-,-,2,2,-,-,
Izabal,11,11,-,-,6,6,-,-,-,-,-,-,3,3,-,-,2,2,-,-,
Zacapa,10,9,-,1,5,5,-,-,-,-,-,-,3,3,-,-,2,1,-,1,
Chiquimula,11,11,-,-,7,7,-,-,-,-,-,-,3,3,-,-,1,1,-,-,
Jalapa,4,4,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Jutiapa,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,,,,,,
Nota:   1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,,,,,,
               2/El departamento de Jutiapa no aparece debido a que la fuente no reportó sentencias absolutorias,,,,,,,,,,,,,,,,,,,,,
