"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales por situación de edad1/ y sexo, según tipo de delito2/ del ramo penal",,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,
Tipo de delito,Total,,,,Menor de edad,,,,Mayor de edad,,,,
,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,Ambos sexos,Hombre,Mujer,Ignorado,
Total país,525,465,57,3,4,4,-,-,521,461,57,3,
De los delitos contra la vida e integridad de la persona,220,211,7,2,4,4,-,-,216,207,7,2,
Homicidios Simples,86,85,1,-,1,1,-,-,85,84,1,-,
Simple,69,68,1,-,1,1,-,-,68,67,1,-,
Culposo,14,14,-,-,-,-,-,-,14,14,-,-,
En estado de emoción violenta,3,3,-,-,-,-,-,-,3,3,-,-,
Homicidios Calificados,86,81,4,1,3,3,-,-,83,78,4,1,
Asesinato,83,81,1,1,3,3,-,-,80,78,1,1,
Parricidio,3,-,3,-,-,-,-,-,3,-,3,-,
Lesiones,48,45,2,1,-,-,-,-,48,45,2,1,
Culposas,13,13,-,-,-,-,-,-,13,13,-,-,
Leves,7,6,1,-,-,-,-,-,7,6,1,-,
Graves,28,26,1,1,-,-,-,-,28,26,1,1,
Delito contra la libertad y seguridad de las personas,27,27,-,-,-,-,-,-,27,27,-,-,
De los delitos contra la libertad individual ,16,16,-,-,-,-,-,-,16,16,-,-,
Plagio o secuestro,16,16,-,-,-,-,-,-,16,16,-,-,
De las coacciones y amenazas,11,11,-,-,-,-,-,-,11,11,-,-,
Amenazas,11,11,-,-,-,-,-,-,11,11,-,-,
Delito contra el patrimonio,224,194,30,-,-,-,-,-,224,194,30,-,
Hurto,27,27,-,-,-,-,-,-,27,27,-,-,
Agravado,15,15,-,-,-,-,-,-,15,15,-,-,
Simple,12,12,-,-,-,-,-,-,12,12,-,-,
Robo,125,119,6,-,-,-,-,-,125,119,6,-,
Agravado,104,100,4,-,-,-,-,-,104,100,4,-,
Simple,21,19,2,-,-,-,-,-,21,19,2,-,
De la extorsión y del chantaje,56,37,19,-,-,-,-,-,56,37,19,-,
Extorsión,56,37,19,-,-,-,-,-,56,37,19,-,
De la estafa,16,11,5,-,-,-,-,-,16,11,5,-,
Casos especiales de estafa,16,11,5,-,-,-,-,-,16,11,5,-,
De los delitos contra la administración de justicia,54,33,20,1,-,-,-,-,54,33,20,1,
Del encubrimiento,54,33,20,1,-,-,-,-,54,33,20,1,
Encubrimiento propio,54,33,20,1,-,-,-,-,54,33,20,1,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,
"Nota:   1/ Los menores de edad, comprenden todas las edades antes de cumplir 18 años y los mayores de edad, comprenden a las edades de 18 años en adelante",,,,,,,,,,,,,
               2/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,
