"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley contra la Narcoactividad por tipo de delito1/ y sexo, según departamento2/",,,,,,,,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,,,,,,,
Departamento,Ambos sexos,Hombre,Mujer,Posesión para el consumo,,,"Comercio, tráfico y almacenamiento ilícito",,,Promoción o estimulo a la drogadicción,,,Promoción y fomento,,,Otros,,,
,,,,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,
Total país,35,30,5,11,9,2,8,5,3,6,6,-,4,4,-,6,6,-,
Guatemala,10,10,-,6,6,-,1,1,-,1,1,-,-,-,-,2,2,-,
Sacatepéquez,3,-,3,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,
Escuintla,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,
Quetzaltenango,4,4,-,-,-,-,-,-,-,1,1,-,3,3,-,-,-,-,
Retalhuleu,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,
Huehuetenango,2,2,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,
Quiché,2,2,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,
Alta Verapaz,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,
Petén,8,6,2,3,1,2,3,3,-,1,1,-,1,1,-,-,-,-,
Izabal,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,,,,
Nota:   1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,,,,
               2/Los departamentos que no aparecen se debe a que la fuente no reportó sentencias absolutorias,,,,,,,,,,,,,,,,,,,
