"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Equipo Terminales Móviles por tipo de delito1/ y sexo, según departamento2/",,,,,,,,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,,,,,,,
Departamento,Ambos sexos,Hombre,Mujer,Robo de equipo terminal móvil,,,Uso de equipos terminales móviles en centros de privación de libertad,,,Adquisición de equipos terminales móviles de dudosa procedencia,,,Ingreso de equipos terminales móviles a centros de privación de libertad,,,Otros,,,
,,,,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,
Total país,62,50,12,45,42,3,12,5,7,2,2,-,2,1,1,1,-,1,
Guatemala,26,18,8,18,16,2,5,-,5,2,2,-,-,-,-,1,-,1,
Sacatepéquez,7,7,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chimaltenango,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,
Escuintla,4,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,
Quetzaltenango,14,11,3,5,5,-,7,5,2,-,-,-,2,1,1,-,-,-,
Suchitepéquez,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,
Huehuetenango,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
Alta Verapaz,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
Izabal,3,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chiquimula,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,,,,
Nota:   1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,,,,
               2/Los departamentos que no aparecen se debe a que la fuente no reportó sentencias absolutorias,,,,,,,,,,,,,,,,,,,
