"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley Contra la Delincuencia Organizada por tipo de delito1/ y sexo, según departamento2/",,,,,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,,,,
Departamento,Ambos sexos,Hombre,Mujer,Asociación ilícita,,,Exacciones intimidatorias,,,Conspiración,,,Obstrucción extorsiva de tránsito,,,
,,,,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,
Total país,115,90,25,76,64,12,18,8,10,14,13,1,7,5,2,
Guatemala,42,40,2,28,27,1,4,4,-,6,6,-,4,3,1,
Sacatepéquez,2,-,2,1,-,1,-,-,-,1,-,1,-,-,-,
Santa Rosa,10,10,-,7,7,-,-,-,-,3,3,-,-,-,-,
Suchitepéquez,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-,
Alta Verapaz,4,4,-,4,4,-,-,-,-,-,-,-,-,-,-,
Petén,19,19,-,16,16,-,-,-,-,3,3,-,-,-,-,
Izabal,5,4,1,1,1,-,-,-,-,1,1,-,3,2,1,
Jutiapa,28,8,20,14,4,10,14,4,10,-,-,-,-,-,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,
Nota:   1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,
               2/Los departamentos que no aparecen se debe a que la fuente no reportó sentencias absolutorias,,,,,,,,,,,,,,,,
