"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Armas y Municiones por tipo de delito1/ y sexo, según departamento2/",,,,,,,,,,,,,,,,,,,Regresar
Año 2020,,,,,,,,,,,,,,,,,,,
Departamento,Ambos sexos,Hombre,Mujer,Portación ilegal de armas de fuego de uso civil y/o deportivas,,,Portación ilegal de armas hechizas o de fabricación artesanal,,,Tenencia ilegal de municiones,,,"Tenencia ilegal de armas de fuego bélicas o de uso exclusivo del Ejercito de Guatemala o de las fuerzas de seguridad y orden público del Estado, explosivos, armas químicas, biológicas, atómicas, trampas bélicas y armas experimentales",,,Otros,,,
,,,,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,Ambos sexos,Hombre,Mujer,
Total país,211,200,11,107,105,2,16,16,-,16,14,2,12,11,1,60,54,6,
Guatemala,74,66,8,32,30,2,6,6,-,5,3,2,1,-,1,30,27,3,
Sacatepéquez,9,6,3,3,3,-,-,-,-,-,-,-,-,-,-,6,3,3,
Chimaltenango,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,
Escuintla,7,7,-,5,5,-,-,-,-,-,-,-,-,-,-,2,2,-,
Santa Rosa,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,
Totonicapán,3,3,-,1,1,-,-,-,-,-,-,-,-,-,-,2,2,-,
Quetzaltenango,6,6,-,2,2,-,3,3,-,-,-,-,-,-,-,1,1,-,
Suchitepéquez,10,10,-,4,4,-,2,2,-,-,-,-,1,1,-,3,3,-,
Retalhuleu,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,
Huehuetenango,24,24,-,14,14,-,1,1,-,-,-,-,2,2,-,7,7,-,
Quiché,10,10,-,5,5,-,2,2,-,-,-,-,-,-,-,3,3,-,
Baja Verapaz,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,
Alta Verapaz,3,3,-,2,2,-,1,1,-,-,-,-,-,-,-,-,-,-,
Petén,28,28,-,5,5,-,-,-,-,11,11,-,8,8,-,4,4,-,
Izabal,13,13,-,12,12,-,-,-,-,-,-,-,-,-,-,1,1,-,
Zacapa,5,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,
Chiquimula,5,5,-,4,4,-,-,-,-,-,-,-,-,-,-,1,1,-,
Jalapa,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,
Jutiapa,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,,,,
Nota:   1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,,,,
               2/Los departamentos que no aparecen se debe a que la fuente no reportó sentencias absolutorias,,,,,,,,,,,,,,,,,,,
