"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley Contra el Lavado de Dinero u Otros Activos por tipo de delito1/ y sexo, según departamento2/",,,,,Regresar
Año 2020,,,,,
Departamento,Lavado de dinero u otros activos,,,,
,Ambos sexos,Hombre,Mujer,Ignorado,
Total país,25,16,8,1,
Guatemala,20,12,7,1,
Petén,2,2,-,-,
Izabal,2,2,-,-,
Jutiapa,1,-,1,-,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,
Nota:   1/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,
               2/Los departamentos que no aparecen se debe a que la fuente no reportó sentencias absolutorias,,,,,
