ÍNDICE HECHOS DELICTIVOS,
Organismo Judicial,
Sentenciados,
Cuadro,
,
1,"Sentencias dictadas a los sindicados en los órganos jurisdiccionales por ley, tipo de sentencia y sexo, según departamento.   Año 2020"
2,"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales por tipo de delito del ramo penal y sexo, según departamento.   Año 2020"
3,"Sentencias absolutorias dictadas a los sindicados de delitos varios en los órganos jurisdiccionales por tipo de delito contra la vida y la integridad y sexo, según departamento.   Año 2020"
4,"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales por situación de edad y sexo, según tipo de delito del ramo penal.   Año 2020"
5,"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley contra la Narcoactividad por tipo de delito y sexo, según departamento.   Año 2020"
6,"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Equipo Terminales Móviles por tipo de delito y sexo, según departamento.   Año 2020"
7,"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley Contra la Delincuencia Organizada por tipo de delito y sexo, según departamento.   Año 2020"
8,"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Armas y Municiones por tipo de delito y sexo, según departamento.   Año 2020"
9,"Sentencias absolutorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley Contra el Lavado de Dinero u Otros Activos por tipo de delito y sexo, según departamento.   Año 2020"
10,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales por tipo de delito del ramo penal y sexo, según departamento.   Año 2020"
11,"Sentencias condenatorias dictadas a los sindicados de delitos varios en los órganos jurisdiccionales por tipo de delito contra la vida y la integridad y sexo, según departamento.   Año 2020"
12,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales por situación de edad y sexo, según tipo de delito del ramo penal.   Año 2020"
13,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley contra la Narcoactividad por tipo de delito y sexo, según departamento.   Año 2020"
14,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley contra la Narcoactividad por situación de edad y sexo, según tipo de delito.   Año 2020"
15,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Equipo Terminales Móviles por tipo de delito y sexo, según departamento.   Año 2020"
16,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Equipo Terminales Móviles por situación de edad y sexo, según tipo de delito.   Año 2020"
17,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley Contra la Delincuencia Organizada por tipo de delito y sexo, según departamento.   Año 2020"
18,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley Contra la Delincuencia Organizada por situación de edad y sexo, según tipo de delito.   Año 2020"
19,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Armas y Municiones por tipo de delito y sexo, según departamento.   Año 2020"
20,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley de Armas y Municiones por situación de edad y sexo, según tipo de delito.   Año 2020"
21,"Sentencias condenatorias dictadas a los sindicados en los órganos jurisdiccionales de la Ley Contra el Lavado de Dinero u Otros Activos por tipo de delito y sexo, según departamento.   Año 2020"
22,"Sentencias condenatorias dictadas a los sindicados mayores de edad en los órganos jurisdiccionales de la Ley Contra el Lavado de Dinero u Otros Activos por sexo, según tipo de delito.   Año 2020"
