núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,área_geo_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
1,2023,Enero,1,Domingo,7,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,9,Hombre,35,35-39,35-39,35 - 39,Orden de captura,Otras causas
2,2023,Enero,1,Domingo,3,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,1,Hombre,21,20-24,20-24,20 - 24,Otras causas,Otras causas
3,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,18,Hombre,52,50-54,50-54,50 - 54,Otras causas,Otras causas
4,2023,Enero,1,Domingo,15,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Palencia,Ignorada,Hombre,38,35-39,35-39,35 - 39,Otras causas,Otras causas
5,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Chinautla,Ignorada,Hombre,24,20-24,20-24,20 - 24,Riña,Otras causas
6,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Chinautla,Ignorada,Hombre,45,45-49,45-49,45 - 49,Riña,Otras causas
7,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Rural,Guatemala,Chinautla,Ignorada,Mujer,18,15-19,15-19,15 - 19,Otras causas,Otras causas
8,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,18,Hombre,35,35-39,35-39,35 - 39,Ebriedad y escándalo,Otras causas
9,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,San Pedro Ayampuc,Ignorada,Hombre,19,15-19,15-19,15 - 19,Otras causas,Otras causas
10,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Palencia,Ignorada,Hombre,37,35-39,35-39,35 - 39,Otras causas,Otras causas
11,2023,Enero,1,Domingo,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,17,Hombre,24,20-24,20-24,20 - 24,Daños,Otras causas
12,2023,Enero,1,Domingo,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,15,Hombre,34,30-34,30-34,30 - 34,Disparos,Otras causas
13,2023,Enero,1,Domingo,12,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,16,Hombre,34,30-34,30-34,30 - 34,Orden de captura,Otras causas
14,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Santa Catarina Pinula,Ignorada,Hombre,32,30-34,30-34,30 - 34,Otras causas,Otras causas
15,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,5,Hombre,66,60 y más,65-69,65 - 69,Otras causas,Otras causas
16,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,San José Pinula,Ignorada,Hombre,25,25-29,25-29,25 - 29,Otras causas,Otras causas
17,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,11,Hombre,26,25-29,25-29,25 - 29,Orden de captura,Otras causas
18,2023,Enero,1,Domingo,5,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,59,55-59,55-59,55 - 59,Portación ilegal arma de fuego,Otras causas
19,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,12,Hombre,32,30-34,30-34,30 - 34,Otras causas,Otras causas
20,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,7,Hombre,26,25-29,25-29,25 - 29,Otras causas,Otras causas
21,2023,Enero,1,Domingo,22,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Guatemala,12,Hombre,42,40-44,40-44,40 - 44,Otras causas,Otras causas
22,2023,Enero,1,Domingo,3,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,25,25-29,25-29,25 - 29,Orden de captura,Otras causas
23,2023,Enero,1,Domingo,7,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,30,30-34,30-34,30 - 34,Robo a comercios,Contra el patrimonio
24,2023,Enero,1,Domingo,11,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,37,35-39,35-39,35 - 39,Otras causas,Otras causas
25,2023,Enero,1,Domingo,15,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Petapa,Ignorada,Hombre,33,30-34,30-34,30 - 34,Orden de captura,Otras causas
26,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Villa Canales,Ignorada,Hombre,59,55-59,55-59,55 - 59,Otras causas,Otras causas
27,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Petapa,Ignorada,Hombre,29,25-29,25-29,25 - 29,Disparos,Otras causas
