núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,área_geo_ocu,depto_ocu,mupio_ocu,sexo_per,zona_ocu,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
1,2023,Enero,1,Domingo,10,06:00 a 11:59,00:00 a 11:59,Rural,Guatemala,San Pedro Ayampuc,Hombre,Ignorada,61,60 y más,60-64,60 - 64,Hurto de armas de fuego,Contra el patrimonio
2,2023,Enero,1,Domingo,9,06:00 a 11:59,00:00 a 11:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,45,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
3,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,Jutiapa,Jutiapa,Hombre,Ignorada,45,45-49,45-49,45 - 49,Robo de armas de fuego,Contra el patrimonio
4,2023,Enero,2,Lunes,17,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Mixco,Hombre,Ignorada,49,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
5,2023,Enero,2,Lunes,12,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,Palín,Hombre,Ignorada,45,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
6,2023,Enero,2,Lunes,10,06:00 a 11:59,00:00 a 11:59,Rural,San Marcos,El Tumbador,Hombre,Ignorada,28,25-29,25-29,25 - 29,Hurto de armas de fuego,Contra el patrimonio
7,2023,Enero,2,Lunes,21,18:00 a 23:59,18:00 a 23:59,Rural,Petén,Flores,Hombre,Ignorada,23,20-24,20-24,20 - 24,Hurto de armas de fuego,Contra el patrimonio
8,2023,Enero,3,Martes,3,00:00 a 05:59,00:00 a 11:59,Urbano,Guatemala,Guatemala,Hombre,18,58,55-59,55-59,55 - 59,Robo de armas de fuego,Contra el patrimonio
9,2023,Enero,3,Martes,16,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Guatemala,Hombre,18,48,45-49,45-49,45 - 49,Hurto de armas de fuego,Contra el patrimonio
10,2023,Enero,3,Martes,10,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,Escuintla,Hombre,Ignorada,69,60 y más,65-69,65 - 69,Hurto de armas de fuego,Contra el patrimonio
