municipio_nombre,tipo_vehiculo,distancia_cabecera_km,tiempo_cabecera_minutos,distancia_capital_km,tiempo_capital_minutos
Lago De Amatitlan,LIVIANO,64.84,153,227.75,593
Lago De Amatitlan,PESADO,45.42,139,175.53,960
Lago De Amatitlan,AUTOBUS,46.8,87,239.63,1079
Guatemala,LIVIANO,93.15,184,238.96,539
Guatemala,PESADO,61.84,205,244.83,923
Guatemala,AUTOBUS,71.58,132,139.51,372
Santa Catarina Pinula,LIVIANO,40.25,92,255.42,765
Santa Catarina Pinula,PESADO,2.72,5,201.26,720
Santa Catarina Pinula,AUTOBUS,28.99,91,227.51,1108
San José Pinula,LIVIANO,6.55,15,136.13,353
San José Pinula,PESADO,5.4,9,280.66,1281
San José Pinula,AUTOBUS,36.57,53,247.53,912
San José del Golfo,LIVIANO,11.07,18,146.17,398
San José del Golfo,PESADO,51.16,102,272.1,1004
San José del Golfo,AUTOBUS,58.16,123,131.22,494
Palencia,LIVIANO,28.18,64,177.15,373
Palencia,PESADO,58.29,175,186.07,561
Palencia,AUTOBUS,44.82,93,245.19,988
Chinautla,LIVIANO,74.47,121,173.72,553
Chinautla,PESADO,11.87,31,279.08,1211
Chinautla,AUTOBUS,87.05,187,134.48,445
San Pedro Ayampuc,LIVIANO,72.55,99,194.77,505
San Pedro Ayampuc,PESADO,35.29,121,298.31,1617
San Pedro Ayampuc,AUTOBUS,76.35,133,115.63,319
Mixco,LIVIANO,48.59,91,127.92,312
Mixco,PESADO,8.74,27,229.46,681
Mixco,AUTOBUS,34.04,100,303.03,788
San Pedro Sacatepéquez,LIVIANO,77.58,155,135.3,284
San Pedro Sacatepéquez,PESADO,57.68,142,131.96,576
San Pedro Sacatepéquez,AUTOBUS,8.25,18,180.03,863
San Juan Sacatepéquez,LIVIANO,45.42,98,118.5,362
San Juan Sacatepéquez,PESADO,7.96,16,133.56,540
San Juan Sacatepéquez,AUTOBUS,61.3,110,181.3,847
San Raimundo,LIVIANO,13.18,32,212.61,641
San Raimundo,PESADO,29.02,64,226.4,1099
San Raimundo,AUTOBUS,19.99,57,138.36,366
Chuarrancho,LIVIANO,36.36,47,248.22,640
Chuarrancho,PESADO,33.3,67,197.72,620
Chuarrancho,AUTOBUS,22.1,63,201.87,582
Fraijanes,LIVIANO,74.22,129,110.22,317
Fraijanes,PESADO,68.74,118,180.18,673
Fraijanes,AUTOBUS,87.65,260,152.64,554
Amatitlán,LIVIANO,33.01,62,135.69,287
Amatitlán,PESADO,58.91,145,194.11,924
Amatitlán,AUTOBUS,68.29,165,190.41,555
Villa Nueva,LIVIANO,41.17,49,123.3,324
Villa Nueva,PESADO,21.46,73,281.04,1292
Villa Nueva,AUTOBUS,41.33,74,110.39,518
Villa Canales,LIVIANO,69.81,102,213.26,513
Villa Canales,PESADO,50.11,166,227.67,1068
Villa Canales,AUTOBUS,25.52,62,264.71,690
Petapa,LIVIANO,79.57,141,179.81,353
Petapa,PESADO,8.09,25,297.92,1342
Petapa,AUTOBUS,77.64,205,255.41,660
Guastatoya,LIVIANO,29.71,49,115.41,367
Guastatoya,PESADO,93.95,156,237.07,884
Guastatoya,AUTOBUS,64.94,131,286.52,1289
Morazán,LIVIANO,82.47,110,133.12,368
Morazán,PESADO,48.17,97,255.66,1350
Morazán,AUTOBUS,32.7,46,234.54,1037
San Agustín Acasaguastlán,LIVIANO,64.45,152,256.5,597
San Agustín Acasaguastlán,PESADO,21.25,60,130.17,694
San Agustín Acasaguastlán,AUTOBUS,17.71,52,237.98,729
San Cristóbal Acasaguastlán,LIVIANO,46.25,110,162.68,329
San Cristóbal Acasaguastlán,PESADO,54.48,144,180.88,542
San Cristóbal Acasaguastlán,AUTOBUS,42.39,104,201.18,972
El Jícaro,LIVIANO,92.65,112,297.69,751
El Jícaro,PESADO,80.17,178,236.33,894
El Jícaro,AUTOBUS,55.67,161,292.06,1327
Sanarate,LIVIANO,80.84,174,208.14,653
Sanarate,PESADO,69.86,259,136.32,505
Sanarate,AUTOBUS,76.4,117,283.61,956
Sansare,LIVIANO,78.34,145,114.85,364
Sansare,PESADO,29.92,82,289.12,841
Sansare,AUTOBUS,87.4,135,126.54,425
San Antonio La Paz,LIVIANO,28.57,44,129.42,418
San Antonio La Paz,PESADO,55.7,126,160.95,686
San Antonio La Paz,AUTOBUS,38.21,80,171.53,707
Antigua Guatemala,LIVIANO,53.15,88,207.7,609
Antigua Guatemala,PESADO,28.3,75,136.17,724
Antigua Guatemala,AUTOBUS,9.37,28,276.74,1145
Jocotenango,LIVIANO,93.65,170,257.52,763
Jocotenango,PESADO,31.54,60,147.59,550
Jocotenango,AUTOBUS,15.61,49,201.68,602
Pastores,LIVIANO,25.66,45,182.43,472
Pastores,PESADO,25.87,82,158.09,638
Pastores,AUTOBUS,19.37,37,280.31,1324
Sumpango,LIVIANO,22.91,47,222.54,674
Sumpango,PESADO,46.46,87,273.42,1014
Sumpango,AUTOBUS,42.54,83,121.72,415
Santo Domingo Xenacoj,LIVIANO,91.89,157,165.5,437
Santo Domingo Xenacoj,PESADO,11.37,36,149.38,780
Santo Domingo Xenacoj,AUTOBUS,16.0,29,195.97,914
Santiago Sacatepéquez,LIVIANO,94.65,104,113.71,287
Santiago Sacatepéquez,PESADO,28.54,55,157.8,531
Santiago Sacatepéquez,AUTOBUS,61.14,91,126.35,378
San Bartolomé Milpas Altas,LIVIANO,28.3,63,114.74,385
San Bartolomé Milpas Altas,PESADO,86.41,192,164.52,683
San Bartolomé Milpas Altas,AUTOBUS,82.14,196,226.62,746
San Lucas Sacatepéquez,LIVIANO,92.97,112,291.19,723
San Lucas Sacatepéquez,PESADO,91.51,190,219.77,1208
San Lucas Sacatepéquez,AUTOBUS,16.58,53,175.16,464
Santa Lucía Milpas Altas,LIVIANO,12.68,18,130.35,400
Santa Lucía Milpas Altas,PESADO,25.42,90,147.69,457
Santa Lucía Milpas Altas,AUTOBUS,80.13,201,160.21,648
Magdalena Milpas Altas,LIVIANO,4.53,5,250.55,799
Magdalena Milpas Altas,PESADO,90.27,160,214.54,920
Magdalena Milpas Altas,AUTOBUS,39.06,114,255.19,753
Santa María de Jesús,LIVIANO,88.81,196,287.59,700
Santa María de Jesús,PESADO,78.34,216,192.76,851
Santa María de Jesús,AUTOBUS,19.44,59,199.67,505
Ciudad Vieja,LIVIANO,82.7,155,136.35,314
Ciudad Vieja,PESADO,50.71,159,237.42,1257
Ciudad Vieja,AUTOBUS,83.6,165,230.03,979
San Miguel Dueñas,LIVIANO,60.33,127,191.16,535
San Miguel Dueñas,PESADO,84.75,313,242.85,1022
San Miguel Dueñas,AUTOBUS,28.07,40,176.42,681
Alotenango,LIVIANO,18.94,28,306.5,957
Alotenango,PESADO,49.41,108,153.39,750
Alotenango,AUTOBUS,45.71,119,111.22,401
San Antonio Aguas Calientes,LIVIANO,74.44,85,191.39,419
San Antonio Aguas Calientes,PESADO,74.48,163,294.82,1324
San Antonio Aguas Calientes,AUTOBUS,43.07,111,116.6,361
Santa Catarina Barahona,LIVIANO,53.14,58,172.1,392
Santa Catarina Barahona,PESADO,13.76,39,207.72,969
Santa Catarina Barahona,AUTOBUS,69.39,192,262.28,1104
Chimaltenango,LIVIANO,67.43,119,210.35,479
Chimaltenango,PESADO,65.24,129,240.73,913
Chimaltenango,AUTOBUS,31.84,92,299.94,887
San José Poaquil,LIVIANO,41.96,75,216.96,707
