destino_nombre,parada_cercana,tipo_transporte_codigo,distancia_parada_km,costo_traslado_local_q,tiempo_traslado_minutos
Antigua Guatemala,Estación Central de Tuc-tuc cerca de Antigua Guatemala - Ref 1,TUC_TUC,11.22,17.76,44
Parque Nacional Tikal,Estación Central de Autobús extraurbano cerca de Parque Nacional Tikal - Ref 2,EXTRAURBANO,11.38,35.01,30
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 3,LANCHA,5.28,49.35,24
Sitio arqueológico El Mirador,Estación Central de Microbús / Fletero cerca de Sitio arqueológico El Mirador - Ref 4,FLETERO,14.07,36.53,44
Uaxactún,Estación Central de Shuttle turístico cerca de Uaxactún - Ref 5,SHUTTLE,5.75,21.1,18
Lago de Atitlán,Estación Central de Taxi local cerca de Lago de Atitlán - Ref 6,TAXI,12.27,26.44,60
Panajachel,Estación Central de Tuc-tuc cerca de Panajachel - Ref 7,TUC_TUC,11.63,13.65,57
San Juan La Laguna,Estación Central de Autobús extraurbano cerca de San Juan La Laguna - Ref 8,EXTRAURBANO,12.64,9.07,43
Chichicastenango,Estación Central de Lancha colectiva cerca de Chichicastenango - Ref 9,LANCHA,4.47,24.19,15
Iximché,Estación Central de Microbús / Fletero cerca de Iximché - Ref 10,FLETERO,10.7,42.76,31
Parque Arqueológico Quiriguá,Estación Central de Shuttle turístico cerca de Parque Arqueológico Quiriguá - Ref 11,SHUTTLE,12.95,16.54,38
Río Dulce,Estación Central de Taxi local cerca de Río Dulce - Ref 12,TAXI,1.89,12.98,7
Castillo de San Felipe de Lara,Estación Central de Tuc-tuc cerca de Castillo de San Felipe de Lara - Ref 13,TUC_TUC,2.0,25.96,5
Livingston,Estación Central de Autobús extraurbano cerca de Livingston - Ref 14,EXTRAURBANO,1.58,22.48,6
Semuc Champey,Estación Central de Lancha colectiva cerca de Semuc Champey - Ref 15,LANCHA,4.33,48.5,13
Cuevas de Candelaria,Estación Central de Microbús / Fletero cerca de Cuevas de Candelaria - Ref 16,FLETERO,2.25,26.77,7
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Shuttle turístico cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 17,SHUTTLE,9.7,24.3,34
Cobán,Estación Central de Taxi local cerca de Cobán - Ref 18,TAXI,9.6,17.8,41
Esquipulas,Estación Central de Tuc-tuc cerca de Esquipulas - Ref 19,TUC_TUC,8.92,25.62,43
Basílica del Cristo Negro de Esquipulas,Estación Central de Autobús extraurbano cerca de Basílica del Cristo Negro de Esquipulas - Ref 20,EXTRAURBANO,10.77,27.22,38
