codigo,tramo_codigo,tipo_incidencia,descripcion,fecha_reporte,activo
INC_0000,TRM_1_32_0000,Derrumbe,Reporte de Derrumbe activo en el tramo Tramo RN-7 Cobán-Quiché (Lago De Amatitlan - Santiago Sacatepéquez) - Ref 1. Tomar precauciones o vías alternas.,2026-07-06 20:30:00,true
INC_0001,TRM_2_33_0001,Bloqueo,Reporte de Bloqueo de carreteras por manifestación en el tramo Tramo RN-7 Cobán-Quiché (Guatemala - San Bartolomé Milpas Altas) - Ref 2. Tomar precauciones o vías alternas.,2026-07-06 05:30:00,false
INC_0002,TRM_3_34_0002,Trabajos,Reporte de Trabajos de bacheo en el tramo Tramo CA-1 Occidente (Santa Catarina Pinula - San Lucas Sacatepéquez) - Ref 3. Tomar precauciones o vías alternas.,2026-07-06 22:30:00,false
INC_0003,TRM_4_35_0003,Accidente,Reporte de Accidente vial obstruyendo carril en el tramo Tramo RN-15 Sacapulas (San José Pinula - Santa Lucía Milpas Altas) - Ref 4. Tomar precauciones o vías alternas.,2026-07-06 21:30:00,true
INC_0004,TRM_5_36_0004,Fuerte,Reporte de Fuerte neblina y lluvias en el tramo Tramo RN-7 Cobán-Quiché (San José del Golfo - Magdalena Milpas Altas) - Ref 5. Tomar precauciones o vías alternas.,2026-07-06 11:30:00,false
INC_0005,TRM_6_37_0005,Inundación,Reporte de Inundación por desborde de río en el tramo Tramo CA-1 Occidente (Palencia - Santa María de Jesús) - Ref 6. Tomar precauciones o vías alternas.,2026-07-06 11:30:00,false
INC_0006,TRM_7_38_0006,Derrumbe,Reporte de Derrumbe activo en el tramo Tramo RN-11 Panajachel (Chinautla - Ciudad Vieja) - Ref 7. Tomar precauciones o vías alternas.,2026-07-06 22:30:00,true
INC_0007,TRM_8_39_0007,Bloqueo,Reporte de Bloqueo de carreteras por manifestación en el tramo Tramo RN-9 Salcajá (San Pedro Ayampuc - San Miguel Dueñas) - Ref 8. Tomar precauciones o vías alternas.,2026-07-06 12:30:00,false
INC_0008,TRM_9_40_0008,Trabajos,Reporte de Trabajos de bacheo en el tramo Tramo RN-15 Sacapulas (Mixco - Alotenango) - Ref 9. Tomar precauciones o vías alternas.,2026-07-06 18:30:00,false
INC_0009,TRM_10_41_0009,Accidente,Reporte de Accidente vial obstruyendo carril en el tramo Tramo RN-11 Panajachel (San Pedro Sacatepéquez - San Antonio Aguas Calientes) - Ref 10. Tomar precauciones o vías alternas.,2026-07-06 08:30:00,false
INC_0010,TRM_11_42_0010,Fuerte,Reporte de Fuerte neblina y lluvias en el tramo Tramo RN-11 Panajachel (San Juan Sacatepéquez - Santa Catarina Barahona) - Ref 11. Tomar precauciones o vías alternas.,2026-07-06 07:30:00,true
INC_0011,TRM_12_43_0011,Inundación,Reporte de Inundación por desborde de río en el tramo Tramo RN-9 Salcajá (San Raimundo - Chimaltenango) - Ref 12. Tomar precauciones o vías alternas.,2026-07-06 22:30:00,true
INC_0012,TRM_13_44_0012,Derrumbe,Reporte de Derrumbe activo en el tramo Tramo RN-15 Sacapulas (Chuarrancho - San José Poaquil) - Ref 13. Tomar precauciones o vías alternas.,2026-07-06 10:30:00,true
INC_0013,TRM_14_45_0013,Bloqueo,Reporte de Bloqueo de carreteras por manifestación en el tramo Tramo CA-1 Occidente (Fraijanes - San Martín Jilotepeque) - Ref 14. Tomar precauciones o vías alternas.,2026-07-06 16:30:00,true
INC_0014,TRM_15_46_0014,Trabajos,Reporte de Trabajos de bacheo en el tramo Tramo Ruta Nacional RN-1 (Amatitlán - Comalapa) - Ref 15. Tomar precauciones o vías alternas.,2026-07-06 13:30:00,true
INC_0015,TRM_16_47_0015,Accidente,Reporte de Accidente vial obstruyendo carril en el tramo Tramo RN-15 Sacapulas (Villa Nueva - Santa Apolonia) - Ref 16. Tomar precauciones o vías alternas.,2026-07-06 07:30:00,false
INC_0016,TRM_17_48_0016,Fuerte,Reporte de Fuerte neblina y lluvias en el tramo Tramo Ruta Nacional RN-1 (Villa Canales - Tecpán Guatemala) - Ref 17. Tomar precauciones o vías alternas.,2026-07-06 11:30:00,true
INC_0017,TRM_18_49_0017,Inundación,Reporte de Inundación por desborde de río en el tramo Tramo RN-7 Cobán-Quiché (Petapa - Patzún) - Ref 18. Tomar precauciones o vías alternas.,2026-07-06 19:30:00,true
INC_0018,TRM_19_50_0018,Derrumbe,Reporte de Derrumbe activo en el tramo Tramo CA-1 Occidente (Guastatoya - Pochuta) - Ref 19. Tomar precauciones o vías alternas.,2026-07-06 13:30:00,true
INC_0019,TRM_20_51_0019,Bloqueo,Reporte de Bloqueo de carreteras por manifestación en el tramo Tramo RN-9 Salcajá (Morazán - Patzicía) - Ref 20. Tomar precauciones o vías alternas.,2026-07-06 15:30:00,true
INC_0020,TRM_21_52_0020,Trabajos,Reporte de Trabajos de bacheo en el tramo Tramo Ruta Nacional RN-1 (San Agustín Acasaguastlán - Santa Cruz Balanyá) - Ref 21. Tomar precauciones o vías alternas.,2026-07-06 08:30:00,false
INC_0021,TRM_22_53_0021,Accidente,Reporte de Accidente vial obstruyendo carril en el tramo Tramo RN-9 Salcajá (San Cristóbal Acasaguastlán - Acatenango) - Ref 22. Tomar precauciones o vías alternas.,2026-07-06 11:30:00,true
INC_0022,TRM_23_54_0022,Fuerte,Reporte de Fuerte neblina y lluvias en el tramo Tramo RN-11 Panajachel (El Jícaro - Yepocapa) - Ref 23. Tomar precauciones o vías alternas.,2026-07-06 21:30:00,false
INC_0023,TRM_24_55_0023,Inundación,Reporte de Inundación por desborde de río en el tramo Tramo RN-9 Salcajá (Sanarate - San Andrés Itzapa) - Ref 24. Tomar precauciones o vías alternas.,2026-07-06 22:30:00,false
INC_0024,TRM_25_56_0024,Derrumbe,Reporte de Derrumbe activo en el tramo Tramo RN-7 Cobán-Quiché (Sansare - Parramos) - Ref 25. Tomar precauciones o vías alternas.,2026-07-06 22:30:00,true
INC_0025,TRM_26_57_0025,Bloqueo,Reporte de Bloqueo de carreteras por manifestación en el tramo Tramo RN-9 Salcajá (San Antonio La Paz - Zaragoza) - Ref 26. Tomar precauciones o vías alternas.,2026-07-06 09:30:00,false
INC_0026,TRM_27_58_0026,Trabajos,Reporte de Trabajos de bacheo en el tramo Tramo RN-11 Panajachel (Antigua Guatemala - El Tejar) - Ref 27. Tomar precauciones o vías alternas.,2026-07-06 11:30:00,true
INC_0027,TRM_28_59_0027,Accidente,Reporte de Accidente vial obstruyendo carril en el tramo Tramo CA-1 Occidente (Jocotenango - Escuintla) - Ref 28. Tomar precauciones o vías alternas.,2026-07-06 13:30:00,false
INC_0028,TRM_29_60_0028,Fuerte,Reporte de Fuerte neblina y lluvias en el tramo Tramo RN-15 Sacapulas (Pastores - Santa Lucía Cotzumalguapa) - Ref 29. Tomar precauciones o vías alternas.,2026-07-06 08:30:00,false
INC_0029,TRM_30_61_0029,Inundación,Reporte de Inundación por desborde de río en el tramo Tramo RN-7 Cobán-Quiché (Sumpango - La Democracia) - Ref 30. Tomar precauciones o vías alternas.,2026-07-06 23:30:00,false
INC_0030,TRM_31_62_0030,Derrumbe,Reporte de Derrumbe activo en el tramo Tramo RN-15 Sacapulas (Santo Domingo Xenacoj - Siquinalá) - Ref 31. Tomar precauciones o vías alternas.,2026-07-06 14:30:00,false
INC_0031,TRM_32_63_0031,Bloqueo,Reporte de Bloqueo de carreteras por manifestación en el tramo Tramo RN-11 Panajachel (Santiago Sacatepéquez - Masagua) - Ref 32. Tomar precauciones o vías alternas.,2026-07-06 02:30:00,true
INC_0032,TRM_33_64_0032,Trabajos,Reporte de Trabajos de bacheo en el tramo Tramo RN-11 Panajachel (San Bartolomé Milpas Altas - Tiquisate) - Ref 33. Tomar precauciones o vías alternas.,2026-07-06 02:30:00,true
INC_0033,TRM_34_65_0033,Accidente,Reporte de Accidente vial obstruyendo carril en el tramo Tramo CA-1 Occidente (San Lucas Sacatepéquez - La Gomera) - Ref 34. Tomar precauciones o vías alternas.,2026-07-06 08:30:00,false
INC_0034,TRM_35_66_0034,Fuerte,Reporte de Fuerte neblina y lluvias en el tramo Tramo Ruta Nacional RN-1 (Santa Lucía Milpas Altas - Guanagazapa) - Ref 35. Tomar precauciones o vías alternas.,2026-07-06 21:30:00,true
