ruta_transporte_codigo,proveedor_codigo,hora_salida,frecuencia,tarifa_q,duracion_estimada_minutos
RUT_1_48_0000,PROV_GT01_0009,05:00:00,Diario,46.46,63
RUT_2_49_0001,PROV_GT01_0010,06:15:00,Cada 30 minutos,19.4,69
RUT_3_50_0002,PROV_GT01_0011,07:30:00,Cada hora,118.65,229
RUT_4_51_0003,PROV_GT01_0012,08:45:00,Lunes a Viernes,48.02,103
RUT_5_52_0004,PROV_GT01_0013,09:00:00,Solo fines de semana,60.29,195
RUT_6_53_0005,PROV_GT01_0014,10:15:00,Cada 15 minutos,122.8,68
RUT_7_54_0006,PROV_GT01_0015,11:30:00,Diario,29.28,164
RUT_8_55_0007,PROV_GT01_0016,12:45:00,Cada 30 minutos,124.01,128
RUT_9_56_0008,PROV_GT01_0017,13:00:00,Cada hora,87.0,105
RUT_10_57_0009,PROV_GT02_0018,14:15:00,Lunes a Viernes,39.42,235
RUT_11_58_0010,PROV_GT02_0019,15:30:00,Solo fines de semana,37.2,44
RUT_12_59_0011,PROV_GT02_0020,16:45:00,Cada 15 minutos,22.75,87
RUT_13_60_0012,PROV_GT02_0021,17:00:00,Diario,86.01,104
RUT_14_61_0013,PROV_GT02_0022,18:15:00,Cada 30 minutos,33.75,64
RUT_15_62_0014,PROV_GT02_0023,05:30:00,Cada hora,66.18,183
RUT_16_63_0015,PROV_GT02_0024,06:45:00,Lunes a Viernes,29.62,179
RUT_17_64_0016,PROV_GT02_0025,07:00:00,Solo fines de semana,32.72,81
RUT_18_65_0017,PROV_GT03_0026,08:15:00,Cada 15 minutos,36.29,29
RUT_19_66_0018,PROV_GT03_0027,09:30:00,Diario,145.23,194
RUT_20_67_0019,PROV_GT03_0028,10:45:00,Cada 30 minutos,105.38,204
RUT_21_68_0020,PROV_GT03_0029,11:00:00,Cada hora,99.08,150
RUT_22_69_0021,PROV_GT03_0030,12:15:00,Lunes a Viernes,33.46,67
RUT_23_70_0022,PROV_GT03_0031,13:30:00,Solo fines de semana,29.68,169
RUT_24_71_0023,PROV_GT03_0032,14:45:00,Cada 15 minutos,108.59,240
RUT_25_72_0024,PROV_GT03_0033,15:00:00,Diario,144.15,20
RUT_26_73_0025,PROV_GT03_0034,16:15:00,Cada 30 minutos,137.41,30
RUT_27_74_0026,PROV_GT03_0035,17:30:00,Cada hora,26.49,208
RUT_28_75_0027,PROV_GT03_0036,18:45:00,Lunes a Viernes,59.36,65
RUT_29_76_0028,PROV_GT03_0037,05:00:00,Solo fines de semana,43.82,82
RUT_30_77_0029,PROV_GT03_0038,06:15:00,Cada 15 minutos,5.53,146
RUT_31_78_0030,PROV_GT03_0039,07:30:00,Diario,37.19,208
RUT_32_79_0031,PROV_GT03_0040,08:45:00,Cada 30 minutos,107.0,58
RUT_33_80_0032,PROV_GT03_0041,09:00:00,Cada hora,35.56,89
RUT_34_81_0033,PROV_GT04_0042,10:15:00,Lunes a Viernes,120.84,126
RUT_35_82_0034,PROV_GT04_0043,11:30:00,Solo fines de semana,103.28,81
RUT_36_83_0035,PROV_GT04_0044,12:45:00,Cada 15 minutos,38.98,180
RUT_37_84_0036,PROV_GT04_0045,13:00:00,Diario,35.05,76
RUT_38_85_0037,PROV_GT04_0046,14:15:00,Cada 30 minutos,142.7,230
RUT_39_86_0038,PROV_GT04_0047,15:30:00,Cada hora,131.95,78
RUT_40_87_0039,PROV_GT04_0048,16:45:00,Lunes a Viernes,22.5,184
RUT_41_88_0040,PROV_GT04_0049,17:00:00,Solo fines de semana,126.93,89
RUT_42_89_0041,PROV_GT04_0050,18:15:00,Cada 15 minutos,119.72,108
RUT_43_90_0042,PROV_GT04_0051,05:30:00,Diario,101.01,206
RUT_44_91_0043,PROV_GT04_0052,06:45:00,Cada 30 minutos,131.85,175
RUT_45_92_0044,PROV_GT04_0053,07:00:00,Cada hora,130.55,63
RUT_46_93_0045,PROV_GT04_0054,08:15:00,Lunes a Viernes,46.99,170
RUT_47_94_0046,PROV_GT04_0055,09:30:00,Solo fines de semana,139.56,193
RUT_48_95_0047,PROV_GT04_0056,10:45:00,Cada 15 minutos,143.99,148
RUT_49_96_0048,PROV_GT04_0057,11:00:00,Diario,83.11,114
RUT_50_97_0049,PROV_GT05_0058,12:15:00,Cada 30 minutos,38.98,35
RUT_51_98_0050,PROV_GT05_0059,13:30:00,Cada hora,137.58,20
RUT_52_99_0051,PROV_GT05_0060,14:45:00,Lunes a Viernes,26.66,198
RUT_53_100_0052,PROV_GT05_0061,15:00:00,Solo fines de semana,59.44,103
RUT_54_101_0053,PROV_GT05_0062,16:15:00,Cada 15 minutos,122.92,130
RUT_55_102_0054,PROV_GT05_0063,17:30:00,Diario,147.1,37
RUT_56_103_0055,PROV_GT05_0064,18:45:00,Cada 30 minutos,120.58,190
RUT_57_104_0056,PROV_GT05_0065,05:00:00,Cada hora,30.17,161
RUT_58_105_0057,PROV_GT05_0066,06:15:00,Lunes a Viernes,107.59,189
RUT_59_106_0058,PROV_GT05_0067,07:30:00,Solo fines de semana,76.22,124
RUT_60_107_0059,PROV_GT05_0068,08:45:00,Cada 15 minutos,130.7,118
RUT_61_108_0060,PROV_GT05_0069,09:00:00,Diario,35.24,152
RUT_62_109_0061,PROV_GT05_0070,10:15:00,Cada 30 minutos,5.27,212
RUT_63_110_0062,PROV_GT05_0071,11:30:00,Cada hora,105.41,38
RUT_64_111_0063,PROV_GT06_0072,12:45:00,Lunes a Viernes,70.44,95
RUT_65_112_0064,PROV_GT06_0073,13:00:00,Solo fines de semana,70.13,127
RUT_66_113_0065,PROV_GT06_0074,14:15:00,Cada 15 minutos,28.79,87
RUT_67_114_0066,PROV_GT06_0075,15:30:00,Diario,114.68,18
RUT_68_115_0067,PROV_GT06_0076,16:45:00,Cada 30 minutos,114.03,22
RUT_69_116_0068,PROV_GT06_0077,17:00:00,Cada hora,143.81,130
RUT_70_117_0069,PROV_GT06_0078,18:15:00,Lunes a Viernes,86.49,137
RUT_71_118_0070,PROV_GT06_0079,05:30:00,Solo fines de semana,91.76,105
RUT_72_119_0071,PROV_GT06_0080,06:45:00,Cada 15 minutos,133.03,31
RUT_73_120_0072,PROV_GT06_0081,07:00:00,Diario,87.56,184
RUT_74_121_0073,PROV_GT06_0082,08:15:00,Cada 30 minutos,131.91,123
RUT_75_122_0074,PROV_GT06_0083,09:30:00,Cada hora,35.05,168
RUT_76_123_0075,PROV_GT06_0084,10:45:00,Lunes a Viernes,86.23,149
RUT_77_124_0076,PROV_GT06_0085,11:00:00,Solo fines de semana,25.11,158
RUT_78_125_0077,PROV_GT07_0086,12:15:00,Cada 15 minutos,48.88,166
RUT_79_126_0078,PROV_GT07_0087,13:30:00,Diario,42.08,118
RUT_80_127_0079,PROV_GT07_0088,14:45:00,Cada 30 minutos,132.49,89
RUT_81_128_0080,PROV_GT07_0089,15:00:00,Cada hora,18.05,87
RUT_82_129_0081,PROV_GT07_0090,16:15:00,Lunes a Viernes,116.86,20
RUT_83_130_0082,PROV_GT07_0091,17:30:00,Solo fines de semana,16.64,117
RUT_84_131_0083,PROV_GT07_0092,18:45:00,Cada 15 minutos,113.42,35
RUT_85_132_0084,PROV_GT07_0093,05:00:00,Diario,131.41,53
RUT_86_133_0085,PROV_GT07_0094,06:15:00,Cada 30 minutos,47.03,170
RUT_87_134_0086,PROV_GT07_0095,07:30:00,Cada hora,58.55,237
RUT_88_135_0087,PROV_GT07_0096,08:45:00,Lunes a Viernes,119.62,55
RUT_89_136_0088,PROV_GT07_0097,09:00:00,Solo fines de semana,42.19,159
RUT_90_137_0089,PROV_GT07_0098,10:15:00,Cada 15 minutos,139.34,199
RUT_91_138_0090,PROV_GT07_0099,11:30:00,Diario,145.95,196
RUT_92_139_0091,PROV_GT07_0100,12:45:00,Cada 30 minutos,126.1,47
RUT_93_140_0092,PROV_GT07_0101,13:00:00,Cada hora,121.37,209
RUT_94_141_0093,PROV_GT07_0102,14:15:00,Lunes a Viernes,58.18,169
RUT_95_142_0094,PROV_GT07_0103,15:30:00,Solo fines de semana,146.42,25
RUT_96_143_0095,PROV_GT07_0104,16:45:00,Cada 15 minutos,32.5,123
RUT_97_144_0096,PROV_GT07_0105,17:00:00,Diario,133.24,61
RUT_98_145_0097,PROV_GT08_0106,18:15:00,Cada 30 minutos,131.35,177
RUT_99_146_0098,PROV_GT08_0107,05:30:00,Cada hora,135.38,164
RUT_100_147_0099,PROV_GT08_0108,06:45:00,Lunes a Viernes,73.27,107
RUT_101_148_0100,PROV_GT08_0109,07:00:00,Solo fines de semana,12.52,95
RUT_102_149_0101,PROV_GT08_0110,08:15:00,Cada 15 minutos,27.84,162
RUT_103_150_0102,PROV_GT08_0111,09:30:00,Diario,98.83,221
RUT_104_151_0103,PROV_GT08_0112,10:45:00,Cada 30 minutos,43.14,138
RUT_105_152_0104,PROV_GT08_0113,11:00:00,Cada hora,58.92,59
RUT_106_153_0105,PROV_GT09_0114,12:15:00,Lunes a Viernes,47.02,190
RUT_107_154_0106,PROV_GT09_0115,13:30:00,Solo fines de semana,132.27,19
RUT_108_155_0107,PROV_GT09_0116,14:45:00,Cada 15 minutos,138.31,55
RUT_109_156_0108,PROV_GT09_0117,15:00:00,Diario,108.23,99
RUT_110_157_0109,PROV_GT09_0118,16:15:00,Cada 30 minutos,105.83,177
RUT_111_158_0110,PROV_GT09_0119,17:30:00,Cada hora,94.81,90
RUT_112_159_0111,PROV_GT09_0120,18:45:00,Lunes a Viernes,94.29,161
RUT_113_160_0112,PROV_GT09_0121,05:00:00,Solo fines de semana,108.57,238
RUT_114_161_0113,PROV_GT09_0122,06:15:00,Cada 15 minutos,18.76,197
RUT_115_162_0114,PROV_GT09_0123,07:30:00,Diario,71.79,96
RUT_116_163_0115,PROV_GT09_0124,08:45:00,Cada 30 minutos,112.34,24
RUT_117_164_0116,PROV_GT09_0125,09:00:00,Cada hora,88.17,226
RUT_118_165_0117,PROV_GT09_0126,10:15:00,Lunes a Viernes,100.49,217
RUT_119_166_0118,PROV_GT09_0127,11:30:00,Solo fines de semana,76.31,207
RUT_120_167_0119,PROV_GT09_0128,12:45:00,Cada 15 minutos,64.16,80
RUT_121_168_0120,PROV_GT09_0129,13:00:00,Diario,138.86,51
RUT_122_169_0121,PROV_GT09_0130,14:15:00,Cada 30 minutos,104.52,103
RUT_123_170_0122,PROV_GT09_0131,15:30:00,Cada hora,56.26,172
RUT_124_171_0123,PROV_GT09_0132,16:45:00,Lunes a Viernes,36.78,135
RUT_125_172_0124,PROV_GT09_0133,17:00:00,Solo fines de semana,54.39,173
RUT_126_173_0125,PROV_GT09_0134,18:15:00,Cada 15 minutos,40.05,92
RUT_127_174_0126,PROV_GT09_0135,05:30:00,Diario,93.29,24
RUT_128_175_0127,PROV_GT09_0136,06:45:00,Cada 30 minutos,144.46,82
RUT_129_176_0128,PROV_GT09_0137,07:00:00,Cada hora,8.25,23
RUT_130_177_0129,PROV_GT10_0138,08:15:00,Lunes a Viernes,6.8,124
RUT_131_178_0130,PROV_GT10_0139,09:30:00,Solo fines de semana,24.15,237
RUT_132_179_0131,PROV_GT10_0140,10:45:00,Cada 15 minutos,12.73,223
RUT_133_180_0132,PROV_GT10_0141,11:00:00,Diario,66.7,239
RUT_134_181_0133,PROV_GT10_0142,12:15:00,Cada 30 minutos,6.07,15
RUT_135_182_0134,PROV_GT10_0143,13:30:00,Cada hora,119.91,179
RUT_136_183_0135,PROV_GT10_0144,14:45:00,Lunes a Viernes,123.49,232
RUT_137_184_0136,PROV_GT10_0145,15:00:00,Solo fines de semana,20.64,238
RUT_138_185_0137,PROV_GT10_0146,16:15:00,Cada 15 minutos,82.87,141
RUT_139_186_0138,PROV_GT10_0147,17:30:00,Diario,112.35,51
RUT_140_187_0139,PROV_GT10_0148,18:45:00,Cada 30 minutos,91.51,126
RUT_141_188_0140,PROV_GT10_0149,05:00:00,Cada hora,83.48,15
RUT_142_189_0141,PROV_GT10_0150,06:15:00,Lunes a Viernes,6.26,62
RUT_143_190_0142,PROV_GT10_0151,07:30:00,Solo fines de semana,45.68,233
RUT_144_191_0143,PROV_GT10_0152,08:45:00,Cada 15 minutos,134.5,135
RUT_145_192_0144,PROV_GT10_0153,09:00:00,Diario,119.06,171
RUT_146_193_0145,PROV_GT10_0154,10:15:00,Cada 30 minutos,8.09,193
RUT_147_194_0146,PROV_GT10_0155,11:30:00,Cada hora,129.76,111
RUT_148_195_0147,PROV_GT10_0156,12:45:00,Lunes a Viernes,6.7,17
RUT_149_196_0148,PROV_GT10_0157,13:00:00,Solo fines de semana,61.02,35
RUT_150_197_0149,PROV_GT10_0158,14:15:00,Cada 15 minutos,142.97,64
RUT_151_198_0150,PROV_GT11_0159,15:30:00,Diario,70.78,135
RUT_152_199_0151,PROV_GT11_0160,16:45:00,Cada 30 minutos,119.26,53
RUT_153_200_0152,PROV_GT11_0161,17:00:00,Cada hora,101.31,36
RUT_154_201_0153,PROV_GT11_0162,18:15:00,Lunes a Viernes,16.64,211
RUT_155_202_0154,PROV_GT11_0163,05:30:00,Solo fines de semana,133.2,153
RUT_156_203_0155,PROV_GT11_0164,06:45:00,Cada 15 minutos,140.09,144
RUT_157_204_0156,PROV_GT11_0165,07:00:00,Diario,77.08,15
RUT_158_205_0157,PROV_GT11_0166,08:15:00,Cada 30 minutos,61.74,104
RUT_159_206_0158,PROV_GT11_0167,09:30:00,Cada hora,103.45,238
RUT_160_207_0159,PROV_GT12_0168,10:45:00,Lunes a Viernes,45.0,104
RUT_161_208_0160,PROV_GT12_0169,11:00:00,Solo fines de semana,59.19,30
RUT_162_209_0161,PROV_GT12_0170,12:15:00,Cada 15 minutos,38.62,141
RUT_163_210_0162,PROV_GT12_0171,13:30:00,Diario,85.62,88
RUT_164_211_0163,PROV_GT12_0172,14:45:00,Cada 30 minutos,24.15,50
RUT_165_212_0164,PROV_GT12_0173,15:00:00,Cada hora,44.71,109
RUT_166_213_0165,PROV_GT12_0174,16:15:00,Lunes a Viernes,41.14,143
RUT_167_214_0166,PROV_GT12_0175,17:30:00,Solo fines de semana,141.5,35
RUT_168_215_0167,PROV_GT12_0176,18:45:00,Cada 15 minutos,130.51,128
RUT_169_216_0168,PROV_GT12_0177,05:00:00,Diario,50.89,63
RUT_170_217_0169,PROV_GT12_0178,06:15:00,Cada 30 minutos,143.66,34
RUT_171_218_0170,PROV_GT12_0179,07:30:00,Cada hora,110.07,22
RUT_172_219_0171,PROV_GT12_0180,08:45:00,Lunes a Viernes,133.85,22
RUT_173_220_0172,PROV_GT12_0181,09:00:00,Solo fines de semana,123.02,224
RUT_174_221_0173,PROV_GT12_0182,10:15:00,Cada 15 minutos,75.14,41
RUT_175_222_0174,PROV_GT12_0183,11:30:00,Diario,102.64,88
RUT_176_223_0175,PROV_GT12_0184,12:45:00,Cada 30 minutos,57.46,16
RUT_177_224_0176,PROV_GT12_0185,13:00:00,Cada hora,46.2,109
RUT_178_225_0177,PROV_GT12_0186,14:15:00,Lunes a Viernes,75.97,91
RUT_179_226_0178,PROV_GT12_0187,15:30:00,Solo fines de semana,14.28,115
RUT_180_227_0179,PROV_GT12_0188,16:45:00,Cada 15 minutos,18.53,21
RUT_181_228_0180,PROV_GT12_0189,17:00:00,Diario,74.52,114
RUT_182_229_0181,PROV_GT12_0190,18:15:00,Cada 30 minutos,47.66,80
RUT_183_230_0182,PROV_GT12_0191,05:30:00,Cada hora,85.84,150
RUT_184_231_0183,PROV_GT12_0192,06:45:00,Lunes a Viernes,5.97,80
RUT_185_232_0184,PROV_GT12_0193,07:00:00,Solo fines de semana,96.57,215
RUT_186_233_0185,PROV_GT12_0194,08:15:00,Cada 15 minutos,103.95,73
RUT_187_234_0186,PROV_GT12_0195,09:30:00,Diario,28.32,36
RUT_188_235_0187,PROV_GT12_0196,10:45:00,Cada 30 minutos,12.46,197
RUT_189_236_0188,PROV_GT12_0197,11:00:00,Cada hora,58.12,94
RUT_190_237_0189,PROV_GT13_0198,12:15:00,Lunes a Viernes,132.05,113
RUT_191_238_0190,PROV_GT13_0199,13:30:00,Solo fines de semana,124.35,18
RUT_192_239_0191,PROV_GT13_0200,14:45:00,Cada 15 minutos,89.21,115
RUT_193_240_0192,PROV_GT13_0201,15:00:00,Diario,32.36,109
RUT_194_241_0193,PROV_GT13_0202,16:15:00,Cada 30 minutos,76.33,225
RUT_195_242_0194,PROV_GT13_0203,17:30:00,Cada hora,22.7,59
RUT_196_243_0195,PROV_GT13_0204,18:45:00,Lunes a Viernes,87.03,26
RUT_197_244_0196,PROV_GT13_0205,05:00:00,Solo fines de semana,77.43,73
RUT_198_245_0197,PROV_GT13_0206,06:15:00,Cada 15 minutos,20.07,61
RUT_199_246_0198,PROV_GT13_0207,07:30:00,Diario,39.22,107
RUT_200_247_0199,PROV_GT13_0208,08:45:00,Cada 30 minutos,54.9,55
RUT_201_248_0200,PROV_GT13_0209,09:00:00,Cada hora,102.78,87
RUT_202_249_0201,PROV_GT13_0210,10:15:00,Lunes a Viernes,120.73,104
RUT_203_250_0202,PROV_GT13_0211,11:30:00,Solo fines de semana,84.74,186
RUT_204_251_0203,PROV_GT13_0212,12:45:00,Cada 15 minutos,99.83,65
RUT_205_252_0204,PROV_GT13_0213,13:00:00,Diario,122.66,237
RUT_206_253_0205,PROV_GT13_0214,14:15:00,Cada 30 minutos,139.46,234
RUT_207_254_0206,PROV_GT13_0215,15:30:00,Cada hora,19.48,163
RUT_208_255_0207,PROV_GT13_0216,16:45:00,Lunes a Viernes,35.5,191
RUT_209_256_0208,PROV_GT13_0217,17:00:00,Solo fines de semana,133.44,218
RUT_210_257_0209,PROV_GT13_0218,18:15:00,Cada 15 minutos,74.76,203
RUT_211_258_0210,PROV_GT13_0219,05:30:00,Diario,141.51,187
RUT_212_259_0211,PROV_GT13_0220,06:45:00,Cada 30 minutos,108.71,51
RUT_213_260_0212,PROV_GT13_0221,07:00:00,Cada hora,92.78,179
RUT_214_261_0213,PROV_GT13_0222,08:15:00,Lunes a Viernes,67.37,37
RUT_215_262_0214,PROV_GT13_0223,09:30:00,Solo fines de semana,42.29,176
RUT_216_263_0215,PROV_GT13_0224,10:45:00,Cada 15 minutos,49.08,57
RUT_217_264_0216,PROV_GT13_0225,11:00:00,Diario,48.03,45
RUT_218_265_0217,PROV_GT13_0226,12:15:00,Cada 30 minutos,20.06,157
RUT_219_266_0218,PROV_GT13_0227,13:30:00,Cada hora,142.29,50
RUT_220_267_0219,PROV_GT13_0228,14:45:00,Lunes a Viernes,116.11,65
RUT_221_268_0220,PROV_GT13_0229,15:00:00,Solo fines de semana,58.71,166
RUT_222_269_0221,PROV_GT13_0230,16:15:00,Cada 15 minutos,22.92,33
RUT_223_270_0222,PROV_GT14_0231,17:30:00,Diario,132.79,126
RUT_224_271_0223,PROV_GT14_0232,18:45:00,Cada 30 minutos,59.96,34
RUT_225_272_0224,PROV_GT14_0233,05:00:00,Cada hora,76.25,81
RUT_226_273_0225,PROV_GT14_0234,06:15:00,Lunes a Viernes,86.14,144
