codigo,origen_municipio_nombre,destino_municipio_nombre,tipo_transporte_codigo
RUT_1_48_0000,Lago De Amatitlan,Tecpán Guatemala,TAXI
RUT_2_49_0001,Guatemala,Patzún,FLETERO
RUT_3_50_0002,Santa Catarina Pinula,Pochuta,SHUTTLE
RUT_4_51_0003,San José Pinula,Patzicía,TAXI
RUT_5_52_0004,San José del Golfo,Santa Cruz Balanyá,TAXI
RUT_6_53_0005,Palencia,Acatenango,SHUTTLE
RUT_7_54_0006,Chinautla,Yepocapa,EXTRAURBANO
RUT_8_55_0007,San Pedro Ayampuc,San Andrés Itzapa,SHUTTLE
RUT_9_56_0008,Mixco,Parramos,EXTRAURBANO
RUT_10_57_0009,San Pedro Sacatepéquez,Zaragoza,SHUTTLE
RUT_11_58_0010,San Juan Sacatepéquez,El Tejar,EXTRAURBANO
RUT_12_59_0011,San Raimundo,Escuintla,FLETERO
RUT_13_60_0012,Chuarrancho,Santa Lucía Cotzumalguapa,TAXI
RUT_14_61_0013,Fraijanes,La Democracia,EXTRAURBANO
RUT_15_62_0014,Amatitlán,Siquinalá,TAXI
RUT_16_63_0015,Villa Nueva,Masagua,EXTRAURBANO
RUT_17_64_0016,Villa Canales,Tiquisate,FLETERO
RUT_18_65_0017,Petapa,La Gomera,SHUTTLE
RUT_19_66_0018,Guastatoya,Guanagazapa,EXTRAURBANO
RUT_20_67_0019,Morazán,San José,EXTRAURBANO
RUT_21_68_0020,San Agustín Acasaguastlán,Iztapa,SHUTTLE
RUT_22_69_0021,San Cristóbal Acasaguastlán,Palín,EXTRAURBANO
RUT_23_70_0022,El Jícaro,San Vicente Pacaya,SHUTTLE
RUT_24_71_0023,Sanarate,Nueva Concepción,SHUTTLE
RUT_25_72_0024,Sansare,Sipacate,FLETERO
RUT_26_73_0025,San Antonio La Paz,Cuilapa,SHUTTLE
RUT_27_74_0026,Antigua Guatemala,Barberena,TAXI
RUT_28_75_0027,Jocotenango,Santa Rosa de Lima,TAXI
RUT_29_76_0028,Pastores,Casillas,SHUTTLE
RUT_30_77_0029,Sumpango,San Rafael Las Flores,EXTRAURBANO
RUT_31_78_0030,Santo Domingo Xenacoj,Oratorio,TAXI
RUT_32_79_0031,Santiago Sacatepéquez,San Juan Tecuaco,SHUTTLE
RUT_33_80_0032,San Bartolomé Milpas Altas,Chiquimulilla,FLETERO
RUT_34_81_0033,San Lucas Sacatepéquez,Taxisco,TAXI
RUT_35_82_0034,Santa Lucía Milpas Altas,Santa María Ixhuatán,EXTRAURBANO
RUT_36_83_0035,Magdalena Milpas Altas,Guazacapán,TAXI
RUT_37_84_0036,Santa María de Jesús,Santa Cruz Naranjo,FLETERO
RUT_38_85_0037,Ciudad Vieja,Pueblo Nuevo Viñas,FLETERO
RUT_39_86_0038,San Miguel Dueñas,Nueva Santa Rosa,EXTRAURBANO
RUT_40_87_0039,Alotenango,Lago De Atitlan,SHUTTLE
RUT_41_88_0040,San Antonio Aguas Calientes,Sololá,SHUTTLE
RUT_42_89_0041,Santa Catarina Barahona,San José Chacayá,TAXI
RUT_43_90_0042,Chimaltenango,Santa María Visitación,SHUTTLE
RUT_44_91_0043,San José Poaquil,Santa Lucía Utatlán,TAXI
RUT_45_92_0044,San Martín Jilotepeque,Nahualá,SHUTTLE
RUT_46_93_0045,Comalapa,Santa Catarina Ixtahuacán,TAXI
RUT_47_94_0046,Santa Apolonia,Santa Clara La Laguna,SHUTTLE
RUT_48_95_0047,Tecpán Guatemala,Concepción,SHUTTLE
RUT_49_96_0048,Patzún,San Andrés Semetabaj,TAXI
RUT_50_97_0049,Pochuta,Panajachel,FLETERO
RUT_51_98_0050,Patzicía,Santa Catarina Palopó,SHUTTLE
RUT_52_99_0051,Santa Cruz Balanyá,San Antonio Palopó,LANCHA
RUT_53_100_0052,Acatenango,San Lucas Tolimán,LANCHA
RUT_54_101_0053,Yepocapa,Santa Cruz La Laguna,TAXI
RUT_55_102_0054,San Andrés Itzapa,San Pablo La Laguna,FLETERO
RUT_56_103_0055,Parramos,San Marcos La Laguna,LANCHA
RUT_57_104_0056,Zaragoza,San Juan La Laguna,TAXI
RUT_58_105_0057,El Tejar,San Pedro La Laguna,LANCHA
RUT_59_106_0058,Escuintla,Santiago Atitlán,LANCHA
RUT_60_107_0059,Santa Lucía Cotzumalguapa,Totonicapán,SHUTTLE
RUT_61_108_0060,La Democracia,San Cristóbal Totonicapán,EXTRAURBANO
RUT_62_109_0061,Siquinalá,San Francisco El Alto,SHUTTLE
RUT_63_110_0062,Masagua,San Andrés Xecul,EXTRAURBANO
RUT_64_111_0063,Tiquisate,Momostenango,TAXI
RUT_65_112_0064,La Gomera,Santa María Chiquimula,EXTRAURBANO
RUT_66_113_0065,Guanagazapa,Santa Lucía La Reforma,EXTRAURBANO
RUT_67_114_0066,San José,San Bartolo,FLETERO
RUT_68_115_0067,Iztapa,Quetzaltenango,FLETERO
RUT_69_116_0068,Palín,Salcajá,EXTRAURBANO
RUT_70_117_0069,San Vicente Pacaya,Olintepeque,TAXI
RUT_71_118_0070,Nueva Concepción,San Carlos Sija,TAXI
RUT_72_119_0071,Sipacate,Sibilia,EXTRAURBANO
RUT_73_120_0072,Cuilapa,Cabricán,TAXI
RUT_74_121_0073,Barberena,Cajolá,TAXI
RUT_75_122_0074,Santa Rosa de Lima,San Miguel Sigüila,SHUTTLE
RUT_76_123_0075,Casillas,Ostuncalco,FLETERO
RUT_77_124_0076,San Rafael Las Flores,San Mateo,TAXI
RUT_78_125_0077,Oratorio,Concepción Chiquirichapa,EXTRAURBANO
RUT_79_126_0078,San Juan Tecuaco,San Martín Sacatepéquez,FLETERO
RUT_80_127_0079,Chiquimulilla,Almolonga,FLETERO
RUT_81_128_0080,Taxisco,Cantel,TAXI
RUT_82_129_0081,Santa María Ixhuatán,Huitán,SHUTTLE
RUT_83_130_0082,Guazacapán,Zunil,FLETERO
RUT_84_131_0083,Santa Cruz Naranjo,Colomba,TAXI
RUT_85_132_0084,Pueblo Nuevo Viñas,San Francisco La Unión,FLETERO
RUT_86_133_0085,Nueva Santa Rosa,El Palmar,FLETERO
RUT_87_134_0086,Lago De Atitlan,Coatepeque,FLETERO
RUT_88_135_0087,Sololá,Génova,FLETERO
RUT_89_136_0088,San José Chacayá,Flores Costa Cuca,EXTRAURBANO
RUT_90_137_0089,Santa María Visitación,La Esperanza,FLETERO
RUT_91_138_0090,Santa Lucía Utatlán,Palestina de Los Altos,SHUTTLE
RUT_92_139_0091,Nahualá,Mazatenango,SHUTTLE
RUT_93_140_0092,Santa Catarina Ixtahuacán,Cuyotenango,EXTRAURBANO
RUT_94_141_0093,Santa Clara La Laguna,San Francisco Zapotitlán,SHUTTLE
RUT_95_142_0094,Concepción,San Bernardino,EXTRAURBANO
RUT_96_143_0095,San Andrés Semetabaj,San José El Ídolo,FLETERO
RUT_97_144_0096,Panajachel,Santo Domingo Suchitepéquez,LANCHA
RUT_98_145_0097,Santa Catarina Palopó,San Lorenzo,SHUTTLE
RUT_99_146_0098,San Antonio Palopó,Samayac,SHUTTLE
RUT_100_147_0099,San Lucas Tolimán,San Pablo Jocopilas,LANCHA
RUT_101_148_0100,Santa Cruz La Laguna,San Antonio Suchitepéquez,LANCHA
RUT_102_149_0101,San Pablo La Laguna,San Miguel Panán,EXTRAURBANO
RUT_103_150_0102,San Marcos La Laguna,San Gabriel,LANCHA
RUT_104_151_0103,San Juan La Laguna,Chicacao,SHUTTLE
RUT_105_152_0104,San Pedro La Laguna,Patulul,LANCHA
RUT_106_153_0105,Santiago Atitlán,Santa Bárbara,EXTRAURBANO
RUT_107_154_0106,Totonicapán,San Juan Bautista,FLETERO
RUT_108_155_0107,San Cristóbal Totonicapán,Santo Tomás La Unión,TAXI
RUT_109_156_0108,San Francisco El Alto,Zunilito,TAXI
RUT_110_157_0109,San Andrés Xecul,Pueblo Nuevo,SHUTTLE
RUT_111_158_0110,Momostenango,Río Bravo,SHUTTLE
RUT_112_159_0111,Santa María Chiquimula,San José La Máquina,TAXI
RUT_113_160_0112,Santa Lucía La Reforma,Retalhuleu,SHUTTLE
RUT_114_161_0113,San Bartolo,San Sebastián,EXTRAURBANO
RUT_115_162_0114,Quetzaltenango,Santa Cruz Muluá,EXTRAURBANO
RUT_116_163_0115,Salcajá,San Martín Zapotitlán,EXTRAURBANO
RUT_117_164_0116,Olintepeque,San Felipe,TAXI
RUT_118_165_0117,San Carlos Sija,San Andrés Villa Seca,EXTRAURBANO
RUT_119_166_0118,Sibilia,Champerico,TAXI
RUT_120_167_0119,Cabricán,Nuevo San Carlos,FLETERO
RUT_121_168_0120,Cajolá,El Asintal,SHUTTLE
RUT_122_169_0121,San Miguel Sigüila,San Marcos,FLETERO
RUT_123_170_0122,Ostuncalco,San Pedro Sacatepéquez,EXTRAURBANO
RUT_124_171_0123,San Mateo,San Antonio Sacatepéquez,EXTRAURBANO
RUT_125_172_0124,Concepción Chiquirichapa,Comitancillo,TAXI
RUT_126_173_0125,San Martín Sacatepéquez,San Miguel Ixtahuacán,TAXI
RUT_127_174_0126,Almolonga,Concepción Tutuapa,SHUTTLE
RUT_128_175_0127,Cantel,Tacaná,FLETERO
RUT_129_176_0128,Huitán,Sibinal,FLETERO
RUT_130_177_0129,Zunil,Tajumulco,SHUTTLE
RUT_131_178_0130,Colomba,Tejutla,TAXI
