codigo,nombre,origen_municipio_nombre,destino_municipio_nombre,tipo_via_codigo,distancia_km,tiempo_promedio_minutos,estado_transitabilidad
TRM_1_32_0000,Tramo RN-7 Cobán-Quiché (Lago De Amatitlan - Santiago Sacatepéquez) - Ref 1,Lago De Amatitlan,Santiago Sacatepéquez,INTERAMERICANA,35.57,94,REGULAR
TRM_2_33_0001,Tramo RN-7 Cobán-Quiché (Guatemala - San Bartolomé Milpas Altas) - Ref 2,Guatemala,San Bartolomé Milpas Altas,NACIONAL_ASFALTO,61.31,158,REGULAR
TRM_3_34_0002,Tramo CA-1 Occidente (Santa Catarina Pinula - San Lucas Sacatepéquez) - Ref 3,Santa Catarina Pinula,San Lucas Sacatepéquez,ACUATICA,30.13,76,BUENO
TRM_4_35_0003,Tramo RN-15 Sacapulas (San José Pinula - Santa Lucía Milpas Altas) - Ref 4,San José Pinula,Santa Lucía Milpas Altas,PEATONAL,70.49,178,BUENO
TRM_5_36_0004,Tramo RN-7 Cobán-Quiché (San José del Golfo - Magdalena Milpas Altas) - Ref 5,San José del Golfo,Magdalena Milpas Altas,NACIONAL_ASFALTO,74.03,179,BUENO
TRM_6_37_0005,Tramo CA-1 Occidente (Palencia - Santa María de Jesús) - Ref 6,Palencia,Santa María de Jesús,PEATONAL,25.32,76,REGULAR
TRM_7_38_0006,Tramo RN-11 Panajachel (Chinautla - Ciudad Vieja) - Ref 7,Chinautla,Ciudad Vieja,NACIONAL_ASFALTO,20.78,43,REGULAR
TRM_8_39_0007,Tramo RN-9 Salcajá (San Pedro Ayampuc - San Miguel Dueñas) - Ref 8,San Pedro Ayampuc,San Miguel Dueñas,ACUATICA,10.77,17,BUENO
TRM_9_40_0008,Tramo RN-15 Sacapulas (Mixco - Alotenango) - Ref 9,Mixco,Alotenango,INTERAMERICANA,44.56,153,BUENO
TRM_10_41_0009,Tramo RN-11 Panajachel (San Pedro Sacatepéquez - San Antonio Aguas Calientes) - Ref 10,San Pedro Sacatepéquez,San Antonio Aguas Calientes,NACIONAL_ASFALTO,28.22,38,BUENO
TRM_11_42_0010,Tramo RN-11 Panajachel (San Juan Sacatepéquez - Santa Catarina Barahona) - Ref 11,San Juan Sacatepéquez,Santa Catarina Barahona,NACIONAL_ASFALTO,69.84,164,BUENO
TRM_12_43_0011,Tramo RN-9 Salcajá (San Raimundo - Chimaltenango) - Ref 12,San Raimundo,Chimaltenango,PEATONAL,37.17,54,REGULAR
