codigo_fuente_turismo,nombre,tipo,url,fecha_consulta,notas
GCB_REGIONES_GT,Guatemala Convention Bureau - Regiones de Guatemala,Institucional turismo,https://guatemalacvb.com/regiones-de-guatemala/,2026-07-06,Base para las 7 regiones turisticas de Guatemala y sus descripciones generales.
INGUAT_GENERAL,Instituto Guatemalteco de Turismo - INGUAT,Institucional turismo,https://inguat.gob.gt/,2026-07-06,Fuente institucional general de turismo; verificar disponibilidad porque puede presentar restricciones de acceso.
CONAP_GENERAL,Consejo Nacional de Areas Protegidas - CONAP,Institucional areas protegidas,https://conap.gob.gt/,2026-07-06,Fuente institucional general sobre areas protegidas en Guatemala.
CONAP_SIGAP_GENERAL,CONAP/SIGAP Turismo,Institucional areas protegidas,https://turismo-sigap.conap.gob.gt/,2026-07-06,Portal turistico SIGAP para rutas turisticas y areas protegidas.
CONAP_SIGAP_PACAYA,CONAP/SIGAP Turismo - Parque Nacional Volcan Pacaya y Laguna de Calderas,Institucional areas protegidas,https://turismo-sigap.conap.gob.gt/en/rutas-turisticas/ruta-de-montanas-y-playas-boca-costa-pacifico/parque-nacional-volcan-pacaya-y-laguna-de-calderas/,2026-07-06,Ubicacion, acceso, recomendaciones, extension, declaratoria y horarios del Parque Nacional Volcan Pacaya.
SIC_GENERAL,SICultura - Sistema de Informacion Cultural,Sistema de Informacion Cultural,https://www.sicultura.gob.gt/,2026-07-06,Directorio cultural del Ministerio de Cultura y Deportes.
SIC_TIKAL,SICultura - Parque Nacional Tikal Corazon del Mundo Maya,Sistema de Informacion Cultural,https://www.sicultura.gob.gt/directory-directorio_c/listing/parque-nacional-tikal-corazon-del-mundo-maya/,2026-07-06,Descripcion, ubicacion, horarios, tarifas y declaratorias del Parque Nacional Tikal.
UNESCO_GUATEMALA,UNESCO World Heritage Centre - Guatemala,UNESCO,https://whc.unesco.org/en/statesparties/gt,2026-07-06,Pagina general de Guatemala en UNESCO World Heritage Centre.
UNESCO_TIKAL,UNESCO World Heritage Centre - Tikal National Park,UNESCO,https://whc.unesco.org/en/list/64/,2026-07-06,Fuente oficial de Patrimonio Mundial para el Parque Nacional Tikal.
UNESCO_ANTIGUA,UNESCO World Heritage Centre - Antigua Guatemala,UNESCO,https://whc.unesco.org/en/list/65/,2026-07-06,Fuente oficial de Patrimonio Mundial para Antigua Guatemala.
UNESCO_QUIRIGUA,UNESCO World Heritage Centre - Archaeological Park and Ruins of Quirigua,UNESCO,https://whc.unesco.org/en/list/149/,2026-07-06,Fuente oficial de Patrimonio Mundial para el Parque Arqueologico y Ruinas de Quirigua.
UNESCO_TAKALIK_ABAJ,UNESCO World Heritage Centre - National Archaeological Park Takalik Abaj,UNESCO,https://whc.unesco.org/en/list/1663/,2026-07-06,Fuente oficial de Patrimonio Mundial para el Parque Arqueologico Nacional Takalik Abaj.
